wl,value
380,3.170000E-2
390,3.275000E-2
400,3.310000E-2
410,3.337500E-2
420,3.317500E-2
430,3.322500E-2
440,3.297500E-2
450,3.282500E-2
460,3.262500E-2
470,3.260000E-2
480,3.245000E-2
490,3.247500E-2
500,3.252500E-2
510,3.252500E-2
520,3.267500E-2
530,3.277500E-2
540,3.270000E-2
550,3.277500E-2
560,3.292500E-2
570,3.365000E-2
580,3.415000E-2
590,3.402500E-2
600,3.415000E-2
610,3.445000E-2
620,3.490000E-2
630,3.490000E-2
640,3.482500E-2
650,3.527500E-2
660,3.557500E-2
670,3.635000E-2
680,3.750000E-2
690,3.852500E-2
700,3.972500E-2
710,4.150000E-2
720,4.327500E-2
730,4.360000E-2
