wl,value
380,6.195000E-2
390,7.742500E-2
400,1.048750E-1
410,1.397750E-1
420,1.715000E-1
430,2.059500E-1
440,2.527750E-1
450,3.071500E-1
460,3.238500E-1
470,2.961000E-1
480,2.376500E-1
490,1.708750E-1
500,1.170000E-1
510,8.217499E-2
520,6.285000E-2
530,5.242500E-2
540,4.707500E-2
550,4.412500E-2
560,4.252500E-2
570,4.220000E-2
580,4.270000E-2
590,4.230000E-2
600,4.177500E-2
610,4.192500E-2
620,4.247500E-2
630,4.287500E-2
640,4.260000E-2
650,4.252500E-2
660,4.252500E-2
670,4.285000E-2
680,4.315000E-2
690,4.390000E-2
700,4.570000E-2
710,4.857500E-2
720,5.360000E-2
730,6.479999E-2
