wl,value
380,1.177500E-1
390,1.788250E-1
400,2.960750E-1
410,4.072000E-1
420,4.496000E-1
430,4.570750E-1
440,4.524250E-1
450,4.424000E-1
460,4.293000E-1
470,4.137500E-1
480,3.912500E-1
490,3.706250E-1
500,3.503000E-1
510,3.247250E-1
520,2.859000E-1
530,2.426250E-1
540,2.176000E-1
550,2.118750E-1
560,2.055250E-1
570,1.981500E-1
580,2.050500E-1
590,2.216750E-1
600,2.351750E-1
610,2.467500E-1
620,2.470500E-1
630,2.475250E-1
640,2.687500E-1
650,3.180500E-1
660,3.887000E-1
670,4.602500E-1
680,5.117500E-1
690,5.405500E-1
700,5.529500E-1
710,5.581750E-1
720,5.561750E-1
730,5.449750E-1
