wl,value
380,1.133500E-1
390,1.661000E-1
400,2.526250E-1
410,3.237500E-1
420,3.470500E-1
430,3.505750E-1
440,3.480750E-1
450,3.420750E-1
460,3.328500E-1
470,3.199750E-1
480,3.035500E-1
490,2.856000E-1
500,2.675500E-1
510,2.507500E-1
520,2.333250E-1
530,2.156750E-1
540,2.037250E-1
550,1.963500E-1
560,1.868750E-1
570,1.776000E-1
580,1.683750E-1
590,1.606250E-1
600,1.540500E-1
610,1.476500E-1
620,1.406500E-1
630,1.331250E-1
640,1.251500E-1
650,1.189000E-1
660,1.140750E-1
670,1.107500E-1
680,1.085250E-1
690,1.070750E-1
700,1.072750E-1
710,1.082500E-1
720,1.108750E-1
730,1.206000E-1
