wl,value
380,1.090000E-1
390,1.552250E-1
400,2.326750E-1
410,2.964750E-1
420,3.211500E-1
430,3.352500E-1
440,3.504000E-1
450,3.705250E-1
460,4.045500E-1
470,4.603250E-1
480,5.276999E-1
490,5.780750E-1
500,5.956750E-1
510,5.944500E-1
520,5.845000E-1
530,5.629750E-1
540,5.306000E-1
550,4.903750E-1
560,4.435250E-1
570,4.004500E-1
580,3.552750E-1
590,3.121000E-1
600,2.718000E-1
610,2.450250E-1
620,2.313000E-1
630,2.243250E-1
640,2.179750E-1
650,2.140500E-1
660,2.166250E-1
670,2.252500E-1
680,2.364750E-1
690,2.472000E-1
700,2.558500E-1
710,2.602750E-1
720,2.599000E-1
730,2.634750E-1
