wl,value
380,8.740000E-2
390,1.199250E-1
400,1.717250E-1
410,2.198000E-1
420,2.433500E-1
430,2.662500E-1
440,2.974750E-1
450,3.345750E-1
460,3.736750E-1
470,4.190750E-1
480,4.480250E-1
490,4.525500E-1
500,4.321500E-1
510,3.933750E-1
520,3.431000E-1
530,2.844000E-1
540,2.286000E-1
550,1.809500E-1
560,1.417500E-1
570,1.156250E-1
580,9.872500E-2
590,8.857500E-2
600,8.147500E-2
610,7.642499E-2
620,7.487500E-2
630,7.404999E-2
640,7.327500E-2
650,7.354999E-2
660,7.475000E-2
670,7.607500E-2
680,7.607500E-2
690,7.522500E-2
700,7.430000E-2
710,7.539999E-2
720,8.177499E-2
730,9.692500E-2
