wl,value
380,5.080000E-2
390,5.345000E-2
400,5.562500E-2
410,5.680000E-2
420,5.735000E-2
430,5.905000E-2
440,6.180000E-2
450,6.564999E-2
460,6.922500E-2
470,7.235000E-2
480,7.462499E-2
490,7.732499E-2
500,8.350000E-2
510,1.071500E-1
520,1.519500E-1
530,1.836250E-1
540,1.832500E-1
550,1.662250E-1
560,1.459750E-1
570,1.331250E-1
580,1.304750E-1
590,1.229750E-1
600,1.121000E-1
610,1.058500E-1
620,1.051250E-1
630,1.070750E-1
640,1.044000E-1
650,1.008250E-1
660,1.004500E-1
670,1.060500E-1
680,1.254000E-1
690,1.662750E-1
700,2.227500E-1
710,2.748250E-1
720,3.018750E-1
730,3.014750E-1
