wl,value
380,5.622500E-2
390,6.015000E-2
400,6.339999E-2
410,6.552500E-2
420,6.617500E-2
430,6.795000E-2
440,7.037500E-2
450,7.442500E-2
460,8.140000E-2
470,9.322499E-2
480,1.111000E-1
490,1.358750E-1
500,1.702000E-1
510,2.291250E-1
520,3.127750E-1
530,3.663000E-1
540,3.638750E-1
550,3.319250E-1
560,2.885750E-1
570,2.464250E-1
580,2.024500E-1
590,1.631500E-1
600,1.307250E-1
610,1.104750E-1
620,9.952500E-2
630,9.375000E-2
640,8.944999E-2
650,8.665000E-2
660,8.502500E-2
670,8.652499E-2
680,9.002499E-2
690,9.514999E-2
700,1.001750E-1
710,1.037750E-1
720,1.073000E-1
730,1.106750E-1
