wl,value
380,1.041500E-1
390,1.393500E-1
400,1.832500E-1
410,2.085500E-1
420,2.134500E-1
430,2.161000E-1
440,2.211750E-1
450,2.297750E-1
460,2.430500E-1
470,2.606750E-1
480,2.774000E-1
490,2.872500E-1
500,2.947750E-1
510,3.152250E-1
520,3.277750E-1
530,3.077250E-1
540,2.965500E-1
550,3.033250E-1
560,2.995000E-1
570,3.035500E-1
580,3.490500E-1
590,4.216000E-1
600,4.829750E-1
610,5.207000E-1
620,5.418500E-1
630,5.555000E-1
640,5.671999E-1
650,5.814500E-1
660,5.995499E-1
670,6.224250E-1
680,6.500500E-1
690,6.818750E-1
700,7.152250E-1
710,7.465250E-1
720,7.649750E-1
730,7.563500E-1
