wl,value
380,9.957500E-2
390,1.463500E-1
400,2.324750E-1
410,3.085000E-1
420,3.374750E-1
430,3.393750E-1
440,3.225250E-1
450,2.965000E-1
460,2.681250E-1
470,2.405750E-1
480,2.120000E-1
490,1.852750E-1
500,1.647250E-1
510,1.488000E-1
520,1.305500E-1
530,1.122750E-1
540,1.059000E-1
550,1.096000E-1
560,1.108500E-1
570,1.154000E-1
580,1.386000E-1
590,1.832500E-1
600,2.519000E-1
610,3.598000E-1
620,4.962500E-1
630,6.176250E-1
640,6.941749E-1
650,7.388250E-1
660,7.668999E-1
670,7.837000E-1
680,7.943500E-1
690,8.021750E-1
700,8.063750E-1
710,8.092000E-1
720,8.042750E-1
730,7.766250E-1
