wl,value
380,8.952500E-2
390,1.157250E-1
400,1.393750E-1
410,1.462500E-1
420,1.412000E-1
430,1.357500E-1
440,1.336000E-1
450,1.316000E-1
460,1.290500E-1
470,1.273500E-1
480,1.221250E-1
490,1.126750E-1
500,1.057750E-1
510,1.027750E-1
520,9.784999E-2
530,9.310000E-2
540,9.464999E-2
550,1.019750E-1
560,1.073250E-1
570,1.114500E-1
580,1.461500E-1
590,2.501000E-1
600,3.908500E-1
610,5.042500E-1
620,5.671250E-1
630,5.933750E-1
640,6.017500E-1
650,6.042750E-1
660,6.058249E-1
670,6.067250E-1
680,6.079000E-1
690,6.081499E-1
700,6.075750E-1
710,6.069250E-1
720,5.975249E-1
730,5.750500E-1
