wl,value
380,9.232499E-2
390,1.237250E-1
400,1.625750E-1
410,1.869500E-1
420,1.929500E-1
430,1.944500E-1
440,1.950000E-1
450,1.951500E-1
460,1.950250E-1
470,1.946750E-1
480,1.939750E-1
490,1.939000E-1
500,1.939500E-1
510,1.942000E-1
520,1.950750E-1
530,1.949750E-1
540,1.945750E-1
550,1.949500E-1
560,1.952750E-1
570,1.976250E-1
580,1.976250E-1
590,1.972250E-1
600,1.965250E-1
610,1.964500E-1
620,1.959500E-1
630,1.942250E-1
640,1.918750E-1
650,1.906250E-1
660,1.898000E-1
670,1.894500E-1
680,1.895500E-1
690,1.894250E-1
700,1.900250E-1
710,1.910000E-1
720,1.906250E-1
730,1.908500E-1
