wl,value
380,1.119250E-1
390,1.632250E-1
400,2.510750E-1
410,3.236250E-1
420,3.460500E-1
430,3.508750E-1
440,3.525250E-1
450,3.534250E-1
460,3.536750E-1
470,3.532500E-1
480,3.522750E-1
490,3.526250E-1
500,3.530500E-1
510,3.537250E-1
520,3.555500E-1
530,3.557000E-1
540,3.553250E-1
550,3.561000E-1
560,3.564750E-1
570,3.599000E-1
580,3.588750E-1
590,3.582750E-1
600,3.572500E-1
610,3.572500E-1
620,3.566500E-1
630,3.539500E-1
640,3.508250E-1
650,3.487500E-1
660,3.476500E-1
670,3.475500E-1
680,3.476250E-1
690,3.477000E-1
700,3.474500E-1
710,3.484500E-1
720,3.479000E-1
730,3.423750E-1
