wl,value
380,5.350000E-2
390,5.580000E-2
400,5.690000E-2
410,5.700000E-2
420,5.610000E-2
430,5.550000E-2
440,5.517500E-2
450,5.500000E-2
460,5.530000E-2
470,5.627500E-2
480,5.772500E-2
490,5.945000E-2
500,6.225000E-2
510,6.860000E-2
520,8.337500E-2
530,1.139750E-1
540,1.625250E-1
550,2.216500E-1
560,2.903500E-1
570,3.742000E-1
580,4.541750E-1
590,5.082250E-1
600,5.403500E-1
610,5.615750E-1
620,5.762750E-1
630,5.869000E-1
640,5.959250E-1
650,6.045000E-1
660,6.128500E-1
670,6.197500E-1
680,6.263500E-1
690,6.330250E-1
700,6.384749E-1
710,6.430250E-1
720,6.384250E-1
730,6.169249E-1
