wl,value
380,5.567500E-2
390,5.995000E-2
400,6.277499E-2
410,6.422500E-2
420,6.427500E-2
430,6.442500E-2
440,6.502499E-2
450,6.592499E-2
460,6.820000E-2
470,7.477500E-2
480,8.667500E-2
490,1.007500E-1
500,1.144250E-1
510,1.338500E-1
520,1.728000E-1
530,2.476500E-1
540,3.523750E-1
550,4.479000E-1
560,5.115750E-1
570,5.568500E-1
580,5.870750E-1
590,6.096750E-1
600,6.255000E-1
610,6.396500E-1
620,6.501999E-1
630,6.573250E-1
640,6.641000E-1
650,6.711000E-1
660,6.783250E-1
670,6.846000E-1
680,6.913249E-1
690,6.982000E-1
700,7.025250E-1
710,7.057500E-1
720,7.002500E-1
730,6.740000E-1
