wl,value
380,7.912499E-2
390,1.102000E-1
400,1.521000E-1
410,1.862750E-1
420,1.989000E-1
430,1.913500E-1
440,1.683750E-1
450,1.419250E-1
460,1.174250E-1
470,9.697500E-2
480,8.225000E-2
490,7.207499E-2
500,6.422500E-2
510,5.950000E-2
520,5.727500E-2
530,5.495000E-2
540,5.292500E-2
550,5.287500E-2
560,5.382500E-2
570,5.487500E-2
580,5.442500E-2
590,5.380000E-2
600,5.752500E-2
610,6.820000E-2
620,8.750000E-2
630,1.119250E-1
640,1.340250E-1
650,1.547500E-1
660,1.773250E-1
670,2.049000E-1
680,2.383750E-1
690,2.795250E-1
700,3.246250E-1
710,3.713250E-1
720,4.145000E-1
730,4.464500E-1
