wl,value
380,8.885000E-2
390,1.283250E-1
400,1.986000E-1
410,2.688500E-1
420,3.086500E-1
430,3.377000E-1
440,3.665750E-1
450,3.878000E-1
460,3.823500E-1
470,3.556250E-1
480,3.139500E-1
490,2.598500E-1
500,2.104500E-1
510,1.741250E-1
520,1.440500E-1
530,1.201250E-1
540,1.077750E-1
550,1.005750E-1
560,9.185000E-2
570,8.629999E-2
580,8.639999E-2
590,8.907500E-2
600,9.045000E-2
610,8.989999E-2
620,8.847500E-2
630,9.097499E-2
640,9.852500E-2
650,1.101250E-1
660,1.218500E-1
670,1.271000E-1
680,1.238000E-1
690,1.186250E-1
700,1.185250E-1
710,1.236250E-1
720,1.324500E-1
730,1.477750E-1
