wl,value
380,5.180000E-2
390,5.370000E-2
400,5.415000E-2
410,5.392500E-2
420,5.325000E-2
430,5.285000E-2
440,5.232500E-2
450,5.212500E-2
460,5.145000E-2
470,5.045000E-2
480,4.927500E-2
490,4.830000E-2
500,4.755000E-2
510,4.707500E-2
520,4.722500E-2
530,4.752500E-2
540,4.802500E-2
550,4.900000E-2
560,5.112500E-2
570,5.692500E-2
580,6.967500E-2
590,1.016750E-1
600,1.756500E-1
610,3.111750E-1
620,4.751250E-1
630,5.942750E-1
640,6.504000E-1
650,6.740749E-1
660,6.861250E-1
670,6.930000E-1
680,6.994750E-1
690,7.049749E-1
700,7.061999E-1
710,7.065750E-1
720,6.970500E-1
730,6.639749E-1
