wl,value
380,1.332750E-1
390,1.931500E-1
400,3.503250E-1
410,5.931000E-1
420,7.691250E-1
430,8.253000E-1
440,8.406000E-1
450,8.505000E-1
460,8.599000E-1
470,8.670500E-1
480,8.716000E-1
490,8.780000E-1
500,8.825250E-1
510,8.862000E-1
520,8.916500E-1
530,8.928500E-1
540,8.936999E-1
550,8.974500E-1
560,8.984250E-1
570,9.052750E-1
580,9.033999E-1
590,9.036000E-1
600,9.045750E-1
610,9.080499E-1
620,9.085500E-1
630,9.058999E-1
640,9.029750E-1
650,9.025500E-1
660,9.044000E-1
670,9.062250E-1
680,9.105250E-1
690,9.143500E-1
700,9.154750E-1
710,9.179500E-1
720,9.133500E-1
730,8.936000E-1
