wl,value
380,5.252500E-2
390,5.320000E-2
400,5.327500E-2
410,5.322500E-2
420,5.257500E-2
430,5.225000E-2
440,5.232500E-2
450,5.387500E-2
460,5.912500E-2
470,7.775000E-2
480,1.318250E-1
490,2.276000E-1
500,3.195500E-1
510,3.849500E-1
520,4.496250E-1
530,5.265000E-1
540,5.955000E-1
550,6.442500E-1
560,6.758749E-1
570,7.047000E-1
580,7.226250E-1
590,7.371750E-1
600,7.484249E-1
610,7.589000E-1
620,7.658750E-1
630,7.692249E-1
640,7.720500E-1
650,7.753000E-1
660,7.803500E-1
670,7.854750E-1
680,7.874750E-1
690,7.877750E-1
700,7.931000E-1
710,7.996500E-1
720,7.922750E-1
730,7.632500E-1
