wl,value
380,5.747500E-2
390,6.107500E-2
400,6.394999E-2
410,6.587499E-2
420,6.662500E-2
430,6.845000E-2
440,7.137500E-2
450,7.622500E-2
460,8.499999E-2
470,1.005500E-1
480,1.270500E-1
490,1.706000E-1
500,2.426000E-1
510,3.507250E-1
520,4.619000E-1
530,5.313500E-1
540,5.523750E-1
550,5.474499E-1
560,5.266750E-1
570,5.019250E-1
580,4.659500E-1
590,4.257500E-1
600,3.845250E-1
610,3.552000E-1
620,3.390250E-1
630,3.302250E-1
640,3.240750E-1
650,3.205250E-1
660,3.251000E-1
670,3.371000E-1
680,3.530500E-1
690,3.682500E-1
700,3.788000E-1
710,3.830500E-1
720,3.750250E-1
730,3.632250E-1
