wl,value
360,0.129
361,0.1294
362,0.1298
363,0.1302
364,0.1306
365,0.13105
366,0.1315
367,0.132
368,0.1325
369,0.133
370,0.1335
371,0.13405
372,0.1346
373,0.1352
374,0.1358
375,0.1364
376,0.137
377,0.13775
378,0.1385
379,0.1393
380,0.1401
381,0.1408
382,0.1415
383,0.14225
384,0.143
385,0.14375
386,0.1445
387,0.14525
388,0.146
389,0.1467
390,0.1474
391,0.14815
392,0.1489
393,0.14955
394,0.1502
395,0.1509
396,0.1516
397,0.1523
398,0.153
399,0.15365
400,0.1543
401,0.15495
402,0.1556
403,0.1562
404,0.1568
405,0.15745
406,0.1581
407,0.1587
408,0.1593
409,0.1599
410,0.1605
411,0.16115
412,0.1618
413,0.1624
414,0.163
415,0.16365
416,0.1643
417,0.16495
418,0.1656
419,0.16625
420,0.1669
421,0.1676
422,0.1683
423,0.169
424,0.1697
425,0.1704
426,0.1711
427,0.17185
428,0.1726
429,0.17335
430,0.1741
431,0.17485
432,0.1756
433,0.1764
434,0.1772
435,0.17795
436,0.1787
437,0.1795
438,0.1803
439,0.18105
440,0.1818
441,0.1825
442,0.1832
443,0.18395
444,0.1847
445,0.18545
446,0.1862
447,0.18685
448,0.1875
449,0.18815
450,0.1888
451,0.18945
452,0.1901
453,0.19065
454,0.1912
455,0.19175
456,0.1923
457,0.1928
458,0.1933
459,0.19375
460,0.1942
461,0.19465
462,0.1951
463,0.19555
464,0.196
465,0.1965
466,0.197
467,0.19745
468,0.1979
469,0.19835
470,0.1988
471,0.19925
472,0.1997
473,0.20015
474,0.2006
475,0.20105
476,0.2015
477,0.202
478,0.2025
479,0.20305
480,0.2036
481,0.2042
482,0.2048
483,0.2054
484,0.206
485,0.2066
486,0.2072
487,0.2078
488,0.2084
489,0.20905
490,0.2097
491,0.2103
492,0.2109
493,0.21155
494,0.2122
495,0.2128
496,0.2134
497,0.214
498,0.2146
499,0.21525
500,0.2159
501,0.21655
502,0.2172
503,0.21785
504,0.2185
505,0.21915
506,0.2198
507,0.2205
508,0.2212
509,0.2219
510,0.2226
511,0.22335
512,0.2241
513,0.2248
514,0.2255
515,0.2262
516,0.2269
517,0.22765
518,0.2284
519,0.22915
520,0.2299
521,0.23065
522,0.2314
523,0.23215
524,0.2329
525,0.2337
526,0.2345
527,0.23525
528,0.236
529,0.23675
530,0.2375
531,0.2383
532,0.2391
533,0.2399
534,0.2407
535,0.2415
536,0.2423
537,0.24305
538,0.2438
539,0.2446
540,0.2454
541,0.24625
542,0.2471
543,0.24795
544,0.2488
545,0.2496
546,0.2504
547,0.25125
548,0.2521
549,0.25295
550,0.2538
551,0.2547
552,0.2556
553,0.25645
554,0.2573
555,0.2582
556,0.2591
557,0.25995
558,0.2608
559,0.2617
560,0.2626
561,0.2635
562,0.2644
563,0.26525
564,0.2661
565,0.2669
566,0.2677
567,0.26855
568,0.2694
569,0.27015
570,0.2709
571,0.2717
572,0.2725
573,0.2732
574,0.2739
575,0.2746
576,0.2753
577,0.27595
578,0.2766
579,0.27725
580,0.2779
581,0.2785
582,0.2791
583,0.2797
584,0.2803
585,0.28085
586,0.2814
587,0.28195
588,0.2825
589,0.28295
590,0.2834
591,0.2839
592,0.2844
593,0.28485
594,0.2853
595,0.28575
596,0.2862
597,0.2866
598,0.287
599,0.28735
600,0.2877
601,0.28805
602,0.2884
603,0.28875
604,0.2891
605,0.2894
606,0.2897
607,0.29
608,0.2903
609,0.2906
610,0.2909
611,0.29115
612,0.2914
613,0.29165
614,0.2919
615,0.29215
616,0.2924
617,0.2926
618,0.2928
619,0.29305
620,0.2933
621,0.2935
622,0.2937
623,0.2939
624,0.2941
625,0.29425
626,0.2944
627,0.29465
628,0.2949
629,0.29505
630,0.2952
631,0.2954
632,0.2956
633,0.2958
634,0.296
635,0.29615
636,0.2963
637,0.2965
638,0.2967
639,0.29685
640,0.297
641,0.29715
642,0.2973
643,0.29745
644,0.2976
645,0.29775
646,0.2979
647,0.2981
648,0.2983
649,0.29845
650,0.2986
651,0.29875
652,0.2989
653,0.2991
654,0.2993
655,0.29945
656,0.2996
657,0.2998
