wl,value
360,0.0786
361,0.079
362,0.0794
363,0.0798
364,0.0802
365,0.0806
366,0.081
367,0.0814
368,0.0818
369,0.08215
370,0.0825
371,0.0829
372,0.0833
373,0.08375
374,0.0842
375,0.0846
376,0.085
377,0.0856
378,0.0862
379,0.0869
380,0.0876
381,0.08805
382,0.0885
383,0.0889
384,0.0893
385,0.08975
386,0.0902
387,0.09065
388,0.0911
389,0.0915
390,0.0919
391,0.0923
392,0.0927
393,0.0931
394,0.0935
395,0.0939
396,0.0943
397,0.0947
398,0.0951
399,0.09545
400,0.0958
401,0.09615
402,0.0965
403,0.0968
404,0.0971
405,0.09745
406,0.0978
407,0.0981
408,0.0984
409,0.09875
410,0.0991
411,0.09935
412,0.0996
413,0.0999
414,0.1002
415,0.10045
416,0.1007
417,0.10095
418,0.1012
419,0.1014
420,0.1016
421,0.1018
422,0.102
423,0.1022
424,0.1024
425,0.1026
426,0.1028
427,0.1029
428,0.103
429,0.10315
430,0.1033
431,0.10345
432,0.1036
433,0.1037
434,0.1038
435,0.10385
436,0.1039
437,0.10395
438,0.104
439,0.1041
440,0.1042
441,0.10425
442,0.1043
443,0.10435
444,0.1044
445,0.1045
446,0.1046
447,0.10465
448,0.1047
449,0.1048
450,0.1049
451,0.105
452,0.1051
453,0.10515
454,0.1052
455,0.10525
456,0.1053
457,0.1054
458,0.1055
459,0.10555
460,0.1056
461,0.1057
462,0.1058
463,0.1059
464,0.106
465,0.1061
466,0.1062
467,0.10635
468,0.1065
469,0.1066
470,0.1067
471,0.10685
472,0.107
473,0.1071
474,0.1072
475,0.10735
476,0.1075
477,0.10765
478,0.1078
479,0.108
480,0.1082
481,0.10845
482,0.1087
483,0.109
484,0.1093
485,0.1095
486,0.1097
487,0.11
488,0.1103
489,0.11055
490,0.1108
491,0.111
492,0.1112
493,0.1114
494,0.1116
495,0.11175
496,0.1119
497,0.1121
498,0.1123
499,0.11255
500,0.1128
501,0.113
502,0.1132
503,0.11345
504,0.1137
505,0.11395
506,0.1142
507,0.11455
508,0.1149
509,0.11515
510,0.1154
511,0.1157
512,0.116
513,0.1163
514,0.1166
515,0.1169
516,0.1172
517,0.1175
518,0.1178
519,0.1181
520,0.1184
521,0.11865
522,0.1189
523,0.11925
524,0.1196
525,0.11995
526,0.1203
527,0.12065
528,0.121
529,0.1214
530,0.1218
531,0.1222
532,0.1226
533,0.12305
534,0.1235
535,0.124
536,0.1245
537,0.125
538,0.1255
539,0.12605
540,0.1266
541,0.12715
542,0.1277
543,0.1284
544,0.1291
545,0.1298
546,0.1305
547,0.13125
548,0.132
549,0.1328
550,0.1336
551,0.13445
552,0.1353
553,0.13625
554,0.1372
555,0.1382
556,0.1392
557,0.14025
558,0.1413
559,0.14245
560,0.1436
561,0.1448
562,0.146
563,0.1473
564,0.1486
565,0.1499
566,0.1512
567,0.15255
568,0.1539
569,0.1553
570,0.1567
571,0.15815
572,0.1596
573,0.16105
574,0.1625
575,0.16395
576,0.1654
577,0.1668
578,0.1682
579,0.1696
580,0.171
581,0.1724
582,0.1738
583,0.17515
584,0.1765
585,0.1778
586,0.1791
587,0.18035
588,0.1816
589,0.18275
590,0.1839
591,0.18505
592,0.1862
593,0.18725
594,0.1883
595,0.1893
596,0.1903
597,0.1912
598,0.1921
599,0.19295
600,0.1938
601,0.1946
602,0.1954
603,0.1962
604,0.197
605,0.19765
606,0.1983
607,0.199
608,0.1997
609,0.2003
610,0.2009
611,0.2014
612,0.2019
613,0.20245
614,0.203
615,0.2035
616,0.204
617,0.20445
618,0.2049
619,0.2054
620,0.2059
621,0.2063
622,0.2067
623,0.2071
624,0.2075
625,0.20785
626,0.2082
627,0.2086
628,0.209
629,0.2094
630,0.2098
631,0.21015
632,0.2105
633,0.2109
634,0.2113
635,0.21165
636,0.212
637,0.21235
638,0.2127
639,0.21305
640,0.2134
641,0.21375
642,0.2141
643,0.2144
644,0.2147
645,0.2151
646,0.2155
647,0.21585
648,0.2162
649,0.2166
650,0.217
651,0.21735
652,0.2177
653,0.2181
654,0.2185
655,0.21885
656,0.2192
657,0.21965
658,0.2201
659,0.2205
660,0.2209
661,0.2213
662,0.2217
663,0.22215
664,0.2226
665,0.223
666,0.2234
667,0.22385
668,0.2243
669,0.2247
670,0.2251
671,0.2256
672,0.2261
673,0.2266
674,0.2271
675,0.22755
676,0.228
677,0.22845
678,0.2289
679,0.22935
680,0.2298
681,0.23025
682,0.2307
683,0.23115
684,0.2316
685,0.2321
686,0.2326
687,0.23305
688,0.2335
689,0.234
690,0.2345
691,0.23505
692,0.2356
693,0.2361
694,0.2366
695,0.23715
696,0.2377
697,0.23825
698,0.2388
699,0.23935
700,0.2399
701,0.24045
702,0.241
703,0.24155
704,0.2421
705,0.2426
706,0.2431
707,0.2436
708,0.2441
709,0.24465
710,0.2452
711,0.2458
712,0.2464
713,0.2469
714,0.2474
715,0.2479
716,0.2484
717,0.2489
718,0.2494
719,0.2499
720,0.2504
721,0.25095
722,0.2515
723,0.25205
724,0.2526
725,0.2531
726,0.2536
727,0.254
728,0.2544
729,0.2549
730,0.2554
731,0.25595
732,0.2565
733,0.2569
734,0.2573
735,0.25775
736,0.2582
737,0.25865
738,0.2591
739,0.2596
740,0.2601
741,0.26045
742,0.2608
743,0.26125
744,0.2617
745,0.26205
746,0.2624
747,0.26275
748,0.2631
749,0.26345
750,0.2638
751,0.26415
752,0.2645
753,0.2648
754,0.2651
755,0.2654
756,0.2657
757,0.266
758,0.2663
759,0.2666
760,0.2669
761,0.26715
762,0.2674
763,0.2677
764,0.268
765,0.2682
766,0.2684
767,0.26865
768,0.2689
769,0.2691
770,0.2693
771,0.26955
772,0.2698
773,0.26995
774,0.2701
775,0.2703
776,0.2705
777,0.27075
778,0.271
779,0.27115
780,0.2713
781,0.27145
782,0.2716
783,0.2717
784,0.2718
785,0.2719
786,0.272
787,0.27205
788,0.2721
789,0.27225
790,0.2724
791,0.2725
792,0.2726
793,0.2726
794,0.2726
795,0.2727
796,0.2728
797,0.27285
798,0.2729
799,0.27295
800,0.273
801,0.273
802,0.273
803,0.273
804,0.273
805,0.273
806,0.273
807,0.273
808,0.273
809,0.273
810,0.273
811,0.273
812,0.273
813,0.273
814,0.273
815,0.273
816,0.273
817,0.273
818,0.273
819,0.273
820,0.273
821,0.27298
822,0.27296
823,0.27294
824,0.27292
825,0.2729
826,0.27288
827,0.27286
828,0.27284
829,0.27282
830,0.2728
