wl,value
360,0.0316
361,0.03165
362,0.0317
363,0.03175
364,0.0318
365,0.03185
366,0.0319
367,0.03195
368,0.032
369,0.03205
370,0.0321
371,0.0321
372,0.0321
373,0.03215
374,0.0322
375,0.03225
376,0.0323
377,0.03245
378,0.0326
379,0.0328
380,0.033
381,0.0331
382,0.0332
383,0.03325
384,0.0333
385,0.0334
386,0.0335
387,0.03355
388,0.0336
389,0.0337
390,0.0338
391,0.03385
392,0.0339
393,0.03395
394,0.034
395,0.0341
396,0.0342
397,0.03425
398,0.0343
399,0.03435
400,0.0344
401,0.0345
402,0.0346
403,0.03465
404,0.0347
405,0.03475
406,0.0348
407,0.03485
408,0.0349
409,0.03495
410,0.035
411,0.03505
412,0.0351
413,0.03515
414,0.0352
415,0.0353
416,0.0354
417,0.03545
418,0.0355
419,0.03555
420,0.0356
421,0.03565
422,0.0357
423,0.0358
424,0.0359
425,0.03595
426,0.036
427,0.03605
428,0.0361
429,0.0362
430,0.0363
431,0.03635
432,0.0364
433,0.03645
434,0.0365
435,0.0366
436,0.0367
437,0.03675
438,0.0368
439,0.03685
440,0.0369
441,0.03695
442,0.037
443,0.0371
444,0.0372
445,0.03725
446,0.0373
447,0.03735
448,0.0374
449,0.03745
450,0.0375
451,0.03755
452,0.0376
453,0.03765
454,0.0377
455,0.0377
456,0.0377
457,0.03765
458,0.0376
459,0.0376
460,0.0376
461,0.03755
462,0.0375
463,0.0375
464,0.0375
465,0.03755
466,0.0376
467,0.0376
468,0.0376
469,0.03765
470,0.0377
471,0.03775
472,0.0378
473,0.0378
474,0.0378
475,0.03785
476,0.0379
477,0.0379
478,0.0379
479,0.038
480,0.0381
481,0.0382
482,0.0383
483,0.03845
484,0.0386
485,0.0387
486,0.0388
487,0.0389
488,0.039
489,0.03905
490,0.0391
491,0.03915
492,0.0392
493,0.0392
494,0.0392
495,0.03915
496,0.0391
497,0.039
498,0.0389
499,0.0389
500,0.0389
501,0.03885
502,0.0388
503,0.0388
504,0.0388
505,0.03885
506,0.0389
507,0.03895
508,0.039
509,0.03905
510,0.0391
511,0.0392
512,0.0393
513,0.03935
514,0.0394
515,0.03945
