wl,value
360,0.1159
361,0.11665
362,0.1174
363,0.11795
364,0.1185
365,0.1188
366,0.1191
367,0.1193
368,0.1195
369,0.1194
370,0.1193
371,0.119
372,0.1187
373,0.1182
374,0.1177
375,0.11715
376,0.1166
377,0.11605
378,0.1155
379,0.11535
380,0.1152
381,0.1154
382,0.1156
383,0.11605
384,0.1165
385,0.11705
386,0.1176
387,0.11815
388,0.1187
389,0.11915
390,0.1196
391,0.11995
392,0.1203
393,0.1205
394,0.1207
395,0.1209
396,0.1211
397,0.12115
398,0.1212
399,0.12125
400,0.1213
401,0.12125
402,0.1212
403,0.1211
404,0.121
405,0.12085
406,0.1207
407,0.12055
408,0.1204
409,0.12025
410,0.1201
411,0.1199
412,0.1197
413,0.11955
414,0.1194
415,0.11925
416,0.1191
417,0.119
418,0.1189
419,0.1188
420,0.1187
421,0.1186
422,0.1185
423,0.11845
424,0.1184
425,0.1183
426,0.1182
427,0.11815
428,0.1181
429,0.118
430,0.1179
431,0.1178
432,0.1177
433,0.1176
434,0.1175
435,0.11745
436,0.1174
437,0.11735
438,0.1173
439,0.11725
440,0.1172
441,0.1172
442,0.1172
443,0.1172
444,0.1172
445,0.1172
446,0.1172
447,0.1172
448,0.1172
449,0.11725
450,0.1173
451,0.1173
452,0.1173
453,0.11735
454,0.1174
455,0.1174
456,0.1174
457,0.1174
458,0.1174
459,0.11745
460,0.1175
461,0.1175
462,0.1175
463,0.1175
464,0.1175
465,0.1175
466,0.1175
467,0.11745
468,0.1174
469,0.1174
470,0.1174
471,0.11735
472,0.1173
473,0.1173
474,0.1173
475,0.11725
476,0.1172
477,0.1172
478,0.1172
479,0.11715
480,0.1171
481,0.1171
482,0.1171
483,0.11705
484,0.117
485,0.11695
486,0.1169
487,0.11685
488,0.1168
489,0.11675
490,0.1167
491,0.11665
492,0.1166
493,0.11655
494,0.1165
495,0.11645
496,0.1164
497,0.11635
498,0.1163
499,0.1163
500,0.1163
501,0.11625
502,0.1162
503,0.1162
504,0.1162
505,0.11615
506,0.1161
507,0.1161
508,0.1161
509,0.11605
510,0.116
511,0.11595
512,0.1159
513,0.11585
514,0.1158
515,0.11575
516,0.1157
517,0.11565
518,0.1156
519,0.11555
520,0.1155
521,0.11545
522,0.1154
523,0.11535
524,0.1153
525,0.11525
526,0.1152
527,0.11515
528,0.1151
529,0.11505
530,0.115
531,0.11495
532,0.1149
533,0.11485
534,0.1148
535,0.11475
536,0.1147
537,0.11465
538,0.1146
539,0.1145
540,0.1144
541,0.11435
542,0.1143
543,0.11425
544,0.1142
545,0.11415
546,0.1141
547,0.11405
548,0.114
549,0.11395
550,0.1139
551,0.1138
552,0.1137
553,0.11365
554,0.1136
555,0.1135
556,0.1134
557,0.11335
558,0.1133
559,0.11325
560,0.1132
561,0.1131
562,0.113
563,0.11295
564,0.1129
565,0.1128
566,0.1127
567,0.11265
568,0.1126
569,0.1125
570,0.1124
571,0.1123
572,0.1122
573,0.11215
574,0.1121
575,0.112
576,0.1119
577,0.1118
578,0.1117
579,0.1116
580,0.1115
581,0.1114
582,0.1113
583,0.11125
584,0.1112
585,0.1111
586,0.111
587,0.1109
588,0.1108
589,0.11075
590,0.1107
591,0.1106
592,0.1105
593,0.1104
594,0.1103
595,0.1102
596,0.1101
597,0.11005
598,0.11
599,0.1099
600,0.1098
601,0.1097
602,0.1096
603,0.1095
604,0.1094
605,0.1093
606,0.1092
607,0.1091
608,0.109
609,0.1089
610,0.1088
611,0.1087
612,0.1086
613,0.1085
614,0.1084
615,0.1083
616,0.1082
617,0.1081
618,0.108
619,0.1079
620,0.1078
621,0.1077
622,0.1076
623,0.1075
624,0.1074
625,0.1073
626,0.1072
627,0.1071
628,0.107
629,0.1069
630,0.1068
631,0.10665
632,0.1065
633,0.10645
634,0.1064
635,0.10625
636,0.1061
637,0.106
638,0.1059
639,0.1058
640,0.1057
641,0.1056
642,0.1055
643,0.1054
644,0.1053
645,0.1052
646,0.1051
647,0.105
648,0.1049
649,0.1048
650,0.1047
651,0.1046
652,0.1045
653,0.1044
654,0.1043
655,0.1042
656,0.1041
657,0.104
658,0.1039
659,0.1038
660,0.1037
661,0.1036
662,0.1035
663,0.1034
664,0.1033
665,0.1032
666,0.1031
667,0.103
668,0.1029
669,0.1028
670,0.1027
671,0.1026
672,0.1025
673,0.1024
674,0.1023
675,0.1022
676,0.1021
677,0.10195
678,0.1018
679,0.1017
680,0.1016
681,0.1015
682,0.1014
683,0.10125
684,0.1011
685,0.101
686,0.1009
687,0.1008
688,0.1007
689,0.10055
690,0.1004
691,0.1003
692,0.1002
693,0.1001
694,0.1
695,0.0999
696,0.0998
697,0.0997
698,0.0996
699,0.0995
700,0.0994
701,0.09925
702,0.0991
703,0.09905
704,0.099
705,0.09885
706,0.0987
707,0.0986
708,0.0985
709,0.09835
710,0.0982
711,0.0981
712,0.098
713,0.0979
714,0.0978
715,0.0977
716,0.0976
717,0.09745
718,0.0973
719,0.0972
720,0.0971
721,0.097
722,0.0969
723,0.09675
724,0.0966
725,0.09655
726,0.0965
727,0.09635
728,0.0962
729,0.0961
730,0.096
731,0.0959
732,0.0958
733,0.0957
734,0.0956
735,0.09545
736,0.0953
737,0.0952
738,0.0951
739,0.095
740,0.0949
741,0.0948
742,0.0947
743,0.0946
744,0.0945
745,0.0944
746,0.0943
747,0.0942
748,0.0941
749,0.09395
750,0.0938
751,0.0937
752,0.0936
753,0.0935
754,0.0934
755,0.0933
756,0.0932
757,0.0931
758,0.093
759,0.0929
760,0.0928
761,0.09265
762,0.0925
763,0.09245
764,0.0924
765,0.09225
766,0.0921
767,0.092
768,0.0919
769,0.09185
770,0.0918
771,0.09165
772,0.0915
773,0.0914
774,0.0913
775,0.09125
776,0.0912
777,0.0911
778,0.091
779,0.0909
780,0.0908
781,0.0907
782,0.0906
783,0.0905
784,0.0904
785,0.09025
786,0.0901
787,0.09005
788,0.09
789,0.0899
790,0.0898
791,0.08975
792,0.0897
793,0.0896
794,0.0895
795,0.08945
796,0.0894
797,0.0893
798,0.0892
799,0.0891
800,0.089
801,0.088915
802,0.08883
803,0.088745
804,0.08866
805,0.088575
806,0.08849
807,0.088405
