wl,value
360,0.4093
361,0.41255
362,0.4158
363,0.41915
364,0.4225
365,0.4261
366,0.4297
367,0.4334
368,0.4371
369,0.441
370,0.4449
371,0.44895
372,0.453
373,0.45725
374,0.4615
375,0.4659
376,0.4703
377,0.4755
378,0.4807
379,0.4861
380,0.4915
381,0.4961
382,0.5007
383,0.50525
384,0.5098
385,0.51435
386,0.5189
387,0.5233
388,0.5277
389,0.53195
390,0.5362
391,0.5403
392,0.5444
393,0.54825
394,0.5521
395,0.55585
396,0.5596
397,0.56315
398,0.5667
399,0.57005
400,0.5734
401,0.57655
402,0.5797
403,0.58275
404,0.5858
405,0.5887
406,0.5916
407,0.59435
408,0.5971
409,0.59965
410,0.6022
411,0.6047
412,0.6072
413,0.6096
414,0.612
415,0.6144
416,0.6168
417,0.61915
418,0.6215
419,0.62385
420,0.6262
421,0.62855
422,0.6309
423,0.6332
424,0.6355
425,0.6379
426,0.6403
427,0.6427
428,0.6451
429,0.6475
430,0.6499
431,0.6523
432,0.6547
433,0.6571
434,0.6595
435,0.66185
436,0.6642
437,0.6665
438,0.6688
439,0.67095
440,0.6731
441,0.67515
442,0.6772
443,0.67915
444,0.6811
445,0.68285
446,0.6846
447,0.6862
448,0.6878
449,0.68925
450,0.6907
451,0.6921
452,0.6935
453,0.6947
454,0.6959
455,0.697
456,0.6981
457,0.69905
458,0.7
459,0.70095
460,0.7019
461,0.7028
462,0.7037
463,0.7045
464,0.7053
465,0.7062
466,0.7071
467,0.7079
468,0.7087
469,0.70955
470,0.7104
471,0.7112
472,0.712
473,0.7129
474,0.7138
475,0.7147
476,0.7156
477,0.7165
478,0.7174
479,0.7184
480,0.7194
481,0.7205
482,0.7216
483,0.72265
484,0.7237
485,0.7247
486,0.7257
487,0.72685
488,0.728
489,0.7292
490,0.7304
491,0.7316
492,0.7328
493,0.734
494,0.7352
495,0.73645
496,0.7377
497,0.7389
498,0.7401
499,0.74135
500,0.7426
501,0.7438
502,0.745
503,0.74625
504,0.7475
505,0.74875
506,0.75
507,0.7513
508,0.7526
509,0.7538
510,0.755
511,0.7561
512,0.7572
513,0.7584
514,0.7596
515,0.7607
516,0.7618
517,0.7629
518,0.764
519,0.7651
520,0.7662
521,0.76725
522,0.7683
523,0.76935
524,0.7704
525,0.7714
526,0.7724
527,0.77335
528,0.7743
529,0.7752
530,0.7761
531,0.77705
532,0.778
533,0.77885
534,0.7797
535,0.78055
536,0.7814
537,0.78225
538,0.7831
539,0.7839
540,0.7847
541,0.7855
542,0.7863
543,0.78705
544,0.7878
545,0.7885
546,0.7892
547,0.78995
548,0.7907
549,0.7914
550,0.7921
551,0.7927
552,0.7933
553,0.7939
554,0.7945
555,0.79505
556,0.7956
557,0.79625
558,0.7969
559,0.7975
560,0.7981
561,0.79855
562,0.799
563,0.79945
564,0.7999
565,0.80035
566,0.8008
567,0.8012
568,0.8016
569,0.802
570,0.8024
571,0.80285
572,0.8033
573,0.8037
574,0.8041
575,0.80445
576,0.8048
577,0.8051
578,0.8054
579,0.80575
580,0.8061
581,0.8064
582,0.8067
583,0.807
584,0.8073
585,0.80755
586,0.8078
587,0.80805
