wl,value
360,0.0551
361,0.0553
362,0.0555
363,0.05575
364,0.056
365,0.0563
366,0.0566
367,0.05685
368,0.0571
369,0.05745
370,0.0578
371,0.05815
372,0.0585
373,0.0589
374,0.0593
375,0.0597
376,0.0601
377,0.0607
378,0.0613
379,0.06195
380,0.0626
381,0.0632
382,0.0638
383,0.06445
384,0.0651
385,0.0658
386,0.0665
387,0.0672
388,0.0679
389,0.0686
390,0.0693
391,0.06995
392,0.0706
393,0.07125
394,0.0719
395,0.0725
396,0.0731
397,0.07365
398,0.0742
399,0.0747
400,0.0752
401,0.07565
402,0.0761
403,0.0765
404,0.0769
405,0.0772
406,0.0775
407,0.07785
408,0.0782
409,0.07855
410,0.0789
411,0.07925
412,0.0796
413,0.07995
414,0.0803
415,0.0807
416,0.0811
417,0.08155
418,0.082
419,0.0825
420,0.083
421,0.0836
422,0.0842
423,0.08485
424,0.0855
425,0.0863
426,0.0871
427,0.08795
428,0.0888
429,0.08975
430,0.0907
431,0.0918
432,0.0929
433,0.09415
434,0.0954
435,0.0967
436,0.098
437,0.0993
438,0.1006
439,0.1019
440,0.1032
441,0.10445
442,0.1057
443,0.1068
444,0.1079
445,0.10885
446,0.1098
447,0.11055
448,0.1113
449,0.11185
450,0.1124
451,0.1128
452,0.1132
453,0.11345
454,0.1137
455,0.1139
456,0.1141
457,0.1142
458,0.1143
459,0.11445
460,0.1146
461,0.11475
462,0.1149
463,0.1151
464,0.1153
465,0.11545
466,0.1156
467,0.1158
468,0.116
469,0.1162
470,0.1164
471,0.11665
472,0.1169
473,0.1172
474,0.1175
475,0.11785
476,0.1182
477,0.11855
478,0.1189
479,0.11935
480,0.1198
481,0.1204
482,0.121
483,0.1217
484,0.1224
485,0.1232
486,0.124
487,0.1249
488,0.1258
489,0.1268
490,0.1278
491,0.1289
492,0.13
493,0.13115
494,0.1323
495,0.1335
496,0.1347
497,0.13605
498,0.1374
499,0.13885
500,0.1403
501,0.1419
502,0.1435
503,0.1453
504,0.1471
505,0.149
506,0.1509
507,0.153
508,0.1551
509,0.15725
