wl,value
360,0.053456
361,0.05397
362,0.054484
363,0.054998
364,0.055512
365,0.056026
366,0.05654
367,0.057568
368,0.058596
369,0.05911
370,0.059624
371,0.060652
372,0.06168
373,0.062708
374,0.063736
375,0.064764
376,0.065792
377,0.06682
378,0.067848
379,0.06939
380,0.070932
381,0.072474
382,0.074016
383,0.075044
384,0.076072
385,0.078128
386,0.080184
387,0.081726
388,0.083268
389,0.08481
390,0.086352
391,0.088408
392,0.090464
393,0.09252
394,0.094576
395,0.096632
396,0.098688
397,0.101258
398,0.103828
399,0.105884
400,0.10794
401,0.11051
402,0.11308
403,0.11565
404,0.11822
405,0.12079
406,0.12336
407,0.12593
408,0.1285
409,0.13107
410,0.13364
411,0.13621
412,0.13878
413,0.141864
414,0.144948
415,0.147518
416,0.150088
417,0.152658
418,0.155228
419,0.158312
420,0.161396
421,0.163966
422,0.166536
423,0.169106
424,0.171676
425,0.174246
426,0.176816
427,0.179386
428,0.181956
429,0.18504
430,0.188124
431,0.190694
432,0.193264
433,0.19532
434,0.197376
435,0.20046
436,0.203544
437,0.2056
438,0.207656
439,0.210226
440,0.212796
441,0.215366
442,0.217936
443,0.220506
444,0.223076
445,0.225646
446,0.228216
447,0.230786
448,0.233356
449,0.235926
450,0.238496
451,0.241066
452,0.243636
453,0.246206
454,0.248776
455,0.250832
456,0.252888
457,0.255458
458,0.258028
459,0.260084
460,0.26214
461,0.26471
462,0.26728
463,0.26985
464,0.27242
465,0.27499
466,0.27756
467,0.28013
468,0.2827
469,0.284756
470,0.286812
471,0.289382
472,0.291952
473,0.294522
474,0.297092
475,0.299662
476,0.302232
477,0.304802
478,0.307372
479,0.309428
480,0.311484
481,0.314568
482,0.317652
483,0.320222
484,0.322792
485,0.325362
486,0.327932
487,0.330502
488,0.333072
489,0.335642
490,0.338212
491,0.340782
492,0.343352
493,0.345408
494,0.347464
495,0.350034
496,0.352604
497,0.35466
498,0.356716
499,0.359286
500,0.361856
501,0.363912
502,0.365968
503,0.368538
504,0.371108
505,0.373678
506,0.376248
507,0.378818
508,0.381388
509,0.383958
510,0.386528
511,0.389612
512,0.392696
513,0.395266
514,0.397836
515,0.400406
516,0.402976
517,0.405546
518,0.408116
519,0.410686
520,0.413256
521,0.41634
522,0.419424
523,0.421994
524,0.424564
525,0.427134
526,0.429704
527,0.432788
528,0.435872
529,0.438442
530,0.441012
531,0.444096
532,0.44718
533,0.44975
534,0.45232
535,0.45489
536,0.45746
537,0.460544
538,0.463628
539,0.466198
540,0.468768
541,0.471852
542,0.474936
543,0.477506
544,0.480076
545,0.48316
546,0.486244
547,0.488814
548,0.491384
549,0.494468
550,0.497552
551,0.500122
552,0.502692
553,0.505776
554,0.50886
555,0.51143
556,0.514
557,0.517084
558,0.520168
559,0.522738
560,0.525308
561,0.528392
562,0.531476
563,0.53456
564,0.537644
565,0.540214
566,0.542784
567,0.545868
568,0.548952
569,0.551522
570,0.554092
571,0.557176
572,0.56026
573,0.56283
574,0.5654
575,0.568484
576,0.571568
577,0.574138
578,0.576708
579,0.579792
580,0.582876
581,0.585446
582,0.588016
583,0.5911
584,0.594184
585,0.596754
586,0.599324
587,0.602408
588,0.605492
589,0.608062
590,0.610632
591,0.613716
592,0.6168
593,0.61937
594,0.62194
595,0.62451
596,0.62708
597,0.62965
598,0.63222
599,0.635304
600,0.638388
601,0.640958
602,0.643528
603,0.646098
604,0.648668
605,0.651238
606,0.653808
607,0.656378
608,0.658948
609,0.661518
610,0.664088
611,0.666658
612,0.669228
613,0.671798
614,0.674368
615,0.676938
616,0.679508
617,0.682078
618,0.684648
619,0.687218
620,0.689788
621,0.692358
622,0.694928
623,0.696984
624,0.69904
625,0.70161
626,0.70418
627,0.706236
628,0.708292
629,0.710862
630,0.713432
631,0.715488
632,0.717544
633,0.720114
634,0.722684
635,0.72474
636,0.726796
637,0.729366
638,0.731936
639,0.733992
640,0.736048
641,0.738104
642,0.74016
643,0.742216
644,0.744272
645,0.746328
646,0.748384
647,0.75044
648,0.752496
649,0.754552
650,0.756608
651,0.758664
652,0.76072
653,0.762776
654,0.764832
655,0.766888
656,0.768944
657,0.770486
658,0.772028
659,0.774084
660,0.77614
661,0.777682
662,0.779224
663,0.78128
664,0.783336
665,0.784878
666,0.78642
667,0.787962
668,0.789504
669,0.79156
670,0.793616
671,0.795158
672,0.7967
