wl,value
360,0.0635
361,0.0636
362,0.0637
363,0.06375
364,0.0638
365,0.06385
366,0.0639
367,0.064
368,0.0641
369,0.0642
370,0.0643
371,0.06435
372,0.0644
373,0.0645
374,0.0646
375,0.0647
376,0.0648
377,0.06485
378,0.0649
379,0.06495
380,0.065
381,0.06505
382,0.0651
383,0.0652
384,0.0653
385,0.0654
386,0.0655
387,0.06555
388,0.0656
389,0.0657
390,0.0658
391,0.0659
392,0.066
393,0.0661
394,0.0662
395,0.06625
396,0.0663
397,0.0664
398,0.0665
399,0.0666
400,0.0667
401,0.06675
402,0.0668
403,0.0669
404,0.067
405,0.06705
406,0.0671
407,0.06715
408,0.0672
409,0.0673
410,0.0674
411,0.06745
412,0.0675
413,0.0676
414,0.0677
415,0.06775
416,0.0678
417,0.0679
418,0.068
419,0.06805
420,0.0681
421,0.0682
422,0.0683
423,0.06835
424,0.0684
425,0.0685
426,0.0686
427,0.06865
428,0.0687
429,0.0688
430,0.0689
431,0.06895
432,0.069
433,0.0691
434,0.0692
435,0.06925
436,0.0693
437,0.0694
438,0.0695
439,0.06955
440,0.0696
441,0.0697
442,0.0698
443,0.06985
444,0.0699
445,0.06995
446,0.07
447,0.07005
448,0.0701
449,0.07015
450,0.0702
451,0.07025
452,0.0703
453,0.0704
454,0.0705
455,0.0706
456,0.0707
457,0.07075
458,0.0708
459,0.0709
460,0.071
461,0.07105
462,0.0711
463,0.07115
464,0.0712
465,0.07125
466,0.0713
467,0.07135
468,0.0714
469,0.07145
470,0.0715
471,0.07155
472,0.0716
473,0.07165
474,0.0717
475,0.07175
476,0.0718
477,0.07185
478,0.0719
479,0.07195
480,0.072
481,0.072
482,0.072
483,0.072
484,0.072
485,0.072
486,0.072
487,0.07205
488,0.0721
489,0.07215
490,0.0722
491,0.07225
492,0.0723
493,0.0724
494,0.0725
495,0.0726
496,0.0727
497,0.0728
498,0.0729
499,0.073
500,0.0731
501,0.0732
502,0.0733
503,0.07335
504,0.0734
505,0.07345
506,0.0735
507,0.0736
508,0.0737
509,0.07375
510,0.0738
511,0.0738
512,0.0738
513,0.07385
514,0.0739
515,0.07395
516,0.074
517,0.07405
518,0.0741
519,0.07415
520,0.0742
521,0.07425
522,0.0743
523,0.07435
524,0.0744
525,0.07445
526,0.0745
527,0.07455
528,0.0746
529,0.0747
530,0.0748
531,0.0748
532,0.0748
533,0.07485
534,0.0749
535,0.075
536,0.0751
537,0.07515
538,0.0752
539,0.0752
540,0.0752
541,0.0753
542,0.0754
543,0.07545
544,0.0755
545,0.0755
546,0.0755
547,0.0756
548,0.0757
549,0.07575
550,0.0758
551,0.0758
552,0.0758
553,0.07585
554,0.0759
