wl,value
360,0.3664
361,0.36745
362,0.3685
363,0.36945
364,0.3704
365,0.3714
366,0.3724
367,0.37325
368,0.3741
369,0.37505
370,0.376
371,0.37685
372,0.3777
373,0.3786
374,0.3795
375,0.38035
376,0.3812
377,0.38225
378,0.3833
379,0.38435
380,0.3854
381,0.38625
382,0.3871
383,0.388
384,0.3889
385,0.3898
386,0.3907
387,0.39165
388,0.3926
389,0.39345
390,0.3943
391,0.39525
392,0.3962
393,0.39705
394,0.3979
395,0.3988
396,0.3997
397,0.40065
398,0.4016
399,0.40255
400,0.4035
401,0.40435
402,0.4052
403,0.4061
404,0.407
405,0.40795
406,0.4089
407,0.4098
408,0.4107
409,0.4116
410,0.4125
411,0.4134
412,0.4143
413,0.4152
414,0.4161
415,0.417
416,0.4179
417,0.4188
418,0.4197
419,0.42065
420,0.4216
421,0.4225
422,0.4234
423,0.42425
424,0.4251
425,0.426
426,0.4269
427,0.4278
428,0.4287
429,0.4296
430,0.4305
431,0.43135
432,0.4322
433,0.43305
434,0.4339
435,0.43475
436,0.4356
437,0.43645
438,0.4373
439,0.4381
440,0.4389
441,0.4397
442,0.4405
443,0.44135
444,0.4422
445,0.443
446,0.4438
447,0.4446
448,0.4454
449,0.44615
450,0.4469
451,0.4477
452,0.4485
453,0.4492
454,0.4499
455,0.4506
456,0.4513
457,0.45195
458,0.4526
459,0.45325
460,0.4539
461,0.45455
462,0.4552
463,0.4558
464,0.4564
465,0.457
466,0.4576
467,0.45825
468,0.4589
469,0.45955
470,0.4602
471,0.4608
472,0.4614
473,0.462
474,0.4626
475,0.4631
476,0.4636
477,0.46415
478,0.4647
479,0.4654
480,0.4661
481,0.4668
482,0.4675
483,0.46815
484,0.4688
485,0.4694
486,0.47
487,0.47065
488,0.4713
489,0.47185
490,0.4724
491,0.4729
492,0.4734
493,0.47385
494,0.4743
495,0.47465
496,0.475
497,0.47535
498,0.4757
499,0.4761
500,0.4765
501,0.47685
502,0.4772
503,0.47765
504,0.4781
505,0.47855
506,0.479
507,0.4795
508,0.48
509,0.48045
510,0.4809
511,0.4814
512,0.4819
513,0.4824
514,0.4829
515,0.48335
516,0.4838
517,0.4842
518,0.4846
519,0.4851
520,0.4856
521,0.48605
522,0.4865
523,0.4869
524,0.4873
525,0.48775
526,0.4882
527,0.48865
528,0.4891
529,0.4895
530,0.4899
531,0.4903
532,0.4907
533,0.49115
534,0.4916
535,0.492
536,0.4924
537,0.49275
538,0.4931
539,0.4935
540,0.4939
541,0.49435
542,0.4948
543,0.4952
544,0.4956
545,0.49595
546,0.4963
547,0.49675
548,0.4972
549,0.4976
550,0.498
551,0.4984
552,0.4988
553,0.49915
554,0.4995
555,0.49985
556,0.5002
557,0.5006
558,0.501
559,0.50145
560,0.5019
561,0.5022
562,0.5025
563,0.50285
564,0.5032
565,0.5035
566,0.5038
567,0.50415
568,0.5045
569,0.50485
570,0.5052
571,0.50555
572,0.5059
573,0.50625
574,0.5066
575,0.50695
576,0.5073
577,0.50765
578,0.508
579,0.5083
580,0.5086
581,0.50895
582,0.5093
583,0.5096
584,0.5099
585,0.5102
586,0.5105
587,0.51085
588,0.5112
589,0.51145
590,0.5117
591,0.512
592,0.5123
593,0.5126
594,0.5129
595,0.5132
596,0.5135
597,0.51385
598,0.5142
599,0.5145
600,0.5148
601,0.5151
602,0.5154
603,0.5157
604,0.516
605,0.5163
606,0.5166
607,0.51685
608,0.5171
609,0.51735
610,0.5176
611,0.5179
612,0.5182
613,0.51845
614,0.5187
615,0.51895
616,0.5192
617,0.5195
618,0.5198
619,0.52005
