wl,value
360,0.0224
361,0.02245
362,0.0225
363,0.02255
364,0.0226
365,0.0227
366,0.0228
367,0.02285
368,0.0229
369,0.02295
370,0.023
371,0.02305
372,0.0231
373,0.02315
374,0.0232
375,0.0232
376,0.0232
377,0.02325
378,0.0233
379,0.0233
380,0.0233
381,0.02335
382,0.0234
383,0.0234
384,0.0234
385,0.0234
386,0.0234
387,0.0234
388,0.0234
389,0.0234
390,0.0234
391,0.0234
392,0.0234
393,0.0234
394,0.0234
395,0.0234
396,0.0234
397,0.0234
398,0.0234
399,0.02345
400,0.0235
401,0.0235
402,0.0235
403,0.0235
404,0.0235
405,0.0235
406,0.0235
407,0.0235
408,0.0235
409,0.0235
410,0.0235
411,0.0235
412,0.0235
413,0.02355
414,0.0236
415,0.0236
416,0.0236
417,0.02365
418,0.0237
419,0.0237
420,0.0237
421,0.0237
422,0.0237
423,0.02375
424,0.0238
425,0.0238
426,0.0238
427,0.02385
428,0.0239
429,0.0239
430,0.0239
431,0.02395
432,0.024
433,0.024
434,0.024
435,0.02405
436,0.0241
437,0.0241
438,0.0241
439,0.0241
440,0.0241
441,0.0241
442,0.0241
443,0.0241
444,0.0241
445,0.0241
446,0.0241
447,0.0241
448,0.0241
449,0.0241
450,0.0241
451,0.0241
452,0.0241
453,0.0241
454,0.0241
455,0.0241
456,0.0241
457,0.0241
458,0.0241
459,0.02405
460,0.024
461,0.024
462,0.024
463,0.024
464,0.024
465,0.02395
466,0.0239
467,0.0239
468,0.0239
469,0.0239
470,0.0239
471,0.02385
472,0.0238
473,0.0238
474,0.0238
475,0.0238
476,0.0238
477,0.0238
478,0.0238
479,0.0238
480,0.0238
481,0.0238
482,0.0238
483,0.02385
484,0.0239
485,0.02395
486,0.024
487,0.024
488,0.024
489,0.0241
490,0.0242
491,0.02425
492,0.0243
493,0.02435
494,0.0244
495,0.0245
496,0.0246
497,0.02465
498,0.0247
499,0.0248
500,0.0249
501,0.025
502,0.0251
503,0.02515
504,0.0252
505,0.0253
506,0.0254
507,0.0255
508,0.0256
509,0.0257
510,0.0258
511,0.0259
512,0.026
513,0.0261
514,0.0262
515,0.02635
516,0.0265
517,0.0266
518,0.0267
519,0.02685
520,0.027
521,0.0272
522,0.0274
523,0.02755
524,0.0277
525,0.0279
526,0.0281
527,0.02835
528,0.0286
529,0.0288
530,0.029
531,0.02925
532,0.0295
533,0.0298
534,0.0301
535,0.0304
536,0.0307
537,0.03105
538,0.0314
539,0.03175
540,0.0321
541,0.0325
542,0.0329
543,0.0333
544,0.0337
545,0.0342
546,0.0347
547,0.0352
548,0.0357
549,0.0362
550,0.0367
551,0.0373
552,0.0379
553,0.0385
554,0.0391
555,0.03975
556,0.0404
557,0.0411
558,0.0418
559,0.0425
560,0.0432
561,0.044
562,0.0448
563,0.0456
564,0.0464
565,0.0472
566,0.048
567,0.04885
568,0.0497
569,0.05055
570,0.0514
571,0.0523
572,0.0532
573,0.05405
574,0.0549
575,0.0558
576,0.0567
577,0.0576
578,0.0585
579,0.05935
580,0.0602
581,0.06105
582,0.0619
583,0.06275
584,0.0636
585,0.06445
586,0.0653
587,0.06605
588,0.0668
589,0.06755
590,0.0683
591,0.069
592,0.0697
593,0.0704
594,0.0711
595,0.07175
596,0.0724
597,0.07295
598,0.0735
599,0.074
600,0.0745
601,0.075
602,0.0755
603,0.07595
604,0.0764
605,0.0768
606,0.0772
607,0.0776
608,0.078
609,0.0783
610,0.0786
611,0.0789
612,0.0792
613,0.07945
614,0.0797
615,0.0799
616,0.0801
617,0.0803
618,0.0805
619,0.08065
620,0.0808
621,0.08095
622,0.0811
623,0.0812
624,0.0813
625,0.0814
626,0.0815
627,0.08155
628,0.0816
629,0.08165
630,0.0817
631,0.08175
632,0.0818
633,0.08185
634,0.0819
635,0.0819
636,0.0819
637,0.08195
638,0.082
639,0.082
640,0.082
641,0.082
642,0.082
643,0.082
644,0.082
645,0.082
646,0.082
647,0.082
648,0.082
649,0.082
650,0.082
651,0.082
652,0.082
653,0.08195
654,0.0819
655,0.08195
656,0.082
657,0.082
658,0.082
659,0.082
660,0.082
661,0.082
662,0.082
663,0.08205
664,0.0821
665,0.08215
666,0.0822
667,0.08225
668,0.0823
669,0.08235
670,0.0824
671,0.08245
672,0.0825
673,0.08255
674,0.0826
675,0.0827
676,0.0828
677,0.08285
678,0.0829
679,0.083
680,0.0831
681,0.0832
682,0.0833
683,0.0834
684,0.0835
685,0.08365
686,0.0838
687,0.0839
688,0.084
689,0.08415
690,0.0843
691,0.08445
692,0.0846
693,0.08475
694,0.0849
695,0.08505
696,0.0852
697,0.0854
698,0.0856
699,0.08575
700,0.0859
701,0.0861
702,0.0863
703,0.0865
704,0.0867
705,0.08685
706,0.087
707,0.0872
708,0.0874
709,0.0876
710,0.0878
711,0.08805
712,0.0883
713,0.0885
714,0.0887
715,0.0889
716,0.0891
717,0.0893
718,0.0895
719,0.0897
720,0.0899
721,0.0901
722,0.0903
723,0.09055
724,0.0908
725,0.091
726,0.0912
727,0.0914
728,0.0916
729,0.0918
730,0.092
731,0.0922
732,0.0924
733,0.0926
734,0.0928
735,0.093
736,0.0932
737,0.0934
738,0.0936
739,0.09375
740,0.0939
741,0.0941
742,0.0943
743,0.09445
744,0.0946
745,0.09475
746,0.0949
747,0.09505
748,0.0952
749,0.0953
750,0.0954
751,0.09555
752,0.0957
753,0.0958
754,0.0959
755,0.096
756,0.0961
757,0.09615
758,0.0962
759,0.0963
760,0.0964
761,0.09645
762,0.0965
763,0.0965
764,0.0965
765,0.09655
766,0.0966
767,0.0966
768,0.0966
769,0.09655
770,0.0965
771,0.0965
772,0.0965
773,0.0964
774,0.0963
775,0.09625
776,0.0962
777,0.09615
778,0.0961
779,0.096
780,0.0959
781,0.09575
782,0.0956
783,0.0955
784,0.0954
785,0.0952
786,0.095
787,0.09485
788,0.0947
789,0.0945
790,0.0943
791,0.0941
792,0.0939
793,0.0937
794,0.0935
795,0.0933
796,0.0931
797,0.09285
798,0.0926
799,0.09235
800,0.0921
801,0.09179
802,0.09148
803,0.09117
804,0.09086
805,0.09055
806,0.09024
807,0.08993
808,0.08962
809,0.08931
810,0.089
811,0.08869
812,0.08838
813,0.08807
814,0.08776
815,0.08745
816,0.08714
817,0.08683
818,0.08652
819,0.08621
820,0.0859
821,0.085545
822,0.08519
823,0.084835
824,0.08448
825,0.084125
826,0.08377
827,0.083415
828,0.08306
829,0.082705
830,0.08235
