wl,value
360,0.2452
361,0.2471
362,0.249
363,0.25085
364,0.2527
365,0.25455
366,0.2564
367,0.25815
368,0.2599
369,0.26155
370,0.2632
371,0.2646
372,0.266
373,0.26725
374,0.2685
375,0.26955
376,0.2706
377,0.27155
378,0.2725
379,0.2733
380,0.2741
381,0.2747
382,0.2753
383,0.27585
384,0.2764
385,0.27695
386,0.2775
387,0.278
388,0.2785
389,0.279
390,0.2795
391,0.27995
392,0.2804
393,0.2808
394,0.2812
395,0.28165
396,0.2821
397,0.2825
398,0.2829
399,0.2833
400,0.2837
401,0.2841
402,0.2845
403,0.28485
404,0.2852
405,0.2855
406,0.2858
407,0.28615
408,0.2865
409,0.28685
410,0.2872
411,0.28755
412,0.2879
413,0.28815
414,0.2884
415,0.2887
416,0.289
417,0.28935
418,0.2897
419,0.29
420,0.2903
421,0.29055
422,0.2908
423,0.29105
424,0.2913
425,0.29155
426,0.2918
427,0.2921
428,0.2924
429,0.29265
430,0.2929
431,0.2932
432,0.2935
433,0.2937
434,0.2939
435,0.2942
436,0.2945
437,0.2947
438,0.2949
439,0.29515
440,0.2954
441,0.29555
442,0.2957
443,0.29595
444,0.2962
445,0.29645
446,0.2967
447,0.29685
448,0.297
449,0.2972
450,0.2974
451,0.2976
452,0.2978
453,0.298
454,0.2982
455,0.2984
456,0.2986
457,0.29875
458,0.2989
459,0.29905
460,0.2992
461,0.29935
462,0.2995
463,0.2997
464,0.2999
465,0.3
466,0.3001
467,0.30025
468,0.3004
469,0.30055
470,0.3007
471,0.3008
472,0.3009
473,0.301
474,0.3011
475,0.30125
476,0.3014
477,0.3015
478,0.3016
479,0.3017
480,0.3018
481,0.3019
482,0.302
483,0.30205
484,0.3021
485,0.3022
486,0.3023
487,0.3024
488,0.3025
489,0.3026
490,0.3027
491,0.30275
492,0.3028
493,0.30295
494,0.3031
495,0.3032
496,0.3033
497,0.3034
498,0.3035
499,0.3036
500,0.3037
501,0.30375
502,0.3038
503,0.30385
504,0.3039
505,0.30395
506,0.304
507,0.30405
508,0.3041
509,0.30415
510,0.3042
511,0.3042
512,0.3042
513,0.30425
514,0.3043
515,0.3043
516,0.3043
517,0.3043
518,0.3043
519,0.30435
520,0.3044
521,0.30435
522,0.3043
523,0.3043
524,0.3043
525,0.30425
526,0.3042
527,0.3042
528,0.3042
529,0.30415
530,0.3041
531,0.3041
532,0.3041
533,0.30405
534,0.304
535,0.3039
536,0.3038
537,0.30375
538,0.3037
539,0.3036
540,0.3035
541,0.3034
542,0.3033
543,0.3032
544,0.3031
545,0.303
546,0.3029
547,0.30285
548,0.3028
549,0.30265
550,0.3025
551,0.3024
552,0.3023
553,0.30215
554,0.302
555,0.3018
556,0.3016
557,0.30145
558,0.3013
559,0.30115
560,0.301
561,0.3008
562,0.3006
563,0.3004
564,0.3002
565,0.29995
566,0.2997
567,0.2995
568,0.2993
569,0.29905
570,0.2988
571,0.2986
572,0.2984
573,0.29815
574,0.2979
575,0.2976
576,0.2973
577,0.29705
578,0.2968
579,0.2965
580,0.2962
581,0.29595
582,0.2957
583,0.2954
584,0.2951
585,0.29485
586,0.2946
587,0.2943
588,0.294
589,0.2937
590,0.2934
591,0.29315
592,0.2929
593,0.2926
594,0.2923
595,0.29205
596,0.2918
597,0.2915
598,0.2912
599,0.29095
600,0.2907
601,0.2904
602,0.2901
603,0.28985
604,0.2896
605,0.2893
606,0.289
607,0.28875
608,0.2885
609,0.28825
610,0.288
611,0.28775
612,0.2875
613,0.28725
614,0.287
615,0.28675
616,0.2865
617,0.28625
618,0.286
619,0.2858
620,0.2856
621,0.28535
622,0.2851
623,0.28485
624,0.2846
625,0.2844
626,0.2842
627,0.284
628,0.2838
629,0.28355
630,0.2833
631,0.28305
632,0.2828
633,0.2826
634,0.2824
635,0.2822
636,0.282
637,0.28185
638,0.2817
639,0.2815
640,0.2813
641,0.28105
642,0.2808
643,0.2806
644,0.2804
645,0.2802
646,0.28
647,0.27985
648,0.2797
649,0.2795
650,0.2793
651,0.2791
652,0.2789
653,0.2787
654,0.2785
655,0.27835
656,0.2782
657,0.278
658,0.2778
659,0.27765
660,0.2775
661,0.2773
662,0.2771
663,0.27695
664,0.2768
665,0.27665
666,0.2765
667,0.2763
668,0.2761
669,0.27595
670,0.2758
671,0.2756
672,0.2754
673,0.27525
674,0.2751
675,0.27495
676,0.2748
677,0.2746
678,0.2744
679,0.27425
680,0.2741
681,0.2739
682,0.2737
683,0.2735
684,0.2733
685,0.27315
686,0.273
687,0.2728
688,0.2726
689,0.2724
690,0.2722
691,0.27205
692,0.2719
693,0.27175
694,0.2716
695,0.2714
696,0.2712
697,0.2711
698,0.271
699,0.2708
700,0.2706
701,0.27045
702,0.2703
703,0.27015
704,0.27
705,0.2698
706,0.2696
707,0.2694
708,0.2692
709,0.26905
710,0.2689
711,0.2687
712,0.2685
713,0.26835
714,0.2682
715,0.268
716,0.2678
717,0.26765
718,0.2675
719,0.2673
720,0.2671
721,0.2669
722,0.2667
723,0.26655
724,0.2664
725,0.26625
726,0.2661
727,0.2659
728,0.2657
729,0.2655
730,0.2653
731,0.2651
732,0.2649
733,0.26475
734,0.2646
735,0.2644
736,0.2642
737,0.26405
738,0.2639
739,0.2637
740,0.2635
741,0.2633
742,0.2631
743,0.2629
744,0.2627
745,0.2625
746,0.2623
747,0.2621
748,0.2619
749,0.2617
750,0.2615
751,0.2613
752,0.2611
753,0.2609
754,0.2607
755,0.26045
756,0.2602
757,0.26
758,0.2598
759,0.2596
760,0.2594
761,0.25915
762,0.2589
763,0.2587
764,0.2585
765,0.2583
766,0.2581
767,0.25785
768,0.2576
769,0.25735
770,0.2571
771,0.2569
772,0.2567
773,0.25645
774,0.2562
775,0.256
776,0.2558
777,0.2556
778,0.2554
779,0.25515
780,0.2549
781,0.25465
782,0.2544
783,0.2542
784,0.254
785,0.2537
786,0.2534
787,0.25315
788,0.2529
789,0.25265
790,0.2524
791,0.25215
792,0.2519
793,0.25165
794,0.2514
795,0.25115
796,0.2509
797,0.2507
798,0.2505
799,0.2502
800,0.2499
801,0.24964
802,0.24938
803,0.24912
804,0.24886
805,0.2486
806,0.24834
807,0.24808
808,0.24782
809,0.24756
810,0.2473
811,0.24704
812,0.24678
813,0.24652
814,0.24626
815,0.246
816,0.24574
817,0.24548
818,0.24522
819,0.24496
820,0.2447
821,0.24444
822,0.24418
823,0.24392
824,0.24366
825,0.2434
826,0.24314
827,0.24288
828,0.24262
829,0.24236
830,0.2421
