wl,value
360,0.1291
361,0.13145
362,0.1338
363,0.1362
364,0.1386
365,0.1411
366,0.1436
367,0.1461
368,0.1486
369,0.15115
370,0.1537
371,0.1563
372,0.1589
373,0.16155
374,0.1642
375,0.16695
376,0.1697
377,0.1728
378,0.1759
379,0.17915
380,0.1824
381,0.18525
382,0.1881
383,0.19095
384,0.1938
385,0.19665
386,0.1995
387,0.20235
388,0.2052
389,0.208
390,0.2108
391,0.21355
392,0.2163
393,0.219
394,0.2217
395,0.22435
396,0.227
397,0.22955
398,0.2321
399,0.2346
400,0.2371
401,0.23955
402,0.242
403,0.24435
404,0.2467
405,0.249
406,0.2513
407,0.25355
408,0.2558
409,0.258
410,0.2602
411,0.2623
412,0.2644
413,0.2665
414,0.2686
415,0.27065
416,0.2727
417,0.2747
418,0.2767
419,0.27865
420,0.2806
421,0.2825
422,0.2844
423,0.2862
424,0.288
425,0.28975
426,0.2915
427,0.2932
428,0.2949
429,0.29655
430,0.2982
431,0.29975
432,0.3013
433,0.3028
434,0.3043
435,0.30575
436,0.3072
437,0.3086
438,0.31
439,0.31135
440,0.3127
441,0.314
442,0.3153
443,0.31655
444,0.3178
445,0.31905
446,0.3203
447,0.32155
448,0.3228
449,0.32395
450,0.3251
451,0.32625
452,0.3274
453,0.32855
454,0.3297
455,0.33085
456,0.332
457,0.33315
458,0.3343
459,0.33545
460,0.3366
461,0.33775
462,0.3389
463,0.34005
464,0.3412
465,0.34235
466,0.3435
467,0.34465
468,0.3458
469,0.34695
470,0.3481
471,0.3492
472,0.3503
473,0.3515
474,0.3527
475,0.354
476,0.3553
477,0.35665
478,0.358
479,0.35955
480,0.3611
481,0.3627
482,0.3643
483,0.36595
484,0.3676
485,0.3692
486,0.3708
487,0.3724
488,0.374
489,0.3754
490,0.3768
491,0.37815
492,0.3795
493,0.38075
494,0.382
495,0.3831
496,0.3842
497,0.38525
498,0.3863
499,0.3873
500,0.3883
501,0.38925
502,0.3902
503,0.3911
504,0.392
505,0.39285
506,0.3937
507,0.39455
508,0.3954
509,0.39615
510,0.3969
511,0.3976
512,0.3983
513,0.39895
514,0.3996
515,0.4002
516,0.4008
517,0.40135
518,0.4019
519,0.4024
520,0.4029
521,0.40335
522,0.4038
523,0.4042
524,0.4046
525,0.40495
526,0.4053
527,0.4056
528,0.4059
529,0.40615
530,0.4064
531,0.40665
532,0.4069
533,0.40705
534,0.4072
535,0.40725
536,0.4073
537,0.40735
538,0.4074
539,0.4074
540,0.4074
541,0.40735
542,0.4073
543,0.40725
544,0.4072
545,0.40705
546,0.4069
547,0.4067
548,0.4065
549,0.40625
550,0.406
551,0.4057
552,0.4054
553,0.405
554,0.4046
555,0.40415
556,0.4037
557,0.4032
558,0.4027
559,0.40215
560,0.4016
561,0.4009
562,0.4002
563,0.3995
564,0.3988
565,0.398
566,0.3972
567,0.39635
568,0.3955
569,0.3946
570,0.3937
571,0.39275
572,0.3918
573,0.3907
574,0.3896
575,0.38845
576,0.3873
577,0.38605
578,0.3848
579,0.38345
580,0.3821
581,0.3807
582,0.3793
583,0.37785
584,0.3764
585,0.37485
586,0.3733
587,0.3717
588,0.3701
589,0.36845
590,0.3668
591,0.3651
592,0.3634
593,0.36165
594,0.3599
595,0.35805
596,0.3562
597,0.3543
598,0.3524
599,0.3503
600,0.3482
601,0.3463
602,0.3444
603,0.34245
604,0.3405
605,0.3383
606,0.3361
607,0.33395
608,0.3318
609,0.3296
610,0.3274
611,0.32515
612,0.3229
613,0.32065
614,0.3184
615,0.31615
616,0.3139
617,0.31165
618,0.3094
619,0.3072
620,0.305
621,0.3028
622,0.3006
623,0.2984
624,0.2962
625,0.294
626,0.2918
627,0.2897
628,0.2876
629,0.2855
630,0.2834
631,0.2814
632,0.2794
633,0.2774
634,0.2754
635,0.2734
636,0.2714
637,0.26945
638,0.2675
639,0.2656
640,0.2637
641,0.26185
642,0.26
643,0.2582
644,0.2564
645,0.25465
646,0.2529
647,0.25125
648,0.2496
649,0.24795
650,0.2463
651,0.2447
652,0.2431
653,0.24155
654,0.24
655,0.23855
656,0.2371
657,0.23565
658,0.2342
659,0.2329
660,0.2316
661,0.23025
662,0.2289
663,0.22765
664,0.2264
665,0.2252
666,0.224
667,0.22285
668,0.2217
669,0.22055
670,0.2194
671,0.2184
672,0.2174
673,0.2164
674,0.2154
675,0.21445
676,0.2135
677,0.21255
678,0.2116
679,0.21075
680,0.2099
681,0.2091
682,0.2083
683,0.20755
684,0.2068
685,0.20605
686,0.2053
687,0.2046
688,0.2039
689,0.2033
690,0.2027
691,0.2021
692,0.2015
693,0.20095
694,0.2004
695,0.1999
696,0.1994
697,0.19895
698,0.1985
699,0.19805
700,0.1976
701,0.1972
702,0.1968
703,0.19645
704,0.1961
705,0.19575
706,0.1954
707,0.19515
708,0.1949
709,0.19465
710,0.1944
711,0.1942
712,0.194
713,0.1938
714,0.1936
715,0.19345
716,0.1933
717,0.19315
718,0.193
719,0.1929
720,0.1928
721,0.1927
722,0.1926
723,0.1926
724,0.1926
725,0.1926
726,0.1926
727,0.19255
728,0.1925
729,0.19255
730,0.1926
731,0.19265
732,0.1927
733,0.1928
734,0.1929
735,0.193
736,0.1931
737,0.1932
738,0.1933
739,0.19345
740,0.1936
741,0.19375
742,0.1939
743,0.19405
744,0.1942
745,0.1944
746,0.1946
747,0.19475
748,0.1949
749,0.1951
750,0.1953
751,0.19555
752,0.1958
753,0.196
754,0.1962
755,0.1964
756,0.1966
757,0.1969
758,0.1972
759,0.1974
760,0.1976
761,0.19785
762,0.1981
763,0.1984
764,0.1987
765,0.19895
766,0.1992
767,0.19945
768,0.1997
769,0.19995
770,0.2002
771,0.2005
772,0.2008
773,0.20105
774,0.2013
775,0.2016
776,0.2019
777,0.2022
778,0.2025
779,0.20275
780,0.203
781,0.20325
782,0.2035
783,0.20375
784,0.204
785,0.20425
786,0.2045
787,0.2047
788,0.2049
789,0.20515
790,0.2054
791,0.20565
792,0.2059
793,0.20605
794,0.2062
795,0.2064
796,0.2066
797,0.20685
798,0.2071
799,0.2073
800,0.2075
801,0.20762
802,0.20774
803,0.20786
804,0.20798
805,0.2081
806,0.20822
807,0.20834
808,0.20846
809,0.20858
810,0.2087
811,0.20882
812,0.20894
813,0.20906
814,0.20918
815,0.2093
816,0.20942
817,0.20954
818,0.20966
819,0.20978
820,0.2099
821,0.20994
822,0.20998
823,0.21002
824,0.21006
825,0.2101
826,0.21014
827,0.21018
828,0.21022
829,0.21026
830,0.2103
