wl,value
360,0.0219
361,0.02195
362,0.022
363,0.022
364,0.022
365,0.022
366,0.022
367,0.022
368,0.022
369,0.02205
370,0.0221
371,0.0221
372,0.0221
373,0.02215
374,0.0222
375,0.0222
376,0.0222
377,0.0222
378,0.0222
379,0.0222
380,0.0222
381,0.02225
382,0.0223
383,0.0223
384,0.0223
385,0.0223
386,0.0223
387,0.02235
388,0.0224
389,0.0224
390,0.0224
391,0.02245
392,0.0225
393,0.0225
394,0.0225
395,0.0225
396,0.0225
397,0.02255
398,0.0226
399,0.0226
400,0.0226
401,0.02265
402,0.0227
403,0.0227
404,0.0227
405,0.0227
406,0.0227
407,0.02275
408,0.0228
409,0.0228
410,0.0228
411,0.0228
412,0.0228
413,0.02285
414,0.0229
415,0.0229
416,0.0229
417,0.0229
418,0.0229
419,0.02295
420,0.023
421,0.023
422,0.023
423,0.02305
424,0.0231
425,0.0231
426,0.0231
427,0.0231
428,0.0231
429,0.02315
430,0.0232
431,0.0232
432,0.0232
433,0.0232
434,0.0232
435,0.02325
436,0.0233
437,0.0233
438,0.0233
439,0.02335
440,0.0234
441,0.0234
442,0.0234
443,0.0234
444,0.0234
445,0.0234
446,0.0234
447,0.0234
448,0.0234
449,0.02345
450,0.0235
451,0.0235
452,0.0235
453,0.02355
454,0.0236
455,0.0236
456,0.0236
457,0.02365
458,0.0237
459,0.0237
460,0.0237
461,0.0237
462,0.0237
463,0.02375
464,0.0238
465,0.0238
466,0.0238
467,0.0238
468,0.0238
469,0.0238
470,0.0238
471,0.0238
472,0.0238
473,0.02385
474,0.0239
475,0.0239
476,0.0239
477,0.0239
478,0.0239
479,0.0239
480,0.0239
481,0.0239
482,0.0239
483,0.02385
484,0.0238
485,0.0238
486,0.0238
487,0.0238
488,0.0238
489,0.02385
490,0.0239
491,0.0239
492,0.0239
493,0.02395
494,0.024
495,0.02405
496,0.0241
497,0.02415
498,0.0242
499,0.02425
500,0.0243
501,0.0243
502,0.0243
503,0.02435
504,0.0244
505,0.0244
506,0.0244
507,0.02445
508,0.0245
509,0.0245
510,0.0245
511,0.0245
512,0.0245
513,0.0245
514,0.0245
515,0.0245
516,0.0245
517,0.02455
518,0.0246
519,0.0246
520,0.0246
521,0.0246
522,0.0246
523,0.02465
524,0.0247
525,0.0247
526,0.0247
527,0.0247
528,0.0247
529,0.02475
530,0.0248
531,0.0248
532,0.0248
533,0.0248
534,0.0248
535,0.02485
536,0.0249
537,0.0249
538,0.0249
539,0.0249
540,0.0249
541,0.02495
542,0.025
543,0.025
544,0.025
545,0.025
546,0.025
547,0.02505
548,0.0251
549,0.0251
550,0.0251
551,0.0251
552,0.0251
553,0.02515
554,0.0252
555,0.0252
556,0.0252
557,0.02525
558,0.0253
559,0.0253
560,0.0253
561,0.0253
562,0.0253
563,0.02535
564,0.0254
565,0.0254
566,0.0254
567,0.02545
568,0.0255
569,0.0255
570,0.0255
571,0.0255
572,0.0255
573,0.02555
574,0.0256
575,0.0256
576,0.0256
577,0.0256
578,0.0256
579,0.02565
580,0.0257
581,0.0257
582,0.0257
583,0.0257
584,0.0257
585,0.02575
586,0.0258
587,0.0258
588,0.0258
589,0.02585
590,0.0259
591,0.0259
592,0.0259
593,0.0259
594,0.0259
595,0.02595
596,0.026
597,0.026
598,0.026
599,0.026
600,0.026
601,0.02605
602,0.0261
603,0.0261
604,0.0261
605,0.0261
606,0.0261
607,0.02615
608,0.0262
609,0.0262
610,0.0262
611,0.0262
612,0.0262
613,0.0262
614,0.0262
615,0.02625
616,0.0263
617,0.0263
618,0.0263
619,0.0263
620,0.0263
621,0.02635
622,0.0264
623,0.0264
624,0.0264
625,0.0264
626,0.0264
627,0.0264
628,0.0264
629,0.02645
630,0.0265
631,0.0265
632,0.0265
633,0.0265
634,0.0265
635,0.02655
636,0.0266
637,0.0266
638,0.0266
639,0.0266
640,0.0266
641,0.0266
642,0.0266
643,0.02665
644,0.0267
645,0.0267
646,0.0267
647,0.0267
648,0.0267
649,0.02675
650,0.0268
651,0.0268
652,0.0268
653,0.0268
654,0.0268
655,0.0268
656,0.0268
657,0.02685
658,0.0269
659,0.0269
660,0.0269
661,0.02695
662,0.027
663,0.027
664,0.027
665,0.027
666,0.027
667,0.027
668,0.027
669,0.02705
670,0.0271
671,0.0271
672,0.0271
673,0.0271
674,0.0271
675,0.02715
676,0.0272
677,0.0272
678,0.0272
679,0.0272
680,0.0272
681,0.02725
682,0.0273
683,0.0273
684,0.0273
685,0.0273
686,0.0273
687,0.0273
688,0.0273
689,0.0273
690,0.0273
691,0.02735
692,0.0274
693,0.0274
694,0.0274
695,0.02745
696,0.0275
697,0.0275
698,0.0275
699,0.0275
700,0.0275
701,0.02755
702,0.0276
703,0.0276
704,0.0276
705,0.0276
706,0.0276
707,0.0276
708,0.0276
709,0.02765
710,0.0277
711,0.0277
712,0.0277
713,0.0277
714,0.0277
715,0.02775
716,0.0278
717,0.0278
718,0.0278
719,0.0278
720,0.0278
721,0.02785
722,0.0279
723,0.0279
724,0.0279
725,0.0279
726,0.0279
727,0.02795
728,0.028
729,0.028
730,0.028
731,0.028
732,0.028
733,0.02805
734,0.0281
735,0.0281
736,0.0281
737,0.02815
738,0.0282
739,0.0282
740,0.0282
741,0.0282
742,0.0282
743,0.0282
744,0.0282
745,0.02825
746,0.0283
747,0.0283
748,0.0283
749,0.0283
750,0.0283
751,0.02835
752,0.0284
753,0.0284
754,0.0284
755,0.0284
756,0.0284
757,0.0284
758,0.0284
759,0.02845
760,0.0285
761,0.0285
762,0.0285
763,0.0285
764,0.0285
765,0.02855
766,0.0286
767,0.0286
768,0.0286
769,0.02865
770,0.0287
771,0.0287
772,0.0287
773,0.0287
774,0.0287
775,0.0287
776,0.0287
777,0.02875
778,0.0288
779,0.0288
780,0.0288
781,0.0288
