wl,value
360,0.0499
361,0.05085
362,0.0518
363,0.05285
364,0.0539
365,0.0551
366,0.0563
367,0.0576
368,0.0589
369,0.06035
370,0.0618
371,0.06335
372,0.0649
373,0.06665
374,0.0684
375,0.0705
376,0.0726
377,0.0753
378,0.078
379,0.0814
380,0.0848
381,0.0883
382,0.0918
383,0.096
384,0.1002
385,0.1052
386,0.1102
387,0.1162
388,0.1222
389,0.12915
390,0.1361
391,0.14395
392,0.1518
393,0.16025
394,0.1687
395,0.1774
396,0.1861
397,0.19465
398,0.2032
399,0.2113
400,0.2194
401,0.2266
402,0.2338
403,0.24005
404,0.2463
405,0.2511
406,0.2559
407,0.25965
408,0.2634
409,0.26595
410,0.2685
411,0.27035
412,0.2722
413,0.2735
414,0.2748
415,0.2757
416,0.2766
417,0.2773
418,0.278
419,0.2785
420,0.279
421,0.2794
422,0.2798
423,0.2802
424,0.2806
425,0.2809
426,0.2812
427,0.2816
428,0.282
429,0.28225
430,0.2825
431,0.2829
432,0.2833
433,0.28365
434,0.284
435,0.28435
436,0.2847
437,0.285
438,0.2853
439,0.2856
440,0.2859
441,0.28615
442,0.2864
443,0.2867
444,0.287
445,0.2873
446,0.2876
447,0.28785
448,0.2881
449,0.2883
450,0.2885
451,0.28875
452,0.289
453,0.2892
454,0.2894
455,0.28965
456,0.2899
457,0.29005
458,0.2902
459,0.29045
460,0.2907
461,0.29085
462,0.291
463,0.29115
464,0.2913
465,0.29145
466,0.2916
467,0.2917
468,0.2918
469,0.29185
470,0.2919
471,0.29205
472,0.2922
473,0.2923
474,0.2924
475,0.29255
476,0.2927
477,0.29275
478,0.2928
479,0.29285
480,0.2929
481,0.293
482,0.2931
483,0.29325
484,0.2934
485,0.2935
486,0.2936
487,0.29375
488,0.2939
489,0.29395
490,0.294
491,0.29415
492,0.2943
493,0.2945
494,0.2947
495,0.2949
496,0.2951
497,0.2952
498,0.2953
499,0.29545
500,0.2956
501,0.29565
502,0.2957
503,0.29575
504,0.2958
505,0.29595
506,0.2961
507,0.29625
508,0.2964
509,0.29645
510,0.2965
511,0.2966
512,0.2967
513,0.2968
514,0.2969
515,0.29705
516,0.2972
517,0.2973
518,0.2974
519,0.2975
520,0.2976
521,0.2977
522,0.2978
523,0.29795
524,0.2981
525,0.29815
526,0.2982
527,0.29835
528,0.2985
529,0.2986
530,0.2987
531,0.29885
532,0.299
533,0.29915
534,0.2993
535,0.29945
536,0.2996
537,0.2997
538,0.2998
539,0.29995
540,0.3001
541,0.30025
542,0.3004
543,0.3005
544,0.3006
545,0.30075
546,0.3009
547,0.30105
548,0.3012
549,0.30135
550,0.3015
551,0.3016
552,0.3017
553,0.3019
554,0.3021
555,0.3023
556,0.3025
557,0.3026
558,0.3027
559,0.30285
560,0.303
561,0.3032
562,0.3034
563,0.3036
564,0.3038
565,0.3039
566,0.304
567,0.30415
568,0.3043
569,0.30445
570,0.3046
571,0.30475
572,0.3049
573,0.30495
574,0.305
575,0.3051
576,0.3052
577,0.30535
578,0.3055
579,0.30555
580,0.3056
581,0.3057
582,0.3058
583,0.30585
584,0.3059
585,0.306
586,0.3061
587,0.30615
588,0.3062
589,0.3062
590,0.3062
591,0.30625
592,0.3063
593,0.3064
594,0.3065
595,0.3065
596,0.3065
597,0.30645
598,0.3064
599,0.3064
600,0.3064
601,0.3064
602,0.3064
603,0.30635
604,0.3063
605,0.3063
606,0.3063
607,0.30625
608,0.3062
609,0.30615
610,0.3061
611,0.30605
612,0.306
613,0.30595
614,0.3059
615,0.3059
616,0.3059
617,0.3058
618,0.3057
619,0.3057
620,0.3057
621,0.3056
622,0.3055
623,0.30545
624,0.3054
625,0.30535
626,0.3053
627,0.3052
628,0.3051
629,0.305
630,0.3049
631,0.30485
632,0.3048
633,0.30465
634,0.3045
635,0.30445
636,0.3044
637,0.3043
638,0.3042
639,0.3041
640,0.304
641,0.304
642,0.304
643,0.3039
644,0.3038
645,0.30365
646,0.3035
647,0.3034
648,0.3033
649,0.3032
650,0.3031
651,0.303
652,0.3029
653,0.30285
654,0.3028
655,0.3027
656,0.3026
657,0.3025
658,0.3024
659,0.3023
660,0.3022
661,0.30215
662,0.3021
663,0.302
664,0.3019
665,0.3018
666,0.3017
667,0.3016
668,0.3015
669,0.3014
670,0.3013
671,0.30125
672,0.3012
673,0.3011
674,0.301
675,0.30085
676,0.3007
677,0.3006
678,0.3005
679,0.3004
680,0.3003
681,0.30015
682,0.3
683,0.29995
684,0.2999
685,0.2999
686,0.2999
687,0.29965
688,0.2994
689,0.2993
690,0.2992
691,0.2991
692,0.299
693,0.299
694,0.299
695,0.2989
696,0.2988
697,0.2987
698,0.2986
699,0.29845
700,0.2983
701,0.2982
702,0.2981
703,0.298
704,0.2979
705,0.2978
706,0.2977
707,0.2976
708,0.2975
709,0.29735
710,0.2972
711,0.2972
712,0.2972
713,0.29715
714,0.2971
715,0.29705
716,0.297
717,0.29685
718,0.2967
719,0.29665
720,0.2966
721,0.29655
722,0.2965
723,0.29635
724,0.2962
725,0.29605
726,0.2959
727,0.2959
728,0.2959
729,0.2958
730,0.2957
731,0.29565
732,0.2956
733,0.2954
734,0.2952
735,0.29515
736,0.2951
737,0.295
738,0.2949
739,0.29485
740,0.2948
741,0.29475
742,0.2947
743,0.29465
744,0.2946
745,0.29445
746,0.2943
747,0.2942
748,0.2941
749,0.29405
750,0.294
751,0.2939
752,0.2938
753,0.29375
754,0.2937
755,0.2936
756,0.2935
757,0.2935
758,0.2935
759,0.29345
760,0.2934
761,0.29335
762,0.2933
763,0.2932
764,0.2931
765,0.2931
766,0.2931
767,0.2929
768,0.2927
769,0.2927
770,0.2927
771,0.29255
772,0.2924
773,0.2923
774,0.2922
775,0.29215
776,0.2921
777,0.2921
778,0.2921
779,0.292
780,0.2919
781,0.2918
782,0.2917
783,0.29165
784,0.2916
785,0.2915
786,0.2914
787,0.2914
788,0.2914
789,0.29135
790,0.2913
791,0.29115
792,0.291
793,0.2909
794,0.2908
795,0.2906
796,0.2904
797,0.2903
798,0.2902
799,0.2902
800,0.2902
801,0.2901
802,0.29
803,0.2899
804,0.2898
805,0.2897
806,0.2896
807,0.2895
808,0.2894
809,0.2893
810,0.2892
811,0.2891
812,0.289
813,0.2889
814,0.2888
815,0.2887
816,0.2886
817,0.2885
818,0.2884
819,0.2883
820,0.2882
821,0.288065
822,0.28793
823,0.287795
824,0.28766
825,0.287525
826,0.28739
827,0.287255
828,0.28712
829,0.286985
830,0.28685
