wl,value
360,0.0625
361,0.06345
362,0.0644
363,0.0655
364,0.0666
365,0.0678
366,0.069
367,0.07035
368,0.0717
369,0.07325
370,0.0748
371,0.07655
372,0.0783
373,0.0802
374,0.0821
375,0.0844
376,0.0867
377,0.0897
378,0.0927
379,0.0963
380,0.0999
381,0.1037
382,0.1075
383,0.1121
384,0.1167
385,0.12225
386,0.1278
387,0.13435
388,0.1409
389,0.1485
390,0.1561
391,0.1647
392,0.1733
393,0.1828
394,0.1923
395,0.20245
396,0.2126
397,0.22305
398,0.2335
399,0.244
400,0.2545
401,0.26465
402,0.2748
403,0.28435
404,0.2939
405,0.3025
406,0.3111
407,0.31855
408,0.326
409,0.33225
410,0.3385
411,0.34375
412,0.349
413,0.35325
414,0.3575
415,0.36105
416,0.3646
417,0.36765
418,0.3707
419,0.37335
420,0.376
421,0.37835
422,0.3807
423,0.3829
424,0.3851
425,0.3872
426,0.3893
427,0.3913
428,0.3933
429,0.3953
430,0.3973
431,0.3992
432,0.4011
433,0.4029
434,0.4047
435,0.40655
436,0.4084
437,0.41015
438,0.4119
439,0.4135
440,0.4151
441,0.4165
442,0.4179
443,0.4192
444,0.4205
445,0.42175
446,0.423
447,0.4241
448,0.4252
449,0.4262
450,0.4272
451,0.42815
452,0.4291
453,0.42995
454,0.4308
455,0.4316
456,0.4324
457,0.4332
458,0.434
459,0.43485
460,0.4357
461,0.43655
462,0.4374
463,0.4381
464,0.4388
465,0.4395
466,0.4402
467,0.44095
468,0.4417
469,0.4424
470,0.4431
471,0.44385
472,0.4446
473,0.4454
474,0.4462
475,0.4471
476,0.448
477,0.44875
478,0.4495
479,0.45035
480,0.4512
481,0.45205
482,0.4529
483,0.4537
484,0.4545
485,0.45535
486,0.4562
487,0.4572
488,0.4582
489,0.4592
490,0.4602
491,0.46125
492,0.4623
493,0.46345
494,0.4646
495,0.46585
496,0.4671
497,0.46825
498,0.4694
499,0.47055
500,0.4717
501,0.4728
502,0.4739
503,0.47495
504,0.476
505,0.47705
506,0.4781
507,0.47915
508,0.4802
509,0.48115
510,0.4821
511,0.483
512,0.4839
513,0.48485
514,0.4858
515,0.4868
516,0.4878
517,0.4887
518,0.4896
519,0.49045
520,0.4913
521,0.4922
522,0.4931
523,0.494
524,0.4949
525,0.4958
526,0.4967
527,0.4976
528,0.4985
529,0.4993
530,0.5001
531,0.50095
532,0.5018
533,0.50265
534,0.5035
535,0.50435
536,0.5052
537,0.506
538,0.5068
539,0.50755
540,0.5083
541,0.5091
542,0.5099
543,0.51065
544,0.5114
545,0.51215
546,0.5129
547,0.5137
548,0.5145
549,0.51525
550,0.516
551,0.5167
552,0.5174
553,0.51815
554,0.5189
555,0.51955
556,0.5202
557,0.5209
558,0.5216
559,0.5222
560,0.5228
561,0.52335
562,0.5239
563,0.5245
564,0.5251
565,0.52575
566,0.5264
567,0.527
568,0.5276
569,0.5282
570,0.5288
571,0.52945
572,0.5301
573,0.5306
574,0.5311
575,0.53165
576,0.5322
577,0.5327
578,0.5332
579,0.5337
580,0.5342
581,0.53465
582,0.5351
583,0.53565
584,0.5362
585,0.5366
586,0.537
587,0.5375
588,0.538
589,0.5384
590,0.5388
591,0.5392
592,0.5396
593,0.54
594,0.5404
595,0.54085
596,0.5413
597,0.54165
598,0.542
599,0.54235
600,0.5427
601,0.54305
602,0.5434
603,0.54385
604,0.5443
605,0.54465
606,0.545
607,0.5453
608,0.5456
609,0.54595
610,0.5463
611,0.54665
612,0.547
613,0.5473
614,0.5476
615,0.5479
616,0.5482
617,0.54855
618,0.5489
619,0.54925
