wl,value
360,0.0292
361,0.02925
362,0.0293
363,0.0293
364,0.0293
365,0.02935
366,0.0294
367,0.0294
368,0.0294
369,0.02945
370,0.0295
371,0.02955
372,0.0296
373,0.0296
374,0.0296
375,0.02965
376,0.0297
377,0.02975
378,0.0298
379,0.02985
380,0.0299
381,0.0299
382,0.0299
383,0.02995
384,0.03
385,0.03005
386,0.0301
387,0.03015
388,0.0302
389,0.03025
390,0.0303
391,0.0303
392,0.0303
393,0.03035
394,0.0304
395,0.03045
396,0.0305
397,0.03055
398,0.0306
399,0.0306
400,0.0306
401,0.03065
402,0.0307
403,0.0307
404,0.0307
405,0.03075
406,0.0308
407,0.0308
408,0.0308
409,0.03085
410,0.0309
411,0.03095
412,0.031
413,0.031
414,0.031
415,0.03105
416,0.0311
417,0.0311
418,0.0311
419,0.03115
420,0.0312
421,0.03125
422,0.0313
423,0.0313
424,0.0313
425,0.03135
426,0.0314
427,0.03145
428,0.0315
429,0.0315
430,0.0315
431,0.03155
432,0.0316
433,0.03165
434,0.0317
435,0.0317
436,0.0317
437,0.03175
438,0.0318
439,0.03185
440,0.0319
441,0.03195
442,0.032
443,0.032
444,0.032
445,0.03205
446,0.0321
447,0.0321
448,0.0321
449,0.03215
450,0.0322
451,0.0322
452,0.0322
453,0.03225
454,0.0323
455,0.03235
456,0.0324
457,0.0324
458,0.0324
459,0.03245
460,0.0325
461,0.03255
462,0.0326
463,0.0326
464,0.0326
465,0.03265
466,0.0327
467,0.0327
468,0.0327
469,0.0327
470,0.0327
471,0.03275
472,0.0328
473,0.03285
474,0.0329
475,0.0329
476,0.0329
477,0.03295
478,0.033
479,0.03305
480,0.0331
481,0.0331
482,0.0331
483,0.03315
484,0.0332
485,0.03325
486,0.0333
487,0.03335
488,0.0334
489,0.03345
490,0.0335
491,0.03355
492,0.0336
493,0.0337
494,0.0338
495,0.03385
496,0.0339
497,0.03395
498,0.034
499,0.03405
500,0.0341
501,0.03415
502,0.0342
503,0.03425
504,0.0343
505,0.03435
506,0.0344
507,0.03445
508,0.0345
509,0.03455
510,0.0346
511,0.0347
512,0.0348
513,0.03485
514,0.0349
515,0.035
516,0.0351
517,0.03515
518,0.0352
519,0.0353
520,0.0354
521,0.03545
522,0.0355
523,0.0356
524,0.0357
525,0.0358
526,0.0359
527,0.036
528,0.0361
529,0.0362
530,0.0363
531,0.0364
532,0.0365
533,0.0366
534,0.0367
535,0.0368
536,0.0369
537,0.037
538,0.0371
539,0.0372
540,0.0373
541,0.03745
542,0.0376
543,0.03775
544,0.0379
545,0.038
546,0.0381
547,0.03825
548,0.0384
549,0.03855
550,0.0387
551,0.0389
552,0.0391
553,0.03925
554,0.0394
555,0.0396
556,0.0398
557,0.04
558,0.0402
559,0.0404
560,0.0406
561,0.04085
562,0.0411
563,0.0414
564,0.0417
565,0.04195
566,0.0422
567,0.0425
568,0.0428
569,0.0431
570,0.0434
571,0.0437
572,0.044
573,0.04435
574,0.0447
575,0.045
576,0.0453
577,0.04565
578,0.046
579,0.04635
580,0.0467
581,0.047
582,0.0473
583,0.04765
584,0.048
585,0.0483
586,0.0486
587,0.04895
588,0.0493
589,0.04955
590,0.0498
591,0.0501
592,0.0504
593,0.0507
594,0.051
595,0.05125
596,0.0515
597,0.05175
598,0.052
599,0.05225
600,0.0525
601,0.0527
602,0.0529
603,0.05315
604,0.0534
605,0.0536
606,0.0538
607,0.05395
608,0.0541
609,0.0543
610,0.0545
611,0.05465
612,0.0548
613,0.05495
614,0.0551
615,0.05525
616,0.0554
617,0.05555
618,0.0557
619,0.05585
620,0.056
621,0.0561
622,0.0562
623,0.05635
624,0.0565
625,0.0566
626,0.0567
627,0.0568
628,0.0569
629,0.05705
630,0.0572
631,0.0573
632,0.0574
633,0.0575
634,0.0576
635,0.05775
636,0.0579
637,0.058
638,0.0581
639,0.05825
640,0.0584
641,0.0585
642,0.0586
643,0.0587
644,0.0588
645,0.05895
646,0.0591
647,0.05925
648,0.0594
649,0.0595
650,0.0596
651,0.05975
652,0.0599
653,0.06005
654,0.0602
655,0.06035
656,0.0605
657,0.06065
658,0.0608
659,0.06095
660,0.0611
661,0.0612
662,0.0613
663,0.06145
664,0.0616
665,0.06175
666,0.0619
667,0.06205
668,0.0622
669,0.06235
670,0.0625
671,0.06265
672,0.0628
673,0.0629
674,0.063
675,0.06315
676,0.0633
677,0.06345
678,0.0636
679,0.0637
680,0.0638
681,0.06395
682,0.0641
683,0.0642
684,0.0643
685,0.0644
686,0.0645
687,0.0646
688,0.0647
689,0.0648
690,0.0649
691,0.06505
692,0.0652
693,0.0653
694,0.0654
695,0.0655
696,0.0656
697,0.0657
698,0.0658
699,0.0659
700,0.066
701,0.0661
702,0.0662
703,0.06625
704,0.0663
705,0.0664
706,0.0665
707,0.0666
708,0.0667
709,0.06675
710,0.0668
711,0.0669
712,0.067
713,0.06705
714,0.0671
715,0.0672
716,0.0673
717,0.06735
718,0.0674
719,0.06745
720,0.0675
721,0.0676
722,0.0677
723,0.06775
724,0.0678
725,0.06785
726,0.0679
727,0.06795
728,0.068
729,0.06805
730,0.0681
731,0.06815
732,0.0682
733,0.06825
734,0.0683
735,0.0683
736,0.0683
737,0.06835
738,0.0684
739,0.06845
740,0.0685
741,0.0685
742,0.0685
743,0.0685
744,0.0685
745,0.06855
746,0.0686
747,0.0686
748,0.0686
749,0.06865
750,0.0687
751,0.0687
752,0.0687
753,0.0687
754,0.0687
755,0.0687
756,0.0687
757,0.06875
758,0.0688
759,0.06875
760,0.0687
761,0.0687
762,0.0687
763,0.0687
764,0.0687
765,0.0687
766,0.0687
767,0.0687
768,0.0687
769,0.0687
770,0.0687
771,0.0687
772,0.0687
773,0.0687
774,0.0687
775,0.0687
776,0.0687
777,0.0687
778,0.0687
779,0.0687
780,0.0687
781,0.06865
782,0.0686
783,0.0686
784,0.0686
785,0.0686
786,0.0686
787,0.06855
788,0.0685
789,0.0685
790,0.0685
791,0.06845
792,0.0684
793,0.06835
794,0.0683
795,0.0683
796,0.0683
797,0.0683
798,0.0683
799,0.06825
800,0.0682
801,0.068175
802,0.06815
803,0.068125
804,0.0681
805,0.068075
806,0.06805
807,0.068025
808,0.068
809,0.067975
810,0.06795
811,0.067925
812,0.0679
813,0.067875
814,0.06785
815,0.067825
816,0.0678
817,0.067775
818,0.06775
819,0.067725
820,0.0677
821,0.067675
822,0.06765
823,0.067625
824,0.0676
825,0.067575
826,0.06755
827,0.067525
828,0.0675
829,0.067475
830,0.06745
