wl,value
360,0.1248
361,0.1251
362,0.1254
363,0.12575
364,0.1261
365,0.12645
366,0.1268
367,0.12715
368,0.1275
369,0.1279
370,0.1283
371,0.1287
372,0.1291
373,0.12955
374,0.13
375,0.1305
376,0.131
377,0.1317
378,0.1324
379,0.1332
380,0.134
381,0.13455
382,0.1351
383,0.13575
384,0.1364
385,0.13705
386,0.1377
387,0.1384
388,0.1391
389,0.13975
390,0.1404
391,0.1411
392,0.1418
393,0.1424
394,0.143
395,0.14355
396,0.1441
397,0.14465
398,0.1452
399,0.14565
400,0.1461
401,0.1465
402,0.1469
403,0.14725
404,0.1476
405,0.14795
406,0.1483
407,0.14865
408,0.149
409,0.1493
410,0.1496
411,0.14995
412,0.1503
413,0.15065
414,0.151
415,0.15135
416,0.1517
417,0.152
418,0.1523
419,0.1526
420,0.1529
421,0.15325
422,0.1536
423,0.1539
424,0.1542
425,0.1545
426,0.1548
427,0.1551
428,0.1554
429,0.1557
430,0.156
431,0.1563
432,0.1566
433,0.1569
434,0.1572
435,0.15745
436,0.1577
437,0.15795
438,0.1582
439,0.15845
440,0.1587
441,0.159
442,0.1593
443,0.15955
444,0.1598
445,0.16
446,0.1602
447,0.1604
448,0.1606
449,0.1608
450,0.161
451,0.16115
452,0.1613
453,0.16145
454,0.1616
455,0.16165
456,0.1617
457,0.1618
458,0.1619
459,0.16205
460,0.1622
461,0.1623
462,0.1624
463,0.16255
464,0.1627
465,0.16285
466,0.163
467,0.1631
468,0.1632
469,0.1633
470,0.1634
471,0.16355
472,0.1637
473,0.1638
474,0.1639
475,0.164
476,0.1641
477,0.1642
478,0.1643
479,0.16445
480,0.1646
481,0.1647
482,0.1648
483,0.1649
484,0.165
485,0.16505
486,0.1651
487,0.1652
488,0.1653
489,0.16535
490,0.1654
491,0.16545
492,0.1655
493,0.16555
494,0.1656
495,0.16565
496,0.1657
497,0.1658
498,0.1659
499,0.16605
500,0.1662
501,0.1663
502,0.1664
503,0.1665
504,0.1666
505,0.1667
506,0.1668
507,0.1669
508,0.167
509,0.16705
510,0.1671
511,0.16715
512,0.1672
513,0.1673
514,0.1674
515,0.1674
516,0.1674
517,0.16745
518,0.1675
519,0.16755
520,0.1676
521,0.16765
522,0.1677
523,0.16775
524,0.1678
525,0.1678
526,0.1678
527,0.16785
528,0.1679
529,0.1679
530,0.1679
531,0.168
532,0.1681
533,0.16815
534,0.1682
535,0.16825
536,0.1683
537,0.16835
538,0.1684
539,0.16845
540,0.1685
541,0.16855
542,0.1686
543,0.1687
544,0.1688
545,0.1689
546,0.169
547,0.1691
548,0.1692
549,0.16935
550,0.1695
551,0.1696
552,0.1697
553,0.16985
554,0.17
555,0.17015
556,0.1703
557,0.1705
558,0.1707
559,0.17085
560,0.171
561,0.17115
562,0.1713
563,0.17145
564,0.1716
565,0.17185
566,0.1721
567,0.17235
568,0.1726
569,0.1729
570,0.1732
571,0.1735
572,0.1738
573,0.1741
574,0.1744
575,0.1747
576,0.175
577,0.17525
578,0.1755
579,0.1758
580,0.1761
581,0.1764
582,0.1767
583,0.17695
584,0.1772
585,0.1775
586,0.1778
587,0.178
588,0.1782
589,0.17845
590,0.1787
591,0.1789
592,0.1791
593,0.1793
594,0.1795
595,0.17965
596,0.1798
597,0.17995
598,0.1801
599,0.1802
600,0.1803
601,0.18045
602,0.1806
603,0.1807
604,0.1808
605,0.1809
606,0.181
607,0.18105
608,0.1811
609,0.18115
610,0.1812
611,0.18125
612,0.1813
613,0.18135
614,0.1814
615,0.1814
616,0.1814
617,0.18145
618,0.1815
619,0.1815
620,0.1815
621,0.1815
622,0.1815
623,0.1815
624,0.1815
625,0.1815
626,0.1815
627,0.1815
628,0.1815
629,0.1815
630,0.1815
631,0.18145
632,0.1814
633,0.18145
634,0.1815
635,0.18145
636,0.1814
637,0.1814
638,0.1814
639,0.1814
640,0.1814
641,0.18135
642,0.1813
643,0.1813
644,0.1813
645,0.1813
646,0.1813
647,0.1813
648,0.1813
649,0.1813
650,0.1813
651,0.1813
652,0.1813
653,0.1813
654,0.1813
655,0.1813
656,0.1813
657,0.1813
658,0.1813
659,0.1813
660,0.1813
661,0.18135
662,0.1814
663,0.1814
664,0.1814
665,0.18145
666,0.1815
667,0.1815
668,0.1815
669,0.18155
670,0.1816
671,0.1816
672,0.1816
673,0.18165
674,0.1817
675,0.18175
676,0.1818
677,0.18185
678,0.1819
679,0.182
680,0.1821
681,0.1821
682,0.1821
683,0.18215
684,0.1822
685,0.1823
686,0.1824
687,0.18245
688,0.1825
689,0.18275
690,0.183
691,0.1831
692,0.1832
693,0.1833
694,0.1834
695,0.1835
696,0.1836
697,0.1837
698,0.1838
699,0.1839
700,0.184
701,0.18415
702,0.1843
703,0.1844
704,0.1845
705,0.18465
706,0.1848
707,0.1849
708,0.185
709,0.18515
710,0.1853
711,0.18545
712,0.1856
713,0.18575
714,0.1859
715,0.18605
716,0.1862
717,0.18635
718,0.1865
719,0.1866
720,0.1867
721,0.1869
722,0.1871
723,0.18725
724,0.1874
725,0.1876
726,0.1878
727,0.1879
728,0.188
729,0.1882
730,0.1884
731,0.1886
732,0.1888
733,0.18895
734,0.1891
735,0.1893
736,0.1895
737,0.18965
738,0.1898
739,0.18995
740,0.1901
741,0.19025
742,0.1904
743,0.1906
744,0.1908
745,0.19095
746,0.1911
747,0.19125
748,0.1914
749,0.19155
750,0.1917
751,0.19185
752,0.192
753,0.19215
754,0.1923
755,0.19245
756,0.1926
757,0.1927
758,0.1928
759,0.19295
760,0.1931
761,0.19325
762,0.1934
763,0.1935
764,0.1936
765,0.1937
766,0.1938
767,0.1939
768,0.194
769,0.1941
770,0.1942
771,0.1943
772,0.1944
773,0.1945
774,0.1946
775,0.1947
776,0.1948
777,0.1949
778,0.195
779,0.195
780,0.195
781,0.1951
782,0.1952
783,0.19525
784,0.1953
785,0.19535
786,0.1954
787,0.1954
788,0.1954
789,0.1954
790,0.1954
