wl,value
360,0.0688
361,0.069
362,0.0692
363,0.0694
364,0.0696
365,0.0698
366,0.07
367,0.0702
368,0.0704
369,0.07065
370,0.0709
371,0.07115
372,0.0714
373,0.07165
374,0.0719
375,0.07215
376,0.0724
377,0.0726
378,0.0728
379,0.073
380,0.0732
381,0.07345
382,0.0737
383,0.074
384,0.0743
385,0.07455
386,0.0748
387,0.07505
388,0.0753
389,0.07555
390,0.0758
391,0.07605
392,0.0763
393,0.07655
394,0.0768
395,0.07705
396,0.0773
397,0.0775
398,0.0777
399,0.0779
400,0.0781
401,0.07835
402,0.0786
403,0.0788
404,0.079
405,0.0792
406,0.0794
407,0.07955
408,0.0797
409,0.0799
410,0.0801
411,0.0803
412,0.0805
413,0.0807
414,0.0809
415,0.08105
416,0.0812
417,0.0814
418,0.0816
419,0.08185
420,0.0821
421,0.0823
422,0.0825
423,0.0827
424,0.0829
425,0.0831
426,0.0833
427,0.08355
428,0.0838
429,0.08405
430,0.0843
431,0.0845
432,0.0847
433,0.0849
434,0.0851
435,0.08535
436,0.0856
437,0.0858
438,0.086
439,0.08625
440,0.0865
441,0.08665
442,0.0868
443,0.087
444,0.0872
445,0.08735
446,0.0875
447,0.08765
448,0.0878
449,0.08795
450,0.0881
451,0.08825
452,0.0884
453,0.08855
454,0.0887
455,0.08885
456,0.089
457,0.0892
458,0.0894
459,0.08955
460,0.0897
461,0.08985
462,0.09
463,0.09015
464,0.0903
465,0.0904
466,0.0905
467,0.09065
468,0.0908
469,0.0909
470,0.091
471,0.0911
472,0.0912
473,0.09135
474,0.0915
475,0.09165
476,0.0918
477,0.09195
478,0.0921
479,0.0922
480,0.0923
481,0.0924
482,0.0925
483,0.0926
484,0.0927
485,0.09285
486,0.093
487,0.09315
488,0.0933
489,0.0935
490,0.0937
491,0.0939
492,0.0941
493,0.0944
494,0.0947
495,0.095
496,0.0953
497,0.09565
498,0.096
499,0.09635
500,0.0967
501,0.097
502,0.0973
503,0.0976
504,0.0979
505,0.09815
506,0.0984
507,0.09865
508,0.0989
509,0.0992
510,0.0995
511,0.09975
512,0.1
513,0.10025
514,0.1005
515,0.10075
516,0.101
517,0.1013
518,0.1016
519,0.10185
520,0.1021
521,0.1024
522,0.1027
523,0.10295
524,0.1032
525,0.1035
526,0.1038
527,0.10405
528,0.1043
529,0.1046
530,0.1049
531,0.1052
532,0.1055
533,0.1058
534,0.1061
535,0.1064
536,0.1067
537,0.107
538,0.1073
539,0.1076
540,0.1079
541,0.1082
542,0.1085
543,0.10885
544,0.1092
545,0.10955
546,0.1099
547,0.11025
548,0.1106
549,0.111
550,0.1114
551,0.11175
552,0.1121
553,0.11255
554,0.113
555,0.1134
556,0.1138
557,0.11425
558,0.1147
559,0.1152
560,0.1157
561,0.11615
562,0.1166
563,0.1171
564,0.1176
565,0.1181
566,0.1186
567,0.11915
568,0.1197
569,0.12025
570,0.1208
571,0.12135
572,0.1219
573,0.12245
574,0.123
575,0.1236
576,0.1242
577,0.1247
578,0.1252
579,0.12575
580,0.1263
581,0.12685
582,0.1274
583,0.1279
584,0.1284
585,0.1289
586,0.1294
587,0.12985
588,0.1303
589,0.13075
590,0.1312
591,0.1316
592,0.132
593,0.1324
594,0.1328
595,0.13315
596,0.1335
597,0.13385
598,0.1342
599,0.1345
600,0.1348
601,0.13505
602,0.1353
603,0.13555
604,0.1358
605,0.136
606,0.1362
607,0.1364
608,0.1366
609,0.1368
610,0.137
611,0.13715
612,0.1373
613,0.13745
614,0.1376
615,0.1377
616,0.1378
617,0.13795
618,0.1381
619,0.1382
620,0.1383
621,0.1384
622,0.1385
623,0.1386
624,0.1387
625,0.1388
626,0.1389
627,0.139
628,0.1391
629,0.13925
630,0.1394
631,0.1395
632,0.1396
633,0.13965
634,0.1397
635,0.1398
636,0.1399
637,0.13995
638,0.14
639,0.14005
640,0.1401
641,0.1401
642,0.1401
643,0.14015
644,0.1402
645,0.14025
646,0.1403
647,0.14035
648,0.1404
649,0.14045
650,0.1405
651,0.14055
652,0.1406
653,0.1407
654,0.1408
655,0.14085
656,0.1409
657,0.14095
658,0.141
659,0.141
660,0.141
661,0.14105
662,0.1411
663,0.14115
664,0.1412
665,0.14125
666,0.1413
667,0.1413
668,0.1413
669,0.1414
670,0.1415
671,0.1416
672,0.1417
673,0.1418
674,0.1419
675,0.142
676,0.1421
677,0.1422
678,0.1423
679,0.1424
680,0.1425
681,0.14265
682,0.1428
683,0.14305
684,0.1433
685,0.14355
686,0.1438
687,0.14415
688,0.1445
689,0.1449
690,0.1453
691,0.14575
692,0.1462
693,0.1467
694,0.1472
695,0.14765
696,0.1481
697,0.1486
698,0.1491
699,0.14955
700,0.15
701,0.15045
702,0.1509
703,0.1513
704,0.1517
705,0.1521
706,0.1525
707,0.1528
708,0.1531
709,0.15345
710,0.1538
711,0.1541
712,0.1544
713,0.15465
714,0.1549
715,0.15515
716,0.1554
717,0.1556
718,0.1558
719,0.156
720,0.1562
721,0.1564
722,0.1566
723,0.1568
724,0.157
725,0.15715
726,0.1573
727,0.15745
728,0.1576
729,0.15775
730,0.1579
731,0.15805
732,0.1582
733,0.1583
734,0.1584
735,0.1585
736,0.1586
737,0.15875
738,0.1589
739,0.159
740,0.1591
741,0.1592
742,0.1593
743,0.1594
744,0.1595
745,0.15955
746,0.1596
747,0.1597
748,0.1598
749,0.15985
750,0.1599
751,0.16
752,0.1601
753,0.16015
754,0.1602
755,0.16025
756,0.1603
757,0.16035
758,0.1604
759,0.16045
760,0.1605
761,0.1606
762,0.1607
763,0.1607
764,0.1607
765,0.16075
766,0.1608
767,0.16085
768,0.1609
769,0.16095
770,0.161
771,0.161
772,0.161
773,0.16105
774,0.1611
775,0.16115
776,0.1612
777,0.16125
778,0.1613
779,0.16135
780,0.1614
781,0.1614
782,0.1614
783,0.16145
784,0.1615
785,0.1615
786,0.1615
787,0.1615
788,0.1615
789,0.16155
790,0.1616
791,0.16165
792,0.1617
793,0.1617
794,0.1617
795,0.1617
796,0.1617
797,0.16175
798,0.1618
799,0.16185
800,0.1619
801,0.161915
802,0.16193
803,0.161945
804,0.16196
805,0.161975
806,0.16199
807,0.162005
808,0.16202
809,0.162035
810,0.16205
811,0.162065
812,0.16208
