wl,value
360,0.06573
361,0.06452
362,0.06554
363,0.06529
364,0.06444
365,0.06434
366,0.06472
367,0.06583
368,0.06621
369,0.06396
370,0.06603
371,0.06874
372,0.06918
373,0.06827
374,0.06688
375,0.06694
376,0.06943
377,0.06996
378,0.07033
379,0.07092
380,0.07078
381,0.06977
382,0.0691
383,0.0697
384,0.07156
385,0.07228
386,0.0721
387,0.07213
388,0.07185
389,0.07172
390,0.072
391,0.07272
392,0.07388
393,0.0743
394,0.0737
395,0.07469
396,0.07483
397,0.07472
398,0.07601
399,0.07635
400,0.07625
401,0.07636
402,0.0772
403,0.07746
404,0.07731
405,0.07721
406,0.07729
407,0.07798
408,0.07891
409,0.07928
410,0.07949
411,0.07945
412,0.0793
413,0.07967
414,0.07999
415,0.08045
416,0.08125
417,0.08136
418,0.08151
419,0.08198
420,0.08259
421,0.08301
422,0.08316
423,0.08318
424,0.08366
425,0.08405
426,0.08429
427,0.0846
428,0.0852
429,0.08556
430,0.08563
431,0.08612
432,0.08643
433,0.08666
434,0.08701
435,0.08748
436,0.08782
437,0.08802
438,0.08822
439,0.08886
440,0.08928
441,0.08921
442,0.08963
443,0.09001
444,0.09021
445,0.09033
446,0.09094
447,0.09138
448,0.09153
449,0.09191
450,0.09224
451,0.09275
452,0.0935
453,0.09356
454,0.09381
455,0.09432
456,0.09467
457,0.09497
458,0.09522
459,0.09548
460,0.09589
461,0.09627
462,0.09662
463,0.09695
464,0.09722
465,0.09754
466,0.09795
467,0.0984
468,0.09868
469,0.09897
470,0.09937
471,0.09962
472,0.09986
473,0.10019
474,0.10068
475,0.10108
476,0.10138
477,0.10168
478,0.10216
479,0.10248
480,0.10272
481,0.10305
482,0.10342
483,0.10385
484,0.10425
485,0.10443
486,0.10482
487,0.10531
488,0.1057
489,0.10593
490,0.1063
491,0.10664
492,0.10669
493,0.10703
494,0.10747
495,0.10784
496,0.10816
497,0.10843
498,0.10869
499,0.10901
500,0.10943
501,0.10979
502,0.11007
503,0.11036
504,0.11064
505,0.11102
506,0.11148
507,0.11174
508,0.11198
509,0.11229
510,0.11272
511,0.11304
512,0.11335
513,0.11372
514,0.11409
515,0.1145
516,0.11483
517,0.11502
518,0.11534
519,0.11569
520,0.11608
521,0.11653
522,0.11685
523,0.11715
524,0.11752
525,0.11785
526,0.11817
527,0.11853
528,0.11892
529,0.11925
530,0.11961
531,0.11999
532,0.12029
533,0.12068
534,0.12108
535,0.12137
536,0.12171
537,0.12212
538,0.12257
539,0.12294
540,0.12342
541,0.12401
542,0.12463
543,0.12509
544,0.1255
545,0.12584
546,0.12609
547,0.12627
548,0.12651
549,0.12685
550,0.12719
551,0.12758
552,0.12798
553,0.12832
554,0.12861
555,0.12891
556,0.12924
557,0.12962
558,0.12997
559,0.13031
560,0.13065
561,0.131
562,0.1313
563,0.13161
564,0.13195
565,0.13224
566,0.13258
567,0.133
568,0.13342
569,0.13383
570,0.13422
571,0.13459
572,0.13491
573,0.13533
574,0.13582
575,0.13623
576,0.13655
577,0.13685
578,0.13719
579,0.13755
580,0.13793
581,0.13829
582,0.13862
583,0.13905
584,0.1395
585,0.13994
586,0.14035
587,0.14075
588,0.14116
589,0.14159
590,0.14192
591,0.14232
592,0.14277
593,0.14313
594,0.14349
595,0.14385
596,0.14421
597,0.14469
598,0.14508
599,0.14542
600,0.14578
601,0.1462
602,0.14655
603,0.14687
604,0.14735
605,0.14782
606,0.14824
607,0.14861
608,0.14905
609,0.14966
610,0.15036
611,0.15092
612,0.1513
613,0.15156
614,0.15182
615,0.15217
616,0.15256
617,0.15297
618,0.15339
619,0.15382
620,0.15424
621,0.15467
622,0.15513
623,0.15555
624,0.15596
625,0.15638
626,0.15685
627,0.15731
628,0.15776
629,0.15824
630,0.15867
631,0.15914
632,0.15964
633,0.16003
634,0.16042
635,0.16087
636,0.16139
637,0.1618
638,0.16228
639,0.16278
640,0.16315
