wl,value
360,0.04663
361,0.04701
362,0.04632
363,0.04718
364,0.04952
365,0.05196
366,0.05121
367,0.05123
368,0.05267
369,0.05384
370,0.05488
371,0.05584
372,0.05691
373,0.05858
374,0.05939
375,0.05944
376,0.05949
377,0.06078
378,0.06127
379,0.06122
380,0.06275
381,0.06355
382,0.06444
383,0.06571
384,0.06516
385,0.06528
386,0.06593
387,0.06622
388,0.06695
389,0.06782
390,0.06829
391,0.06768
392,0.06785
393,0.06853
394,0.06905
395,0.06886
396,0.06869
397,0.06885
398,0.06937
399,0.06995
400,0.07036
401,0.07053
402,0.07056
403,0.07082
404,0.07101
405,0.07095
406,0.07171
407,0.07188
408,0.07139
409,0.07111
410,0.07123
411,0.07175
412,0.07239
413,0.07248
414,0.07277
415,0.07285
416,0.07235
417,0.07271
418,0.07301
419,0.0731
420,0.07366
421,0.07374
422,0.07385
423,0.07434
424,0.0745
425,0.07451
426,0.07459
427,0.0749
428,0.07492
429,0.07498
430,0.07527
431,0.07575
432,0.07607
433,0.07623
434,0.07634
435,0.07669
436,0.07684
437,0.07687
438,0.0772
439,0.07724
440,0.07718
441,0.07726
442,0.0775
443,0.07765
444,0.0778
445,0.07807
446,0.07833
447,0.07845
448,0.07853
449,0.07887
450,0.07921
451,0.07944
452,0.07954
453,0.07981
454,0.08006
455,0.08021
456,0.0803
457,0.08045
458,0.08067
459,0.08092
460,0.08111
461,0.08122
462,0.08129
463,0.08141
464,0.08159
465,0.08178
466,0.08193
467,0.082
468,0.08214
469,0.0823
470,0.08245
471,0.08261
472,0.08276
473,0.08288
474,0.08298
475,0.08309
476,0.08328
477,0.08354
478,0.08378
479,0.08396
480,0.08409
481,0.08418
482,0.08427
483,0.0845
484,0.08481
485,0.08498
486,0.08524
487,0.08548
488,0.08563
489,0.0858
490,0.08606
491,0.08632
492,0.0865
493,0.08675
494,0.08709
495,0.08745
496,0.08774
497,0.08801
498,0.08829
499,0.08861
500,0.08895
501,0.08933
502,0.08976
503,0.09022
504,0.09073
505,0.09124
506,0.09173
507,0.09224
508,0.09278
509,0.09338
510,0.09408
511,0.09476
512,0.09548
513,0.09625
514,0.09697
515,0.09766
516,0.09834
517,0.09909
518,0.09995
519,0.10077
520,0.10156
521,0.10237
522,0.10306
523,0.10376
524,0.10451
525,0.10515
526,0.10583
527,0.10647
528,0.10698
529,0.10761
530,0.10819
531,0.10867
532,0.10918
533,0.10965
534,0.11008
535,0.11048
536,0.11087
537,0.11131
538,0.11178
539,0.11218
540,0.11265
541,0.11321
542,0.11381
543,0.1143
544,0.11475
545,0.11512
546,0.11538
547,0.1155
548,0.11567
549,0.11593
550,0.11618
551,0.11646
552,0.11673
553,0.11691
554,0.1171
555,0.11727
556,0.11742
557,0.11758
558,0.11771
559,0.1178
560,0.11787
561,0.11794
562,0.11797
563,0.11795
564,0.11786
565,0.11776
566,0.11768
567,0.11759
568,0.11748
569,0.11738
570,0.1173
571,0.11721
572,0.11714
573,0.1171
574,0.11709
575,0.11713
576,0.11725
577,0.11742
578,0.11759
579,0.11766
580,0.11765
581,0.11761
582,0.11761
583,0.11758
584,0.11758
585,0.1176
586,0.1175
587,0.11743
588,0.1174
589,0.1174
590,0.11742
591,0.11754
592,0.11771
593,0.11785
594,0.11795
595,0.1181
596,0.11827
597,0.11825
598,0.11829
599,0.1184
600,0.11851
601,0.11862
602,0.1187
603,0.11876
604,0.11887
605,0.11896
606,0.11901
607,0.11901
608,0.11911
609,0.11924
610,0.11944
611,0.11973
612,0.11974
613,0.11959
614,0.11943
615,0.11942
616,0.11933
617,0.11928
618,0.1194
619,0.11946
620,0.11956
621,0.11967
622,0.1197
623,0.11983
624,0.11997
625,0.12007
626,0.12023
627,0.12046
628,0.12068
629,0.12084
630,0.1211
631,0.12127
632,0.12134
633,0.12145
634,0.12157
635,0.12164
636,0.12161
637,0.12156
638,0.12147
639,0.12133
640,0.12109
641,0.12078
642,0.12044
643,0.1201
644,0.11977
645,0.11939
646,0.11903
647,0.11877
648,0.11857
649,0.11842
650,0.11833
651,0.11836
652,0.1184
653,0.11844
654,0.11849
655,0.11856
656,0.11863
657,0.11863
658,0.11854
659,0.11843
660,0.1183
661,0.11812
662,0.11789
663,0.11763
664,0.1174
665,0.11721
666,0.117
667,0.1168
668,0.11668
669,0.11668
670,0.11666
671,0.11665
672,0.1167
673,0.11679
674,0.11695
675,0.11714
676,0.11735
677,0.11756
678,0.1178
679,0.11809
680,0.11843
681,0.11883
682,0.11933
683,0.11997
684,0.12073
685,0.12169
686,0.1228
687,0.12406
688,0.1256
689,0.12741
690,0.12948
691,0.13175
692,0.13423
693,0.13695
694,0.13987
695,0.14286
696,0.14596
697,0.14919
698,0.15256
699,0.15593
700,0.15937
701,0.16287
702,0.16634
703,0.16976
704,0.17315
705,0.17655
706,0.17993
707,0.18321
708,0.18638
709,0.18948
710,0.19242
711,0.19525
712,0.19803
713,0.20076
714,0.20332
715,0.20572
716,0.20797
717,0.2102
718,0.2123
719,0.21431
720,0.21628
721,0.21821
722,0.21999
723,0.22164
724,0.22328
725,0.22482
726,0.22622
727,0.22754
728,0.22893
729,0.23025
730,0.2315
731,0.23271
732,0.23385
