wl,value
360,0.40192
361,0.40384
362,0.40388
363,0.40461
364,0.40598
365,0.40724
366,0.40743
367,0.40832
368,0.40947
369,0.40919
370,0.41007
371,0.41135
372,0.41219
373,0.41232
374,0.41278
375,0.41354
376,0.41418
377,0.41409
378,0.41458
379,0.41536
380,0.41496
381,0.41521
382,0.41599
383,0.4169
384,0.41776
385,0.41785
386,0.41811
387,0.41961
388,0.42021
389,0.42097
390,0.42193
391,0.42197
392,0.42239
393,0.42311
394,0.4238
395,0.42444
396,0.42484
397,0.42509
398,0.42539
399,0.42578
400,0.42592
401,0.42577
402,0.4257
403,0.42612
404,0.4269
405,0.42766
406,0.42769
407,0.42775
408,0.42808
409,0.42852
410,0.42895
411,0.42942
412,0.42993
413,0.43036
414,0.43074
415,0.43114
416,0.43163
417,0.4321
418,0.43256
419,0.43311
420,0.43384
421,0.43406
422,0.43424
423,0.43478
424,0.43532
425,0.43571
426,0.43597
427,0.43623
428,0.43641
429,0.43671
430,0.43711
431,0.43733
432,0.43735
433,0.43724
434,0.43709
435,0.43684
436,0.43719
437,0.43817
438,0.43934
439,0.44023
440,0.44089
441,0.44151
442,0.44228
443,0.44282
444,0.44338
445,0.44427
446,0.44492
447,0.44541
448,0.44593
449,0.44673
450,0.44766
451,0.44837
452,0.44873
453,0.44946
454,0.45013
455,0.45069
456,0.45132
457,0.45172
458,0.4523
459,0.45311
460,0.45322
461,0.45354
462,0.45398
463,0.45422
464,0.45467
465,0.45514
466,0.45551
467,0.45572
468,0.45585
469,0.45607
470,0.45647
471,0.45686
472,0.45725
473,0.4576
474,0.45783
475,0.45806
476,0.45839
477,0.45883
478,0.45937
479,0.45988
480,0.4602
481,0.46032
482,0.46073
483,0.46127
484,0.46178
485,0.46215
486,0.46259
487,0.4631
488,0.46367
489,0.46446
490,0.46518
491,0.46582
492,0.46649
493,0.46745
494,0.4684
495,0.46922
496,0.47009
497,0.47093
498,0.47184
499,0.47289
500,0.47393
501,0.47491
502,0.47582
503,0.47674
504,0.47776
505,0.47869
506,0.47952
507,0.4806
508,0.48171
509,0.48274
510,0.48366
511,0.48456
512,0.48548
513,0.48646
514,0.48755
515,0.48836
516,0.48908
517,0.48997
518,0.4908
519,0.49167
520,0.49254
521,0.49328
522,0.49409
523,0.49482
524,0.49538
525,0.49594
526,0.49661
527,0.49733
528,0.498
529,0.4986
530,0.49912
531,0.49961
532,0.50015
533,0.50057
534,0.50097
535,0.50149
536,0.50209
537,0.50261
538,0.50297
539,0.5032
540,0.50354
541,0.5037
542,0.50361
543,0.50376
544,0.50402
545,0.50438
546,0.5049
547,0.50592
548,0.50706
549,0.50799
550,0.5086
551,0.50903
552,0.50946
553,0.50997
554,0.51039
555,0.51072
556,0.51099
557,0.51126
558,0.51151
559,0.51172
560,0.51189
561,0.51201
562,0.51216
563,0.51239
564,0.51269
565,0.51297
566,0.51308
567,0.51308
568,0.51329
569,0.51348
570,0.51362
571,0.5137
572,0.5136
573,0.51386
574,0.51446
575,0.51498
576,0.51551
577,0.51604
578,0.5164
579,0.51619
580,0.51617
581,0.51645
582,0.51681
583,0.51676
584,0.51685
585,0.51723
586,0.51759
587,0.51779
588,0.51804
589,0.51855
590,0.5192
591,0.52011
592,0.52105
593,0.52163
594,0.52237
595,0.52309
596,0.52363
597,0.52397
598,0.52416
599,0.52434
600,0.52463
601,0.52484
602,0.52509
603,0.52552
604,0.52614
605,0.52663
606,0.5272
607,0.5279
608,0.52816
609,0.52824
610,0.52811
611,0.52779
612,0.52841
613,0.52927
614,0.52992
615,0.5305
616,0.53089
617,0.53125
618,0.53171
619,0.53209
620,0.53238
621,0.53267
622,0.53312
623,0.53354
624,0.53389
625,0.5342
626,0.53466
627,0.53523
628,0.53581
629,0.53625
630,0.53657
631,0.53693
632,0.53734
633,0.53769
634,0.53814
635,0.53853
636,0.53872
637,0.5389
638,0.53897
639,0.53893
640,0.53886
641,0.53887
642,0.53877
643,0.53849
644,0.53823
645,0.53791
646,0.53768
647,0.53765
648,0.53782
649,0.53784
650,0.53781
651,0.53812
652,0.53859
653,0.53914
654,0.53967
655,0.54002
656,0.54044
657,0.5409
658,0.5413
659,0.54145
660,0.54135
661,0.54121
