wl,value
360,0.0976
361,0.09779
362,0.0956
363,0.09592
364,0.09759
365,0.09833
366,0.09763
367,0.09822
368,0.09991
369,0.10055
370,0.09978
371,0.10006
372,0.10202
373,0.10243
374,0.10168
375,0.10115
376,0.10207
377,0.10278
378,0.10296
379,0.10274
380,0.10271
381,0.10369
382,0.10483
383,0.1055
384,0.10638
385,0.10674
386,0.10681
387,0.10717
388,0.10804
389,0.10851
390,0.10862
391,0.10937
392,0.11012
393,0.11034
394,0.11009
395,0.11068
396,0.11181
397,0.11266
398,0.1125
399,0.11326
400,0.11429
401,0.11498
402,0.11509
403,0.11544
404,0.11587
405,0.11615
406,0.11655
407,0.11706
408,0.11767
409,0.1184
410,0.11926
411,0.11973
412,0.1198
413,0.12041
414,0.12098
415,0.12142
416,0.12179
417,0.12186
418,0.12248
419,0.1235
420,0.12386
421,0.12411
422,0.12447
423,0.12498
424,0.12559
425,0.12595
426,0.12624
427,0.1268
428,0.12735
429,0.12788
430,0.12841
431,0.12889
432,0.12938
433,0.12979
434,0.13012
435,0.13075
436,0.13122
437,0.13153
438,0.13206
439,0.13269
440,0.13328
441,0.13378
442,0.13436
443,0.13475
444,0.13511
445,0.13567
446,0.13604
447,0.13659
448,0.13731
449,0.13773
450,0.13825
451,0.13874
452,0.13904
453,0.1394
454,0.13991
455,0.14052
456,0.14103
457,0.14156
458,0.14201
459,0.14235
460,0.14275
461,0.14319
462,0.14363
463,0.14403
464,0.14456
465,0.1451
466,0.14562
467,0.14619
468,0.14662
469,0.14695
470,0.14729
471,0.14781
472,0.14833
473,0.14877
474,0.14913
475,0.14965
476,0.15017
477,0.1506
478,0.15114
479,0.15169
480,0.15206
481,0.15223
482,0.15272
483,0.15325
484,0.15369
485,0.1541
486,0.15448
487,0.15491
488,0.15542
489,0.15586
490,0.15631
491,0.15679
492,0.15729
493,0.15775
494,0.15815
495,0.15856
496,0.15913
497,0.15964
498,0.16013
499,0.16065
500,0.16117
501,0.16167
502,0.16215
