wl,value
360,0.0456
361,0.04436
362,0.04517
363,0.04624
364,0.04617
365,0.04459
366,0.0441
367,0.04565
368,0.04751
369,0.0466
370,0.04508
371,0.04514
372,0.04698
373,0.04743
374,0.04716
375,0.0464
376,0.04553
377,0.04561
378,0.04689
379,0.04794
380,0.04639
381,0.04726
382,0.04852
383,0.04845
384,0.04874
385,0.04829
386,0.04808
387,0.0492
388,0.04908
389,0.04826
390,0.0479
391,0.04937
392,0.04963
393,0.04907
394,0.04871
395,0.04931
396,0.04978
397,0.04958
398,0.0488
399,0.04926
400,0.04998
401,0.05009
402,0.04923
403,0.04914
404,0.04965
405,0.05009
406,0.04997
407,0.05048
408,0.05108
409,0.05032
410,0.05063
411,0.05095
412,0.05071
413,0.05101
414,0.05116
415,0.05128
416,0.05161
417,0.05171
418,0.0517
419,0.05172
420,0.05195
421,0.05205
422,0.05209
423,0.05219
424,0.05231
425,0.0525
426,0.05271
427,0.05289
428,0.05294
429,0.053
430,0.05312
431,0.05324
432,0.05363
433,0.05391
434,0.0538
435,0.05388
436,0.05397
437,0.05409
438,0.0544
439,0.05449
440,0.05462
441,0.05488
442,0.05471
443,0.05478
444,0.05505
445,0.05521
446,0.0553
447,0.05535
448,0.05545
449,0.0557
450,0.05579
451,0.05581
452,0.05589
453,0.05598
454,0.05609
455,0.05626
456,0.05648
457,0.05658
458,0.05662
459,0.05673
460,0.05704
461,0.05711
462,0.05709
463,0.05725
464,0.05728
465,0.05742
466,0.05771
467,0.05794
468,0.05797
469,0.05795
470,0.05805
471,0.05814
472,0.05826
473,0.05842
474,0.05861
475,0.05867
476,0.05877
477,0.05894
478,0.05891
479,0.05906
480,0.05927
481,0.05936
482,0.05946
483,0.05954
484,0.05965
485,0.05989
486,0.06006
487,0.06011
488,0.0601
489,0.06027
490,0.06046
491,0.06059
492,0.06066
493,0.06077
494,0.06091
495,0.06104
496,0.06107
497,0.0612
498,0.06136
499,0.06143
500,0.06151
501,0.06163
502,0.0618
503,0.06195
504,0.062
505,0.06209
506,0.06228
507,0.06246
508,0.06259
509,0.06268
510,0.06279
511,0.06301
512,0.06317
513,0.06323
514,0.06337
515,0.06352
516,0.06368
517,0.06383
518,0.06399
519,0.06415
520,0.06429
521,0.0644
522,0.06448
523,0.06458
524,0.06475
525,0.0649
526,0.06505
527,0.06522
528,0.06539
529,0.0655
530,0.06562
531,0.06578
532,0.06596
533,0.06603
534,0.06611
535,0.06631
536,0.06647
537,0.06662
538,0.06677
539,0.06693
540,0.06713
541,0.06735
542,0.06757
543,0.0678
544,0.06795
545,0.06807
546,0.06824
547,0.06826
548,0.06834
549,0.06852
550,0.06863
551,0.06869
552,0.06878
553,0.06894
554,0.06904
555,0.06918
556,0.06935
557,0.06948
558,0.06955
559,0.06969
560,0.06992
561,0.07011
562,0.07028
563,0.07047
564,0.07069
565,0.07085
566,0.07098
567,0.07113
568,0.07133
569,0.0715
570,0.07164
571,0.07177
572,0.07187
573,0.07203
574,0.07222
575,0.07232
576,0.07245
577,0.07261
578,0.07278
579,0.07293
580,0.07309
581,0.07325
582,0.07339
583,0.0736
584,0.0738
585,0.07396
586,0.0741
587,0.0743
588,0.07443
589,0.07442
590,0.07448
591,0.07455
592,0.07466
593,0.07483
594,0.07505
595,0.07526
596,0.07543
597,0.07556
598,0.07573
599,0.07587
600,0.07592
601,0.07603
602,0.0762
603,0.07639
604,0.07653
605,0.07669
606,0.07689
607,0.07714
608,0.07728
609,0.07752
610,0.07782
611,0.07806
612,0.07828
613,0.07843
614,0.07851
615,0.07856
616,0.07875
617,0.07896
618,0.07907
619,0.07929
620,0.07949
621,0.07967
622,0.07988
623,0.08004
624,0.08017
625,0.08034
626,0.08056
627,0.08078
628,0.08097
629,0.08114
630,0.08133
631,0.08155
632,0.08176
633,0.08191
634,0.0821
635,0.08231
636,0.08251
637,0.08271
638,0.08288
639,0.08308
640,0.08335
641,0.08353
642,0.08368
643,0.08388
644,0.0841
645,0.08431
646,0.0845
647,0.08469
648,0.08493
649,0.08514
650,0.08531
651,0.08551
652,0.08573
653,0.08594
654,0.08612
655,0.0863
656,0.08652
657,0.08672
658,0.08686
659,0.08711
660,0.08735
661,0.08754
662,0.0877
663,0.0879
664,0.08814
665,0.08839
666,0.08855
667,0.08876
668,0.08902
669,0.08923
670,0.08935
671,0.08953
672,0.0898
673,0.09006
674,0.09025
675,0.09043
676,0.09063
677,0.0909
678,0.09115
679,0.09135
680,0.09155
681,0.09178
682,0.09201
683,0.09224
684,0.09249
685,0.09275
686,0.09301
687,0.09328
688,0.09351
689,0.09376
690,0.09406
691,0.09436
692,0.09463
693,0.09492
694,0.09524
695,0.09547
696,0.09576
697,0.09609
698,0.09639
699,0.09673
700,0.09705
701,0.09736
702,0.09765
703,0.09799
704,0.09832
705,0.09861
706,0.09891
707,0.09925
708,0.09961
709,0.09993
710,0.10024
711,0.10057
712,0.10091
713,0.10122
714,0.10154
715,0.10186
716,0.10217
717,0.10252
718,0.10283
719,0.10313
720,0.10348
721,0.1038
722,0.10414
723,0.1045
724,0.10486
725,0.10522
726,0.10554
727,0.10583
728,0.10624
729,0.1066
730,0.10691
731,0.10724
732,0.10754
733,0.10788
734,0.10823
735,0.10857
736,0.10893
737,0.10929
738,0.10964
739,0.10995
740,0.1103
741,0.11066
742,0.111
743,0.11136
744,0.1117
745,0.11202
746,0.11236
747,0.11274
748,0.11309
749,0.11339
750,0.11374
751,0.11409
752,0.11444
753,0.1148
754,0.11515
755,0.11551
756,0.11589
757,0.11625
758,0.1166
759,0.11695
760,0.11731
761,0.11768
762,0.11805
763,0.11841
764,0.11876
765,0.11911
766,0.11946
767,0.11982
768,0.12017
769,0.12055
770,0.12096
771,0.12137
772,0.12166
773,0.12202
774,0.12243
775,0.12281
776,0.12321
777,0.12353
778,0.12386
779,0.1243
780,0.12467
781,0.12504
782,0.12546
783,0.12587
784,0.12625
785,0.12663
786,0.12703
787,0.12743
788,0.12787
789,0.12828
790,0.12861
791,0.12903
792,0.12945
793,0.12988
794,0.13032
795,0.13076
796,0.13115
797,0.13152
798,0.13196
799,0.13244
800,0.1329
801,0.1333
802,0.13373
803,0.1342
804,0.13467
805,0.13509
806,0.13556
807,0.13604
808,0.1365
809,0.13688
810,0.13739
811,0.13791
812,0.13836
813,0.13882
814,0.13929
815,0.13978
816,0.1403
817,0.14083
818,0.14131
819,0.14179
820,0.14235
821,0.14279
822,0.14328
823,0.14385
824,0.14436
825,0.14484
826,0.14535
827,0.14592
828,0.14644
829,0.14695
830,0.14746
