wl,value
360,0.05531
361,0.05484
362,0.0556
363,0.05636
364,0.05724
365,0.05821
366,0.05733
367,0.05704
368,0.05724
369,0.0563
370,0.05677
371,0.05781
372,0.05836
373,0.05761
374,0.05872
375,0.06006
376,0.05936
377,0.05867
378,0.0588
379,0.05945
380,0.05952
381,0.06038
382,0.06054
383,0.05972
384,0.06147
385,0.06216
386,0.06209
387,0.06269
388,0.06259
389,0.06281
390,0.06337
391,0.06311
392,0.06275
393,0.06256
394,0.06275
395,0.06367
396,0.06408
397,0.06404
398,0.06425
399,0.06472
400,0.06458
401,0.06414
402,0.06532
403,0.06534
404,0.06503
405,0.06554
406,0.0658
407,0.06586
408,0.0658
409,0.06575
410,0.06603
411,0.06623
412,0.06627
413,0.06684
414,0.06716
415,0.06731
416,0.06753
417,0.06737
418,0.06759
419,0.0681
420,0.06808
421,0.06822
422,0.06854
423,0.06891
424,0.0691
425,0.06941
426,0.06971
427,0.06972
428,0.06978
429,0.06993
430,0.07019
431,0.07057
432,0.07102
433,0.07133
434,0.07142
435,0.07168
436,0.07181
437,0.0718
438,0.07187
439,0.07218
440,0.07233
441,0.07219
442,0.07247
443,0.07269
444,0.0728
445,0.07285
446,0.07287
447,0.07311
448,0.07351
449,0.07369
450,0.07384
451,0.074
452,0.07418
453,0.0743
454,0.0745
455,0.07475
456,0.07494
457,0.07515
458,0.07534
459,0.07547
460,0.07558
461,0.07584
462,0.07617
463,0.07641
464,0.07653
465,0.07657
466,0.07669
467,0.07707
468,0.07711
469,0.07713
470,0.07741
471,0.07756
472,0.07775
473,0.07797
474,0.07812
475,0.07833
476,0.07853
477,0.07871
478,0.07893
479,0.07909
480,0.07919
481,0.07928
482,0.07946
483,0.07971
484,0.07999
485,0.08029
486,0.08055
487,0.0807
488,0.08074
489,0.08088
490,0.08103
491,0.0812
492,0.08142
493,0.08161
494,0.08176
495,0.08191
496,0.08212
497,0.08219
498,0.08225
499,0.08248
500,0.08276
501,0.08289
502,0.08294
503,0.08315
504,0.08345
505,0.0837
506,0.08386
507,0.08402
508,0.08407
509,0.08416
510,0.08448
511,0.08491
512,0.08516
513,0.08519
514,0.08533
515,0.08548
516,0.0857
517,0.08599
518,0.08623
519,0.08643
520,0.08662
521,0.08685
522,0.08705
523,0.08725
524,0.08747
525,0.08779
526,0.08805
527,0.08824
528,0.08839
529,0.08866
530,0.08896
531,0.08922
532,0.0894
533,0.08957
534,0.08977
535,0.09003
536,0.09024
537,0.09054
538,0.09092
539,0.09127
540,0.09163
541,0.0921
542,0.0927
543,0.09319
544,0.09352
545,0.09371
546,0.09381
547,0.09386
548,0.09395
549,0.0941
550,0.0943
551,0.09451
552,0.09474
553,0.09501
554,0.09524
555,0.09547
556,0.09573
557,0.096
558,0.0963
559,0.0966
560,0.09686
561,0.09716
562,0.09747
563,0.09779
564,0.09812
565,0.09848
566,0.09883
567,0.09916
568,0.09948
569,0.09983
570,0.10018
571,0.10051
572,0.10085
573,0.10115
574,0.1014
575,0.10158
576,0.10183
577,0.1021
578,0.10236
579,0.10257
580,0.10283
581,0.10313
582,0.10343
583,0.10386
584,0.1044
585,0.10494
586,0.10533
587,0.10569
588,0.10602
589,0.10633
590,0.10661
591,0.10693
592,0.10729
593,0.10765
594,0.10794
595,0.10826
596,0.10865
597,0.10905
598,0.10942
599,0.10978
600,0.11015
601,0.11049
602,0.11086
603,0.11127
604,0.11173
605,0.11216
606,0.11258
607,0.11301
608,0.11347
609,0.11404
610,0.11478
611,0.1156
612,0.116
613,0.1162
614,0.1164
615,0.11675
616,0.11712
617,0.1175
618,0.11791
619,0.11839
620,0.11887
621,0.11931
622,0.11975
623,0.12021
624,0.12067
625,0.12112
626,0.12159
627,0.12207
628,0.12259
629,0.12314
630,0.12358
631,0.12405
632,0.12456
633,0.12498
634,0.1255
635,0.12603
636,0.1265
637,0.12705
638,0.12755
639,0.12802
640,0.12857
641,0.12913
642,0.12967
643,0.13021
644,0.13074
645,0.13123
646,0.13173
647,0.1323
648,0.13282
649,0.13339
650,0.13401
651,0.1346
652,0.13518
653,0.13572
654,0.13625
655,0.1369
656,0.13752
657,0.13809
658,0.13865
659,0.13923
660,0.13984
661,0.14045
662,0.14105
663,0.14161
664,0.14221
665,0.14289
666,0.1435
667,0.14408
668,0.14465
669,0.14529
670,0.14601
671,0.14669
672,0.14731
673,0.14796
674,0.14862
675,0.1493
676,0.15002
677,0.15075
678,0.15142
679,0.15206
680,0.15279
681,0.15356
682,0.15431
683,0.15501
684,0.15568
685,0.15642
686,0.15722
687,0.15803
688,0.15883
689,0.15961
690,0.1604
691,0.16126
692,0.16214
693,0.163
694,0.16387
695,0.16481
696,0.16573
697,0.16663
698,0.16756
699,0.16845
700,0.16936
701,0.1703
702,0.17119
703,0.17211
704,0.17303
705,0.17392
706,0.17482
707,0.17573
708,0.17666
709,0.17764
710,0.17854
711,0.17939
712,0.18022
713,0.18112
714,0.182
715,0.18292
716,0.18389
717,0.18477
718,0.1856
719,0.18645
720,0.18735
721,0.1883
722,0.1892
723,0.19007
724,0.19097
725,0.19189
726,0.19282
727,0.19375
728,0.19465
729,0.19553
730,0.1964
731,0.19727
732,0.19822
733,0.19917
734,0.20009
735,0.20105
736,0.20196
737,0.20288
738,0.20384
739,0.20476
740,0.2057
741,0.20666
742,0.20762
743,0.20857
744,0.20952
745,0.21046
746,0.21141
747,0.21236
748,0.21333
749,0.21431
750,0.21527
751,0.2162
752,0.21717
753,0.21823
754,0.21916
755,0.2201
756,0.22109
757,0.2221
758,0.2231
759,0.22411
760,0.22513
761,0.2261
762,0.22707
763,0.22802
764,0.22895
765,0.22998
766,0.23099
767,0.23199
768,0.23301
769,0.23399
770,0.235
771,0.23605
772,0.23707
773,0.23805
774,0.23904
775,0.2401
776,0.24114
777,0.24215
778,0.24314
779,0.24416
780,0.24517
781,0.24619
782,0.2472
783,0.2482
784,0.24917
785,0.25015
786,0.25118
787,0.25224
788,0.25326
789,0.25427
790,0.25533
791,0.25632
792,0.25733
793,0.25834
794,0.25924
795,0.26029
796,0.26139
797,0.26247
798,0.26351
799,0.26451
800,0.26551
801,0.26655
802,0.26759
803,0.26853
804,0.26948
805,0.27057
806,0.27153
807,0.27255
808,0.27364
809,0.27464
810,0.27561
811,0.2766
812,0.27761
813,0.27863
814,0.27961
815,0.28059
816,0.2816
817,0.2826
818,0.28364
819,0.28468
820,0.28566
821,0.28673
822,0.2877
823,0.2886
824,0.28965
825,0.29068
