wl,value
360,0.12582
361,0.12576
362,0.12387
363,0.1246
364,0.12618
365,0.12615
366,0.12585
367,0.12596
368,0.12648
369,0.12695
370,0.12689
371,0.1267
372,0.12682
373,0.12768
374,0.12824
375,0.1283
376,0.128
377,0.12746
378,0.12843
379,0.13009
380,0.12968
381,0.13014
382,0.13055
383,0.13038
384,0.13148
385,0.13104
386,0.13012
387,0.13071
388,0.13122
389,0.13224
390,0.13313
391,0.13205
392,0.13239
393,0.13282
394,0.1322
395,0.13245
396,0.13279
397,0.13299
398,0.13315
399,0.13384
400,0.13437
401,0.13446
402,0.13452
403,0.13471
404,0.13497
405,0.13509
406,0.13464
407,0.135
408,0.13589
409,0.13608
410,0.13683
411,0.13731
412,0.13714
413,0.13705
414,0.13714
415,0.13727
416,0.13732
417,0.13754
418,0.13761
419,0.13761
420,0.13793
421,0.13821
422,0.13847
423,0.13873
424,0.13883
425,0.13903
426,0.1393
427,0.13951
428,0.13966
429,0.13991
430,0.14021
431,0.14029
432,0.14055
433,0.14084
434,0.14099
435,0.14122
436,0.14135
437,0.14147
438,0.1418
439,0.14213
440,0.14237
441,0.14256
442,0.14285
443,0.14298
444,0.14306
445,0.14331
446,0.14377
447,0.14403
448,0.14407
449,0.14429
450,0.14447
451,0.14467
452,0.14491
453,0.14487
454,0.14508
455,0.14546
456,0.1456
457,0.14597
458,0.14633
459,0.14654
460,0.14667
461,0.14687
462,0.14707
463,0.14721
464,0.14748
465,0.14773
466,0.14794
467,0.14825
468,0.14843
469,0.14863
470,0.14892
471,0.14897
472,0.14913
473,0.14937
474,0.14948
475,0.14967
476,0.14985
477,0.15
478,0.1503
479,0.15047
480,0.15062
481,0.15087
482,0.15112
483,0.15128
484,0.15141
485,0.15168
486,0.1518
487,0.15193
488,0.15218
489,0.15235
490,0.15252
491,0.15269
492,0.15281
493,0.15298
494,0.15323
495,0.15349
496,0.15358
497,0.15376
498,0.15402
499,0.15428
500,0.15449
501,0.15472
502,0.15495
503,0.15506
504,0.15528
505,0.15556
506,0.15581
507,0.15593
508,0.15617
509,0.15647
510,0.15666
511,0.15695
512,0.15717
513,0.1573
514,0.15762
515,0.15791
516,0.15813
517,0.15831
518,0.15862
519,0.15888
520,0.15911
521,0.15941
522,0.15957
523,0.15974
524,0.16001
525,0.1603
526,0.16046
527,0.16059
528,0.16086
529,0.16114
530,0.16131
531,0.1614
532,0.16166
533,0.1619
534,0.1621
535,0.16229
536,0.1624
537,0.16264
538,0.16297
539,0.1632
540,0.1634
541,0.16367
542,0.16405
543,0.16431
544,0.16452
545,0.16471
546,0.16493
547,0.16515
548,0.16533
549,0.16548
550,0.1657
551,0.16591
552,0.16611
553,0.16631
554,0.16657
555,0.16674
556,0.16689
557,0.1672
558,0.16745
559,0.16771
560,0.168
561,0.1682
562,0.16845
563,0.16873
564,0.16899
565,0.16921
566,0.1694
567,0.16956
568,0.16971
569,0.16987
570,0.17001
571,0.17013
572,0.1704
573,0.17071
574,0.17095
575,0.17106
576,0.17118
577,0.17131
578,0.17146
579,0.17177
580,0.17208
581,0.17234
582,0.17254
583,0.17263
584,0.17279
585,0.17306
586,0.1734
587,0.17371
588,0.17391
589,0.17398
590,0.17395
591,0.17395
592,0.17404
593,0.17421
594,0.1746
595,0.175
596,0.1753
597,0.17559
598,0.17588
599,0.17616
600,0.17639
601,0.17663
602,0.17687
603,0.17709
604,0.17731
605,0.17752
606,0.17777
607,0.17804
608,0.1783
609,0.17859
610,0.1789
611,0.1792
612,0.1795
613,0.17973
614,0.17989
615,0.18017
616,0.18044
617,0.18069
618,0.18094
619,0.18122
620,0.18155
621,0.18191
622,0.18221
623,0.18253
624,0.18281
625,0.18306
626,0.18345
627,0.18383
628,0.18417
629,0.18445
630,0.18479
631,0.18514
632,0.18545
633,0.18569
634,0.18604
635,0.18636
636,0.18658
637,0.18692
638,0.18721
639,0.18746
640,0.18773
641,0.18797
642,0.18825
643,0.18857
644,0.18878
645,0.18901
646,0.18925
647,0.18948
648,0.18974
649,0.19
650,0.19025
651,0.19047
652,0.19079
653,0.1911
654,0.19135
655,0.19169
656,0.19198
657,0.19225
658,0.19254
659,0.19277
660,0.19298
661,0.19321
662,0.19348
663,0.19372
664,0.19395
665,0.19421
666,0.19443
667,0.19461
668,0.19483
669,0.19521
670,0.19551
671,0.19581
672,0.19614
673,0.19646
674,0.19679
675,0.19716
676,0.19759
677,0.19795
678,0.19837
679,0.19882
680,0.19919
681,0.19959
682,0.20009
683,0.20066
684,0.20112
685,0.20165
686,0.20223
687,0.20285
688,0.20363
689,0.20442
690,0.20518
691,0.20599
692,0.20685
693,0.20776
694,0.20871
695,0.20965
696,0.21055
697,0.21144
698,0.21236
699,0.21325
700,0.21418
701,0.21511
702,0.21592
703,0.21678
704,0.21765
705,0.21847
706,0.21922
707,0.22007
708,0.22095
709,0.22173
710,0.22242
711,0.22316
712,0.22396
713,0.22464
714,0.22532
715,0.22599
716,0.22665
717,0.22746
718,0.22815
719,0.22875
720,0.2294
721,0.23011
722,0.23079
723,0.23142
724,0.23209
725,0.23271
726,0.23332
727,0.23394
728,0.23461
729,0.23529
730,0.23592
731,0.23646
732,0.23709
733,0.23772
734,0.23834
735,0.23905
736,0.23964
737,0.2402
738,0.24082
739,0.24151
740,0.2421
741,0.24269
742,0.24339
743,0.24399
744,0.24459
745,0.24521
746,0.24578
747,0.24644
748,0.24711
749,0.24774
750,0.2484
751,0.24899
752,0.2496
753,0.25031
754,0.25091
755,0.25149
756,0.25214
757,0.25289
758,0.25347
759,0.25398
760,0.25457
761,0.25537
762,0.256
763,0.25656
764,0.25725
765,0.25789
766,0.25854
767,0.25922
768,0.25987
769,0.26049
770,0.2611
771,0.26172
772,0.26238
773,0.26311
774,0.26381
775,0.26443
776,0.26505
777,0.26577
778,0.26646
779,0.26699
780,0.26775
781,0.26848
782,0.2691
783,0.2698
784,0.27051
785,0.27112
786,0.27167
787,0.27243
788,0.27321
789,0.27391
790,0.27451
791,0.27521
792,0.27591
793,0.27659
794,0.27729
795,0.27799
796,0.27871
797,0.27943
798,0.28004
799,0.28081
800,0.28158
801,0.28221
802,0.28296
803,0.28371
804,0.28444
805,0.28514
806,0.28575
807,0.28654
808,0.28742
809,0.28808
810,0.28878
811,0.28952
812,0.29029
813,0.29109
814,0.29173
815,0.29241
816,0.29327
817,0.29398
818,0.29467
819,0.29539
820,0.29616
821,0.29697
822,0.2978
823,0.29862
824,0.29936
825,0.29994
826,0.3006
827,0.30146
828,0.30233
829,0.3031
830,0.30381
