wl,value
360,0.05305
361,0.05286
362,0.05254
363,0.05136
364,0.05144
365,0.05374
366,0.05233
367,0.05213
368,0.05329
369,0.05272
370,0.0524
371,0.05296
372,0.05403
373,0.0538
374,0.05304
375,0.05247
376,0.05274
377,0.05439
378,0.05508
379,0.05471
380,0.05508
381,0.05506
382,0.05499
383,0.05514
384,0.05508
385,0.05545
386,0.05578
387,0.05546
388,0.05577
389,0.05556
390,0.05512
391,0.0562
392,0.05634
393,0.05609
394,0.05613
395,0.05594
396,0.05613
397,0.05661
398,0.05701
399,0.05703
400,0.05731
401,0.05779
402,0.05737
403,0.05717
404,0.05712
405,0.05704
406,0.05755
407,0.05812
408,0.05834
409,0.05802
410,0.0583
411,0.05863
412,0.05861
413,0.05856
414,0.05844
415,0.05839
416,0.05856
417,0.05902
418,0.0592
419,0.05912
420,0.05936
421,0.05941
422,0.05949
423,0.05976
424,0.05974
425,0.05979
426,0.05993
427,0.06004
428,0.06012
429,0.06027
430,0.06045
431,0.0605
432,0.06066
433,0.06091
434,0.06108
435,0.06089
436,0.06095
437,0.06125
438,0.06135
439,0.0615
440,0.06157
441,0.06151
442,0.06141
443,0.06152
444,0.06169
445,0.06166
446,0.06179
447,0.06198
448,0.06213
449,0.06218
450,0.06223
451,0.06232
452,0.06249
453,0.06279
454,0.06291
455,0.06288
456,0.06292
457,0.06303
458,0.0631
459,0.06312
460,0.06331
461,0.06349
462,0.06364
463,0.06378
464,0.06402
465,0.06419
466,0.06425
467,0.06426
468,0.06439
469,0.06458
470,0.06474
471,0.06486
472,0.06495
473,0.06505
474,0.06519
475,0.0654
476,0.06561
477,0.06578
478,0.06585
479,0.06593
480,0.06606
481,0.06623
482,0.06642
483,0.0666
484,0.06677
485,0.06697
486,0.06716
487,0.0673
488,0.06742
489,0.06777
490,0.06795
491,0.06802
492,0.06824
493,0.0685
494,0.06874
495,0.06895
496,0.06917
497,0.06936
498,0.06951
499,0.06964
500,0.0699
501,0.07014
502,0.07033
503,0.07055
504,0.07088
505,0.07119
506,0.07139
507,0.0716
508,0.0719
509,0.07223
510,0.07254
511,0.07281
512,0.07304
513,0.07325
514,0.07344
515,0.07376
516,0.07413
517,0.07446
518,0.07474
519,0.07508
520,0.07543
521,0.07566
522,0.07607
523,0.07646
524,0.07672
525,0.07705
526,0.07737
527,0.07772
528,0.07813
529,0.07852
530,0.07881
531,0.07905
532,0.07949
533,0.0799
534,0.08027
535,0.08066
536,0.08105
537,0.08141
538,0.08174
539,0.08207
540,0.08256
541,0.08307
542,0.08349
543,0.08389
544,0.08439
545,0.08487
546,0.08519
547,0.08561
548,0.08608
549,0.08652
550,0.08701
551,0.08748
552,0.08793
553,0.08836
554,0.08878
555,0.08918
556,0.0896
557,0.09008
558,0.09057
559,0.09103
560,0.09143
561,0.09186
562,0.09233
563,0.09281
564,0.09329
565,0.09373
566,0.09416
567,0.09455
568,0.0949
569,0.09534
570,0.09584
571,0.09629
572,0.09664
573,0.09701
574,0.09749
575,0.09809
576,0.09874
577,0.09938
578,0.09997
579,0.10044
580,0.10096
581,0.10147
582,0.10188
583,0.10225
584,0.1027
585,0.10322
