wl,value
360,0.06124
361,0.06077
362,0.0601
363,0.06081
364,0.06262
365,0.06426
366,0.06267
367,0.06199
368,0.06292
369,0.06365
370,0.06456
371,0.06503
372,0.06506
373,0.0659
374,0.06667
375,0.06686
376,0.06643
377,0.06676
378,0.06661
379,0.06641
380,0.06792
381,0.06851
382,0.06907
383,0.07007
384,0.06966
385,0.06983
386,0.07032
387,0.07035
388,0.07131
389,0.07198
390,0.07191
391,0.07162
392,0.07196
393,0.0726
394,0.07301
395,0.07295
396,0.07284
397,0.07305
398,0.07377
399,0.07424
400,0.07452
401,0.07459
402,0.07419
403,0.0745
404,0.0749
405,0.07482
406,0.0757
407,0.07594
408,0.07547
409,0.07529
410,0.07521
411,0.07554
412,0.07622
413,0.07651
414,0.07677
415,0.07668
416,0.07606
417,0.07637
418,0.07672
419,0.0769
420,0.07739
421,0.07744
422,0.0775
423,0.07791
424,0.07818
425,0.07825
426,0.07829
427,0.07848
428,0.07861
429,0.0787
430,0.07888
431,0.07939
432,0.07972
433,0.0798
434,0.07978
435,0.08007
436,0.08015
437,0.08011
438,0.0805
439,0.08063
440,0.08059
441,0.08056
442,0.08071
443,0.08082
444,0.08095
445,0.08119
446,0.08138
447,0.08149
448,0.08161
449,0.08195
450,0.0822
451,0.08235
452,0.08248
453,0.08274
454,0.08303
455,0.08325
456,0.08331
457,0.08339
458,0.08363
459,0.08397
460,0.08409
461,0.08418
462,0.08426
463,0.08434
464,0.08458
465,0.08478
466,0.08487
467,0.08493
468,0.08506
469,0.08525
470,0.08542
471,0.08553
472,0.08567
473,0.0858
474,0.08586
475,0.0859
476,0.08604
477,0.0863
478,0.08653
479,0.08671
480,0.0868
481,0.08683
482,0.08698
483,0.08719
484,0.08739
485,0.08755
486,0.08783
487,0.08811
488,0.08829
489,0.08847
490,0.08872
491,0.08897
492,0.08912
493,0.08932
494,0.08963
495,0.09001
496,0.09026
497,0.09045
498,0.09066
499,0.09095
500,0.09122
501,0.0915
502,0.09183
503,0.09222
504,0.09262
505,0.093
506,0.09338
507,0.09375
508,0.09412
509,0.09453
510,0.095
511,0.09552
512,0.09601
513,0.09646
514,0.09693
515,0.09735
516,0.09776
517,0.09821
518,0.09877
519,0.09927
520,0.0997
521,0.10016
522,0.10058
523,0.10102
524,0.10147
525,0.10186
526,0.10225
527,0.10262
528,0.10296
529,0.10338
530,0.10373
531,0.104
532,0.10437
533,0.10467
534,0.10495
535,0.10526
536,0.10553
537,0.10583
538,0.10615
539,0.10644
540,0.10679
541,0.10721
542,0.10767
543,0.10803
544,0.10841
545,0.10875
546,0.10892
547,0.10899
548,0.10904
549,0.10914
550,0.10931
551,0.10949
552,0.10964
553,0.10978
554,0.10992
555,0.11005
556,0.11016
557,0.11027
558,0.11037
559,0.11045
560,0.11052
561,0.1106
562,0.11071
563,0.11083
564,0.11088
565,0.11094
566,0.11092
567,0.11084
568,0.11075
569,0.11068
570,0.11062
571,0.11055
572,0.11051
573,0.11047
574,0.11049
575,0.11068
576,0.11095
577,0.11123
578,0.11146
579,0.11159
580,0.11163
581,0.11165
582,0.11173
583,0.11176
584,0.11178
585,0.11179
586,0.11172
587,0.11165
588,0.11162
589,0.11164
590,0.1117
591,0.11191
592,0.11219
593,0.11235
594,0.11244
595,0.11255
596,0.11267
597,0.11264
598,0.11264
599,0.11269
600,0.11277
601,0.11284
602,0.11291
603,0.11302
604,0.11318
605,0.11335
606,0.11347
607,0.11355
608,0.11367
609,0.11384
610,0.11408
611,0.11437
612,0.11439
613,0.11427
614,0.11415
615,0.11418
616,0.11415
617,0.11413
618,0.11419
619,0.11427
620,0.11435
621,0.11443
622,0.1145
623,0.11462
624,0.1147
625,0.11474
626,0.11482
627,0.11497
628,0.11511
629,0.1152
630,0.1154
631,0.11553
632,0.11557
633,0.11565
634,0.11571
635,0.11575
636,0.11575
637,0.11573
638,0.11573
639,0.11571
640,0.11557
641,0.11534
642,0.11516
643,0.11505
644,0.11492
645,0.1147
646,0.11447
647,0.11434
648,0.11423
649,0.11413
650,0.11408
651,0.1142
652,0.11427
653,0.11432
654,0.11438
655,0.11447
656,0.11456
657,0.11459
658,0.11454
659,0.11448
660,0.11442
661,0.11435
662,0.11427
663,0.11413
664,0.11398
665,0.11388
666,0.11376
667,0.11367
668,0.11362
669,0.11365
670,0.11369
671,0.11373
672,0.11378
673,0.11389
674,0.11406
675,0.11427
676,0.11448
677,0.11466
678,0.11489
679,0.11517
680,0.11546
681,0.11575
682,0.11609
683,0.11655
684,0.11711
685,0.11773
686,0.11845
687,0.1193
688,0.12025
689,0.12141
690,0.12272
691,0.12403
692,0.12548
693,0.12705
694,0.12869
695,0.13028
696,0.13184
697,0.13342
698,0.13506
699,0.13661
700,0.13814
701,0.13967
702,0.14115
703,0.14253
704,0.14387
705,0.14522
706,0.14652
707,0.14782
708,0.14911
709,0.15037
710,0.15151
711,0.15264
712,0.1538
713,0.15494
714,0.15604
715,0.15706
716,0.15801
717,0.159
718,0.15994
719,0.16085
720,0.16178
721,0.16266
722,0.1635
723,0.16429
724,0.16505
725,0.16579
726,0.1665
727,0.16717
728,0.16788
729,0.16859
730,0.16926
731,0.16984
732,0.1704
733,0.17098
734,0.17157
735,0.17214
736,0.17272
737,0.17329
738,0.1738
739,0.17425
740,0.17477
741,0.17529
742,0.17571
743,0.17619
744,0.17665
745,0.17709
746,0.17755
747,0.178
748,0.1784
749,0.17878
750,0.17924
751,0.17964
752,0.17999
753,0.18039
754,0.18084
755,0.18125
756,0.18159
757,0.1819
758,0.18226
759,0.18269
760,0.18313
761,0.18348
762,0.18383
763,0.18421
764,0.1846
765,0.18494
766,0.18526
767,0.18562
768,0.18609
769,0.18651
770,0.18685
771,0.18717
772,0.18751
773,0.18781
774,0.18818
775,0.18866
776,0.18904
777,0.18935
778,0.18965
779,0.19003
780,0.19038
781,0.19071
782,0.19106
783,0.19148
784,0.19186
785,0.19225
786,0.19266
787,0.19294
788,0.19324
789,0.19359
