wl,value
360,0.09766
361,0.09492
362,0.09698
363,0.09581
364,0.09372
365,0.09443
366,0.09706
367,0.09869
368,0.09897
369,0.0993
370,0.09923
371,0.09854
372,0.09797
373,0.10023
374,0.10072
375,0.10004
376,0.10015
377,0.10079
378,0.10085
379,0.1009
380,0.10278
381,0.10381
382,0.10315
383,0.10163
384,0.10297
385,0.1038
386,0.10404
387,0.1046
388,0.10437
389,0.10456
390,0.10528
391,0.10547
392,0.10542
393,0.10558
394,0.10611
395,0.10641
396,0.10674
397,0.10713
398,0.10751
399,0.10825
400,0.10899
401,0.10921
402,0.10828
403,0.10909
404,0.11019
405,0.10999
406,0.11026
407,0.11088
408,0.11146
409,0.11158
410,0.11188
411,0.11217
412,0.11231
413,0.11255
414,0.11278
415,0.11304
416,0.11335
417,0.11343
418,0.11379
419,0.11432
420,0.11438
421,0.11459
422,0.11492
423,0.11524
424,0.11536
425,0.11556
426,0.11593
427,0.1164
428,0.11659
429,0.11685
430,0.1173
431,0.11756
432,0.11796
433,0.11834
434,0.1185
435,0.11873
436,0.11902
437,0.11932
438,0.11955
439,0.11992
440,0.12028
441,0.12053
442,0.12085
443,0.12102
444,0.12119
445,0.12158
446,0.12192
447,0.12215
448,0.12241
449,0.12301
450,0.12312
451,0.12325
452,0.12386
453,0.12413
454,0.12431
455,0.12454
456,0.12487
457,0.12527
458,0.12565
459,0.12593
460,0.12601
461,0.12623
462,0.12663
463,0.12709
464,0.12727
465,0.12746
466,0.12774
467,0.12798
468,0.12823
469,0.12858
470,0.12899
471,0.12926
472,0.12948
473,0.12967
474,0.1298
475,0.1301
476,0.1305
477,0.13093
478,0.13134
479,0.13145
480,0.13151
481,0.13179
482,0.13212
483,0.13246
484,0.13278
485,0.13305
486,0.13333
487,0.13361
488,0.13388
489,0.13425
490,0.13443
491,0.13464
492,0.13521
493,0.13548
494,0.13564
495,0.13586
496,0.13613
497,0.1364
498,0.13669
499,0.13705
500,0.1374
501,0.13773
502,0.13804
503,0.1383
504,0.13863
505,0.13895
506,0.13924
507,0.13952
508,0.13979
509,0.14012
510,0.14059
511,0.14091
512,0.14124
513,0.14164
514,0.14195
515,0.14229
516,0.14267
517,0.14303
518,0.14342
519,0.14384
520,0.14424
521,0.14455
522,0.14483
523,0.14521
524,0.1457
525,0.14595
526,0.14629
527,0.14673
528,0.14711
529,0.14753
530,0.1479
531,0.14819
532,0.14857
533,0.14895
534,0.14933
535,0.14969
536,0.15008
537,0.15048
538,0.15089
539,0.15134
540,0.15177
541,0.15228
542,0.15287
543,0.15333
544,0.15377
545,0.15419
546,0.15456
547,0.15488
548,0.15519
549,0.15555
550,0.15606
551,0.15645
552,0.15677
553,0.15715
554,0.15753
555,0.15798
556,0.15846
557,0.15881
558,0.15914
559,0.15951
560,0.15993
561,0.16024
562,0.16063
563,0.16109
564,0.16149
565,0.16187
566,0.16227
567,0.1627
568,0.16304
569,0.16346
570,0.16389
571,0.16425
572,0.16463
573,0.16498
574,0.16539
575,0.16597
576,0.16663
577,0.16725
578,0.16776
579,0.16821
580,0.16865
581,0.16909
582,0.16951
583,0.16995
584,0.17038
585,0.17079
586,0.17114
587,0.17152
588,0.1719
589,0.1723
590,0.17287
591,0.17355
592,0.17422
593,0.17473
594,0.17516
595,0.17561
596,0.17613
597,0.17664
598,0.17716
599,0.17769
600,0.17819
601,0.17869
602,0.17914
603,0.17961
604,0.18022
605,0.18083
606,0.18142
607,0.18202
608,0.18257
609,0.18314
610,0.1838
611,0.18456
612,0.18513
613,0.18558
614,0.18602
615,0.18658
616,0.18715
617,0.18774
618,0.18837
619,0.18893
620,0.18954
621,0.19019
622,0.19079
623,0.19141
624,0.19202
625,0.19263
626,0.19327
627,0.19389
628,0.1945
629,0.19514
630,0.19582
631,0.19649
632,0.19713
633,0.19777
634,0.19838
635,0.19901
636,0.19971
637,0.20043
638,0.20104
639,0.20161
640,0.20226
641,0.2029
642,0.20354
643,0.20418
644,0.20478
645,0.20546
646,0.20613
647,0.20669
648,0.20735
649,0.20805
650,0.20873
651,0.20935
652,0.21001
653,0.21075
654,0.21152
655,0.21216
656,0.21284
657,0.21353
658,0.21416
659,0.21487
660,0.21552
661,0.21613
662,0.21681
663,0.21751
664,0.21814
665,0.21868
666,0.2194
667,0.2201
668,0.22076
669,0.22141
670,0.22216
671,0.22289
672,0.22358
673,0.22432
674,0.2251
675,0.22588
676,0.22663
677,0.22743
678,0.2282
679,0.22899
680,0.22987
681,0.23069
682,0.23153
683,0.23244
684,0.2333
685,0.23422
686,0.23519
687,0.23616
688,0.23716
689,0.23819
690,0.23923
691,0.24026
692,0.24138
693,0.24248
694,0.24352
695,0.24467
696,0.2457
697,0.24666
698,0.24765
699,0.24867
700,0.24969
701,0.25068
702,0.25166
703,0.25257
704,0.25348
705,0.25445
706,0.25543
707,0.25635
708,0.25723
709,0.25817
710,0.25908
711,0.25996
712,0.26083
713,0.26178
714,0.26274
715,0.26361
716,0.26438
717,0.26532
718,0.26632
719,0.26725
720,0.26802
721,0.26888
722,0.2698
723,0.27073
724,0.27168
725,0.27258
726,0.27341
727,0.27424
728,0.2752
729,0.27616
730,0.27709
731,0.27798
732,0.27882
733,0.27973
734,0.28071
735,0.28161
736,0.28246
737,0.28333
738,0.28428
739,0.28526
740,0.28612
741,0.28692
742,0.28781
743,0.28877
744,0.2897
745,0.29058
746,0.29152
747,0.29245
748,0.29337
749,0.29429
750,0.29521
751,0.29612
752,0.29701
753,0.29786
754,0.29876
755,0.29967
756,0.30055
757,0.30141
758,0.30247
759,0.30343
760,0.30416
761,0.30493
762,0.30589
763,0.30693
764,0.30787
765,0.30871
766,0.30959
767,0.31053
768,0.3115
769,0.31232
770,0.31317
771,0.31411
772,0.31501
773,0.31587
774,0.31674
775,0.31765
776,0.3186
777,0.31945
778,0.32028
779,0.32125
780,0.3222
781,0.32312
782,0.32399
783,0.32484
784,0.32569
785,0.3266
786,0.32759
787,0.32849
788,0.32931
789,0.33017
790,0.33118
791,0.33196
792,0.33281
793,0.33374
794,0.33457
795,0.33547
796,0.33633
797,0.33714
798,0.33797
799,0.33896
800,0.33989
801,0.34062
802,0.34153
803,0.34238
804,0.34323
805,0.3442
806,0.345
807,0.34585
808,0.34682
809,0.3478
810,0.34858
811,0.34931
812,0.35011
813,0.3511
814,0.35199
815,0.35277
816,0.35352
817,0.3544
818,0.35528
819,0.35613
820,0.35699
821,0.35788
822,0.35877
823,0.35964
824,0.36054
825,0.36132
826,0.36207
827,0.36291
828,0.36385
829,0.36468
830,0.36546
