wl,value
360,0.06301
361,0.06308
362,0.06449
363,0.06473
364,0.0654
365,0.06777
366,0.06815
367,0.06711
368,0.0666
369,0.0688
370,0.06778
371,0.06726
372,0.06905
373,0.06921
374,0.06938
375,0.06943
376,0.06911
377,0.06986
378,0.07055
379,0.07076
380,0.07084
381,0.07117
382,0.07151
383,0.07192
384,0.07359
385,0.07395
386,0.07344
387,0.07354
388,0.07398
389,0.07403
390,0.07398
391,0.07515
392,0.07539
393,0.07508
394,0.07504
395,0.07584
396,0.07625
397,0.07645
398,0.0771
399,0.07718
400,0.07716
401,0.07733
402,0.07754
403,0.07821
404,0.07865
405,0.07846
406,0.07912
407,0.07914
408,0.07888
409,0.07965
410,0.07984
411,0.07998
412,0.08039
413,0.08065
414,0.08085
415,0.081
416,0.08117
417,0.08177
418,0.08195
419,0.08181
420,0.08227
421,0.08279
422,0.083
423,0.08283
424,0.08278
425,0.08308
426,0.08353
427,0.0838
428,0.08387
429,0.08411
430,0.08456
431,0.08476
432,0.08522
433,0.08556
434,0.08553
435,0.08603
436,0.08642
437,0.08651
438,0.08652
439,0.08682
440,0.08698
441,0.08685
442,0.08717
443,0.0876
444,0.08786
445,0.0878
446,0.08803
447,0.08827
448,0.08842
449,0.08864
450,0.08897
451,0.08927
452,0.08946
453,0.08974
454,0.08995
455,0.09012
456,0.09041
457,0.09043
458,0.09059
459,0.09103
460,0.09122
461,0.09134
462,0.0915
463,0.09176
464,0.09193
465,0.09201
466,0.09209
467,0.09235
468,0.09259
469,0.09282
470,0.09303
471,0.09314
472,0.09327
473,0.09349
474,0.09381
475,0.09403
476,0.09411
477,0.09417
478,0.09447
479,0.09452
480,0.09464
481,0.09515
482,0.09522
483,0.09535
484,0.09568
485,0.09596
486,0.0962
487,0.09644
488,0.0967
489,0.09685
490,0.09703
491,0.09727
492,0.09753
493,0.09775
494,0.09796
495,0.09818
496,0.09842
497,0.09849
498,0.09866
499,0.09912
500,0.09936
501,0.09961
502,0.09989
503,0.10006
504,0.10036
505,0.1007
506,0.10097
507,0.10134
508,0.10165
509,0.10196
510,0.10235
511,0.10273
512,0.10307
513,0.10336
514,0.10374
515,0.10408
516,0.10446
517,0.10489
518,0.10526
519,0.1056
520,0.10594
521,0.10629
522,0.10661
523,0.10692
524,0.10725
525,0.10761
526,0.10794
527,0.10826
528,0.10863
529,0.10891
530,0.10921
531,0.10954
532,0.10979
533,0.11011
534,0.11046
535,0.11079
536,0.11103
537,0.11134
538,0.11174
539,0.1121
540,0.11257
541,0.11315
542,0.11377
543,0.11429
544,0.11469
545,0.11493
546,0.115
547,0.11504
548,0.11509
549,0.11516
550,0.11536
551,0.1156
552,0.11581
553,0.11597
554,0.11616
555,0.11634
556,0.1165
557,0.11667
558,0.11688
559,0.11709
560,0.11726
561,0.11743
562,0.11764
563,0.11787
564,0.1181
565,0.11824
566,0.1184
567,0.11862
568,0.11884
569,0.11899
570,0.11911
571,0.11925
572,0.11942
573,0.11962
574,0.1198
575,0.11994
576,0.12017
577,0.12041
578,0.12059
579,0.1208
580,0.12103
581,0.12124
582,0.1214
583,0.12162
584,0.12182
585,0.12202
586,0.12223
587,0.12243
588,0.12267
589,0.12294
590,0.12306
591,0.12314
592,0.12327
593,0.1235
594,0.12371
595,0.12391
596,0.12409
597,0.12427
598,0.12451
599,0.12473
600,0.12487
601,0.12506
602,0.12523
603,0.1254
604,0.12568
605,0.12589
606,0.12608
607,0.12631
608,0.12656
609,0.12693
610,0.12746
611,0.12803
612,0.12828
613,0.12827
614,0.12817
615,0.12827
616,0.12841
617,0.12854
618,0.12866
619,0.1289
620,0.12913
621,0.12933
622,0.12955
623,0.12973
624,0.12993
625,0.13021
626,0.13044
627,0.13064
628,0.13085
629,0.1311
630,0.1314
631,0.13168
632,0.1319
633,0.13208
634,0.13227
635,0.13247
636,0.13269
637,0.1329
638,0.13305
639,0.13316
640,0.13329
641,0.13334
642,0.13343
643,0.13356
644,0.1336
645,0.13368
646,0.13376
647,0.13379
648,0.13397
649,0.13414
650,0.13427
651,0.13446
652,0.13472
653,0.13494
654,0.1351
655,0.13533
656,0.13557
657,0.13579
658,0.13596
659,0.13609
660,0.13621
661,0.13633
662,0.13642
663,0.13653
664,0.13663
665,0.1367
666,0.13678
667,0.13687
668,0.13701
669,0.13719
670,0.13734
671,0.13751
672,0.13772
673,0.13798
674,0.1382
675,0.13844
676,0.13877
677,0.13905
678,0.13938
679,0.13975
680,0.14013
681,0.14047
682,0.14085
683,0.14133
684,0.14188
685,0.14246
686,0.1431
687,0.14385
688,0.14475
689,0.14576
690,0.1468
691,0.14778
692,0.14892
693,0.15014
694,0.15135
695,0.15245
696,0.15363
697,0.15482
698,0.15588
699,0.15688
700,0.15788
701,0.15886
702,0.15978
703,0.16068
704,0.16154
705,0.16237
706,0.16312
707,0.16388
708,0.16462
709,0.16531
710,0.16592
711,0.16654
712,0.16716
713,0.16772
714,0.16826
715,0.16882
716,0.16942
717,0.16993
718,0.17048
719,0.17103
720,0.17149
721,0.17197
722,0.17247
723,0.17298
724,0.17348
725,0.17392
726,0.17437
727,0.17486
728,0.17537
729,0.17587
730,0.17634
731,0.17677
732,0.17728
733,0.17776
734,0.17821
735,0.1787
736,0.17915
737,0.17963
738,0.18016
739,0.18056
740,0.18102
741,0.18153
742,0.182
743,0.1824
744,0.18289
745,0.18345
746,0.18393
747,0.18435
748,0.18479
749,0.1853
750,0.1858
751,0.18627
752,0.18676
753,0.18731
754,0.18772
755,0.1882
756,0.18875
757,0.18923
758,0.18968
759,0.19016
760,0.19069
761,0.19116
762,0.19162
763,0.19211
764,0.19263
765,0.19314
766,0.19361
767,0.19409
768,0.19459
769,0.19512
770,0.19565
771,0.19615
772,0.19658
773,0.19713
774,0.19768
775,0.19812
