wl,value
360,0.1414
361,0.14148
362,0.14345
363,0.144
364,0.14363
365,0.14354
366,0.14343
367,0.14331
368,0.14347
369,0.14421
370,0.14398
371,0.14376
372,0.14406
373,0.14404
374,0.14449
375,0.14484
376,0.14471
377,0.14683
378,0.14786
379,0.14727
380,0.14705
381,0.14634
382,0.14654
383,0.14805
384,0.14845
385,0.14826
386,0.14838
387,0.14948
388,0.1497
389,0.14997
390,0.15048
391,0.15042
392,0.15044
393,0.15066
394,0.15093
395,0.15074
396,0.15134
397,0.15239
398,0.1529
399,0.15338
400,0.15354
401,0.15334
402,0.15313
403,0.15335
404,0.154
405,0.15476
406,0.15499
407,0.15483
408,0.15476
409,0.15531
410,0.15563
411,0.15569
412,0.15573
413,0.15629
414,0.15648
415,0.15663
416,0.15726
417,0.15783
418,0.15804
419,0.15805
420,0.15842
421,0.15865
422,0.1588
423,0.15898
424,0.15928
425,0.15975
426,0.16016
427,0.16031
428,0.16095
429,0.16135
430,0.16128
431,0.1615
432,0.16177
433,0.16195
434,0.16195
435,0.16192
436,0.16208
437,0.16252
438,0.16317
439,0.16367
440,0.1642
441,0.16486
442,0.16538
443,0.16568
444,0.16589
445,0.16622
446,0.16667
447,0.16702
448,0.16732
449,0.16793
450,0.16823
451,0.16846
452,0.16888
453,0.1692
454,0.16962
455,0.17008
456,0.17041
457,0.17091
458,0.17132
459,0.17156
460,0.17198
461,0.17237
462,0.17278
463,0.17331
464,0.17362
465,0.17402
466,0.17453
467,0.17477
468,0.17502
469,0.17536
470,0.17583
471,0.1765
472,0.17704
473,0.17739
474,0.17767
475,0.17802
476,0.17841
477,0.17883
478,0.17927
479,0.17947
480,0.17976
481,0.18039
482,0.18067
483,0.18093
484,0.18126
485,0.18148
486,0.18176
487,0.18211
488,0.18254
489,0.18301
490,0.18339
491,0.18375
492,0.1842
493,0.18477
494,0.1853
495,0.18569
496,0.18604
497,0.18652
498,0.18701
499,0.18735
500,0.18786
501,0.18835
502,0.18875
503,0.18906
504,0.18949
505,0.19002
506,0.19053
507,0.19082
508,0.19118
509,0.19159
510,0.19197
511,0.1924
512,0.19282
513,0.19321
514,0.19358
515,0.19396
516,0.19437
517,0.19481
518,0.19521
519,0.19554
520,0.19587
521,0.19634
522,0.19672
523,0.19703
524,0.19738
525,0.19779
526,0.19821
527,0.19858
528,0.19888
529,0.19933
530,0.19973
531,0.20004
532,0.20044
533,0.20083
534,0.20122
535,0.20159
536,0.20191
537,0.20217
538,0.20242
539,0.20273
540,0.20289
541,0.20279
542,0.20253
543,0.20262
544,0.20289
545,0.20331
546,0.20395
547,0.20486
548,0.20571
549,0.20632
550,0.20678
551,0.20719
552,0.20764
553,0.20819
554,0.20871
555,0.20926
556,0.20979
557,0.21021
558,0.21064
559,0.21105
560,0.21143
561,0.21183
562,0.2122
563,0.21257
564,0.21296
565,0.21331
566,0.2136
567,0.21389
568,0.21429
569,0.21473
570,0.21513
571,0.21546
572,0.21572
573,0.21593
574,0.21616
575,0.21653
576,0.21697
577,0.21742
578,0.21778
579,0.21801
580,0.21815
581,0.21834
582,0.21867
583,0.21893
584,0.21928
585,0.21975
586,0.22018
587,0.2204
588,0.22054
589,0.22082
590,0.22132
591,0.2219
592,0.22241
593,0.22275
594,0.22304
