wl,value
360,0.08186
361,0.08036
362,0.08024
363,0.08165
364,0.08243
365,0.08109
366,0.0807
367,0.08146
368,0.08236
369,0.08186
370,0.08183
371,0.08193
372,0.08206
373,0.08328
374,0.08337
375,0.0831
376,0.08364
377,0.0831
378,0.08412
379,0.08594
380,0.08519
381,0.08521
382,0.08627
383,0.08751
384,0.08664
385,0.08619
386,0.08662
387,0.08746
388,0.08818
389,0.08828
390,0.08803
391,0.08844
392,0.08825
393,0.08801
394,0.0883
395,0.08898
396,0.08924
397,0.08916
398,0.08928
399,0.09027
400,0.09059
401,0.08996
402,0.08997
403,0.09077
404,0.09146
405,0.09136
406,0.09149
407,0.09188
408,0.09221
409,0.09207
410,0.09238
411,0.09306
412,0.09364
413,0.09315
414,0.0933
415,0.09395
416,0.09437
417,0.0943
418,0.09444
419,0.09488
420,0.09502
421,0.09514
422,0.0953
423,0.09553
424,0.09602
425,0.09623
426,0.09619
427,0.09624
428,0.09657
429,0.09699
430,0.09734
431,0.09753
432,0.09773
433,0.09792
434,0.09805
435,0.09829
436,0.0985
437,0.09875
438,0.09924
439,0.0996
440,0.09987
441,0.10013
442,0.1004
443,0.1007
444,0.10095
445,0.1011
446,0.10137
447,0.10164
448,0.10186
449,0.10212
450,0.10231
451,0.10265
452,0.10319
453,0.10324
454,0.10349
455,0.10393
456,0.10414
457,0.10431
458,0.10455
459,0.10486
460,0.10512
461,0.10534
462,0.10559
463,0.10595
464,0.10623
465,0.10643
466,0.10664
467,0.10697
468,0.10717
469,0.10739
470,0.10775
471,0.10805
472,0.10829
473,0.10846
474,0.10861
475,0.10902
476,0.10933
477,0.10944
478,0.10973
479,0.10999
480,0.11023
481,0.11051
482,0.11073
483,0.11094
484,0.11121
485,0.11155
486,0.11171
487,0.11185
488,0.11211
489,0.11231
490,0.11263
491,0.11303
492,0.11334
493,0.11361
494,0.1139
495,0.11419
496,0.11438
497,0.11468
498,0.11502
499,0.11531
500,0.11553
501,0.11578
502,0.11612
503,0.1165
504,0.11666
505,0.11681
506,0.1171
507,0.11737
508,0.11764
509,0.11791
510,0.11819
511,0.11846
512,0.11874
513,0.11903
514,0.11931
515,0.11957
516,0.11978
517,0.11994
518,0.12021
519,0.12054
520,0.12086
521,0.12113
522,0.12132
523,0.12157
524,0.12194
525,0.12213
526,0.12238
527,0.12265
528,0.12286
529,0.12307
530,0.12335
531,0.12368
532,0.12393
533,0.12416
534,0.12445
535,0.12483
536,0.1251
537,0.12528
538,0.12543
539,0.1257
540,0.12593
541,0.12604
542,0.12606
543,0.12626
544,0.12651
545,0.12681
546,0.12718
547,0.12771
548,0.12823
549,0.12863
550,0.12896
551,0.12932
552,0.12969
553,0.13003
554,0.13035
555,0.1307
556,0.13107
557,0.13134
558,0.13158
559,0.13184
560,0.13212
561,0.13236
562,0.13264
563,0.13295
564,0.13325
565,0.13356
566,0.13384
567,0.13411
568,0.13448
569,0.13479
570,0.1351
571,0.13544
572,0.1357
573,0.13591
574,0.13617
575,0.1366
576,0.137
577,0.13731
578,0.13756
579,0.13782
580,0.13799
581,0.13813
582,0.13833
583,0.13862
584,0.13893
585,0.13924
586,0.13958
587,0.13986
588,0.14016
589,0.14053
590,0.14095
591,0.14136
592,0.14177
593,0.14217
594,0.1425
595,0.14281
596,0.14311
597,0.14332
598,0.1436
599,0.14389
600,0.1441
601,0.1444
602,0.14475
603,0.14509
604,0.14542
605,0.14577
606,0.14614
607,0.14652
608,0.14687
609,0.14709
610,0.14716
611,0.14719
612,0.14755
613,0.14809
614,0.14865
615,0.14911
616,0.14952
617,0.1499
618,0.1503
619,0.15067
620,0.15101
621,0.15134
622,0.1517
623,0.15211
624,0.15252
625,0.1529
626,0.15319
627,0.15358
628,0.15401
629,0.15437
630,0.15465
631,0.15498
632,0.15539
633,0.15574
634,0.15617
635,0.15661
636,0.15699
637,0.15735
638,0.15769
639,0.15804
640,0.15845
641,0.15879
642,0.15916
643,0.15957
644,0.15989
645,0.1602
646,0.16052
647,0.16088
648,0.16131
649,0.16171
650,0.16206
651,0.16238
652,0.16278
653,0.16319
654,0.16356
655,0.1639
656,0.16421
657,0.16455
658,0.16499
659,0.16542
660,0.1658
661,0.16613
662,0.16644
663,0.16684
664,0.16721
665,0.16747
666,0.16787
667,0.16828
668,0.16867
669,0.16905
670,0.16944
671,0.16984
672,0.17022
673,0.17053
674,0.17089
675,0.17129
676,0.17171
677,0.17206
678,0.17241
679,0.17281
680,0.17321
681,0.1736
682,0.17399
683,0.17438
684,0.17482
685,0.17517
686,0.17552
687,0.17595
688,0.17631
689,0.17675
690,0.17723
691,0.17763
692,0.17805
693,0.17844
694,0.1788
695,0.17927
696,0.17975
697,0.18017
698,0.18052
699,0.18093
700,0.18134
701,0.18173
702,0.18218
703,0.18263
704,0.18305
705,0.18343
706,0.18378
707,0.18426
708,0.18479
709,0.18522
710,0.18558
711,0.186
712,0.18648
713,0.18686
714,0.18729
715,0.18773
716,0.18815
717,0.18856
718,0.18902
719,0.1895
720,0.18992
721,0.19033
722,0.19077
723,0.19122
724,0.19162
725,0.19209
726,0.19257
727,0.19299
728,0.19339
729,0.19381
730,0.19425
731,0.1947
732,0.19517
733,0.1956
734,0.19599
735,0.19646
736,0.19683
737,0.19725
738,0.19781
739,0.19825
740,0.19866
741,0.19907
742,0.19954
743,0.20003
744,0.20047
745,0.20086
746,0.20123
747,0.20172
748,0.20224
749,0.20271
750,0.20313
751,0.20354
752,0.20397
753,0.20443
754,0.20492
755,0.20539
756,0.20583
757,0.20624
758,0.20668
759,0.20718
760,0.2077
761,0.20808
762,0.20849
763,0.20897
764,0.20947
765,0.20993
766,0.21035
767,0.21079
768,0.21127
769,0.21176
770,0.21221
771,0.21266
772,0.21313
773,0.21363
774,0.21412
775,0.21456
776,0.21502
777,0.21549
778,0.21598
779,0.21651
780,0.21701
781,0.21746
782,0.2179
783,0.21848
784,0.21899
785,0.21944
786,0.21988
787,0.22039
788,0.22084
789,0.22129
790,0.22182
791,0.2224
792,0.22291
793,0.22333
794,0.22376
795,0.22427
796,0.22483
797,0.22539
798,0.22597
799,0.22644
800,0.22689
801,0.22739
802,0.22796
803,0.22851
804,0.22901
805,0.22949
806,0.22995
807,0.23052
808,0.23111
809,0.23149
810,0.23204
811,0.23259
812,0.23304
813,0.23351
814,0.2341
815,0.23472
816,0.2353
817,0.23582
818,0.23638
819,0.23691
820,0.23735
821,0.23791
822,0.23848
823,0.23902
824,0.23958
825,0.24011
826,0.24059
827,0.24105
828,0.24155
829,0.24215
830,0.24282
