wl,value
360,0.02726
361,0.02723
362,0.02773
363,0.02767
364,0.02769
365,0.02842
366,0.02892
367,0.02864
368,0.02809
369,0.02839
370,0.02863
371,0.02852
372,0.02814
373,0.02806
374,0.0285
375,0.02915
376,0.02945
377,0.02888
378,0.02839
379,0.0284
380,0.02873
381,0.02896
382,0.02881
383,0.02842
384,0.0286
385,0.02868
386,0.02891
387,0.0296
388,0.02918
389,0.0294
390,0.03024
391,0.02973
392,0.02972
393,0.03011
394,0.03043
395,0.03027
396,0.03073
397,0.03145
398,0.0316
399,0.0322
400,0.03258
401,0.03265
402,0.03321
403,0.0337
404,0.03435
405,0.0353
406,0.03593
407,0.03637
408,0.03688
409,0.03772
410,0.03846
411,0.03919
412,0.04
413,0.04083
414,0.0415
415,0.04222
416,0.04321
417,0.04396
418,0.04469
419,0.04559
420,0.04673
421,0.04741
422,0.04807
423,0.04903
424,0.04971
425,0.05055
426,0.05151
427,0.05236
428,0.05329
429,0.05409
430,0.05479
431,0.0557
432,0.05651
433,0.05735
434,0.05833
435,0.05889
436,0.05965
437,0.06061
438,0.06133
439,0.06219
440,0.06311
441,0.06396
442,0.06467
443,0.06556
444,0.06652
445,0.06733
446,0.06822
447,0.06908
448,0.06991
449,0.07093
450,0.07174
451,0.07256
452,0.07357
453,0.07439
454,0.07516
455,0.07596
456,0.07685
457,0.07762
458,0.07836
459,0.07912
460,0.07989
461,0.0805
462,0.08107
463,0.08181
464,0.08251
465,0.08315
466,0.08373
467,0.08429
468,0.08484
469,0.08539
470,0.08591
471,0.08631
472,0.0867
473,0.08711
474,0.0875
475,0.08791
476,0.08826
477,0.08858
478,0.08901
479,0.08933
480,0.08965
481,0.09012
482,0.09055
483,0.09103
484,0.09156
485,0.09203
486,0.09259
487,0.09327
488,0.09404
489,0.09478
490,0.09569
491,0.09671
492,0.0977
493,0.09875
494,0.09987
495,0.10109
496,0.10244
497,0.10379
498,0.10519
499,0.10672
500,0.10834
501,0.11008
502,0.11193
503,0.11379
504,0.11574
505,0.11774
506,0.11981
507,0.1221
508,0.12441
509,0.12674
510,0.12917
511,0.13172
512,0.13428
513,0.13687
514,0.13959
515,0.14239
516,0.1452
517,0.14801
518,0.15084
519,0.15373
520,0.15666
521,0.15956
522,0.1625
523,0.16537
524,0.16813
525,0.17094
526,0.17357
527,0.17603
528,0.17844
529,0.18081
530,0.18307
531,0.18519
532,0.1873
533,0.18928
534,0.19113
535,0.19288
536,0.19451
537,0.1961
538,0.19763
539,0.19901
540,0.2003
541,0.20153
542,0.20276
543,0.20404
544,0.20532
545,0.2066
546,0.2079
547,0.20917
548,0.21044
549,0.21165
550,0.21273
551,0.21374
552,0.21458
553,0.21523
554,0.21595
555,0.21651
556,0.21687
557,0.2171
558,0.21722
559,0.21723
560,0.21717
561,0.21701
562,0.21695
563,0.21705
564,0.21729
565,0.21726
566,0.21696
567,0.21647
568,0.21601
569,0.21547
570,0.21471
571,0.21371
572,0.21283
573,0.21222
574,0.21184
575,0.21151
576,0.21101
577,0.21036
578,0.20961
579,0.20874
580,0.20796
581,0.20742
582,0.20721
583,0.20725
584,0.20746
585,0.20757
586,0.20724
587,0.2068
588,0.20667
589,0.20696
590,0.20698
591,0.20708
592,0.20727
593,0.20741
594,0.20772
595,0.208
596,0.20814
597,0.20824
598,0.20823
599,0.20812
600,0.20795
601,0.20788
602,0.20789
603,0.20792
604,0.20782
605,0.20768
606,0.2075
607,0.20724
608,0.20686
609,0.20634
610,0.20566
611,0.20489
612,0.20429
613,0.20378
614,0.20327
615,0.2027
616,0.20216
617,0.20163
618,0.20108
619,0.2007
620,0.2004
621,0.20016
622,0.2
623,0.19994
624,0.19995
625,0.2
626,0.20011
627,0.20041
628,0.20076
629,0.201
630,0.20132
631,0.20161
632,0.20182
633,0.20194
634,0.20192
635,0.2017
636,0.20125
637,0.20072
638,0.20007
639,0.19918
640,0.19794
641,0.19658
642,0.19512
643,0.19352
644,0.19177
645,0.18994
646,0.18811
647,0.18637
648,0.18474
649,0.18335
650,0.18218
651,0.18108
652,0.18019
653,0.17944
654,0.17871
655,0.17785
656,0.17683
657,0.17563
658,0.17425
659,0.1726
660,0.17072
661,0.16868
662,0.16651
663,0.16428
664,0.16207
665,0.15994
666,0.1579
667,0.15594
668,0.15414
669,0.1526
670,0.15126
