wl,value
360,0.04075
361,0.04056
362,0.04054
363,0.04055
364,0.04073
365,0.04117
366,0.04143
367,0.04152
368,0.04152
369,0.04152
370,0.0414
371,0.04087
372,0.04021
373,0.04072
374,0.04109
375,0.04122
376,0.04137
377,0.04149
378,0.04128
379,0.04107
380,0.04165
381,0.04152
382,0.04114
383,0.04103
384,0.04114
385,0.04123
386,0.04126
387,0.04128
388,0.041
389,0.04116
390,0.04169
391,0.04176
392,0.04159
393,0.04146
394,0.04147
395,0.04115
396,0.04148
397,0.04202
398,0.04187
399,0.04212
400,0.0424
401,0.04252
402,0.04272
403,0.04284
404,0.04309
405,0.04361
406,0.04405
407,0.04428
408,0.0444
409,0.0447
410,0.04509
411,0.04552
412,0.04593
413,0.04618
414,0.0465
415,0.04702
416,0.04777
417,0.04831
418,0.04866
419,0.04901
420,0.04965
421,0.05005
422,0.05045
423,0.05102
424,0.05144
425,0.05201
426,0.05267
427,0.05322
428,0.05382
429,0.05432
430,0.05474
431,0.05537
432,0.05601
433,0.05662
434,0.05717
435,0.05754
436,0.05811
437,0.05887
438,0.05944
439,0.06008
440,0.06075
441,0.06138
442,0.0619
443,0.06253
444,0.0632
445,0.06376
446,0.06438
447,0.06502
448,0.06563
449,0.06625
450,0.06685
451,0.06754
452,0.06835
453,0.06902
454,0.06963
455,0.07022
456,0.07086
457,0.07163
458,0.07231
459,0.07285
460,0.07346
461,0.07405
462,0.07464
463,0.0753
464,0.07597
465,0.07655
466,0.07705
467,0.07765
468,0.07813
469,0.0786
470,0.07914
471,0.07955
472,0.07988
473,0.08017
474,0.08049
475,0.0808
476,0.08116
477,0.08153
478,0.08167
479,0.08173
480,0.08194
481,0.08241
482,0.08277
483,0.08311
484,0.0835
485,0.08392
486,0.08425
487,0.08469
488,0.08534
489,0.08591
490,0.0865
491,0.08716
492,0.08787
493,0.08861
494,0.08943
495,0.09037
496,0.09138
497,0.09238
498,0.0934
499,0.09452
500,0.09572
501,0.09705
502,0.09847
503,0.09989
504,0.1014
505,0.10299
506,0.10468
507,0.10655
508,0.10846
509,0.11037
510,0.11232
511,0.11447
512,0.11673
513,0.11904
514,0.12139
515,0.12377
516,0.12623
517,0.12883
518,0.13153
519,0.13434
520,0.13721
521,0.14007
522,0.14314
523,0.14624
524,0.14926
525,0.15237
526,0.15548
527,0.1586
528,0.16175
529,0.16482
530,0.16785
531,0.17089
532,0.17397
533,0.17692
534,0.17976
535,0.18253
536,0.18517
537,0.18774
538,0.19025
539,0.1927
540,0.19504
541,0.19726
542,0.19939
543,0.20153
544,0.2036
545,0.20563
546,0.20767
547,0.20967
548,0.21165
549,0.21354
550,0.2152
551,0.21676
552,0.21818
553,0.21944
554,0.22061
555,0.22155
556,0.22227
557,0.22285
558,0.22325
559,0.22352
560,0.2237
561,0.22376
562,0.22373
563,0.22365
564,0.22351
565,0.22311
566,0.22257
567,0.22197
568,0.22137
569,0.22061
570,0.21963
571,0.2185
572,0.21754
573,0.21679
574,0.21615
575,0.21541
576,0.21452
577,0.21362
578,0.21283
579,0.21223
580,0.21171
581,0.21127
582,0.21092
583,0.21058
584,0.21028
585,0.20998
586,0.20953
587,0.20923
588,0.20925
589,0.20956
590,0.20964
591,0.20957
592,0.2095
593,0.20963
594,0.20992
595,0.21022
596,0.21044
597,0.2106
598,0.21066
599,0.21066
600,0.21069
601,0.21082
602,0.21085
603,0.21071
604,0.21047
605,0.21016
606,0.20977
607,0.2093
608,0.20878
609,0.20808
610,0.20718
611,0.20619
612,0.20538
613,0.20471
614,0.20407
615,0.20328
616,0.20253
617,0.20183
618,0.20118
619,0.20062
620,0.20013
621,0.19975
622,0.19951
623,0.19935
624,0.19933
625,0.19945
626,0.1996
627,0.19981
628,0.20009
629,0.20045
630,0.20078
631,0.2011
632,0.20143
633,0.2017
634,0.20179
635,0.20171
636,0.20149
637,0.20108
638,0.20052
639,0.19979
640,0.19881
641,0.19767
642,0.19644
643,0.19512
644,0.19363
645,0.19214
646,0.19063
647,0.1891
648,0.18773
649,0.18654
650,0.18552
651,0.18461
652,0.18387
