wl,value
360,0.06168
361,0.06237
362,0.06334
363,0.06167
364,0.0603
365,0.06174
366,0.06086
367,0.06064
368,0.06134
369,0.06134
370,0.06099
371,0.06104
372,0.0616
373,0.06158
374,0.06124
375,0.0611
376,0.06153
377,0.0615
378,0.06252
379,0.06378
380,0.06272
381,0.06269
382,0.06372
383,0.06475
384,0.06361
385,0.06421
386,0.06536
387,0.06475
388,0.06527
389,0.06599
390,0.06652
391,0.06724
392,0.06841
393,0.06928
394,0.0695
395,0.07049
396,0.07155
397,0.07271
398,0.07423
399,0.0754
400,0.07642
401,0.07758
402,0.07908
403,0.08033
404,0.08164
405,0.08331
406,0.08494
407,0.08673
408,0.08846
409,0.08971
410,0.09137
411,0.09311
412,0.09463
413,0.09597
414,0.09797
415,0.09981
416,0.1006
417,0.10198
418,0.10367
419,0.10528
420,0.10644
421,0.10782
422,0.10917
423,0.11028
424,0.11137
425,0.11259
426,0.11382
427,0.11483
428,0.11555
429,0.11633
430,0.11728
431,0.11809
432,0.11889
433,0.11976
434,0.12065
435,0.12107
436,0.12169
437,0.12256
438,0.12324
439,0.12385
440,0.12448
441,0.12515
442,0.12552
443,0.1261
444,0.12674
445,0.12715
446,0.12788
447,0.12845
448,0.12884
449,0.12952
450,0.12996
451,0.13026
452,0.13068
453,0.1313
454,0.13191
455,0.13237
456,0.13271
457,0.13323
458,0.13372
459,0.13407
460,0.13445
461,0.13497
462,0.13545
463,0.13571
464,0.1362
465,0.13653
466,0.13671
467,0.13719
468,0.13745
469,0.1377
470,0.13812
471,0.1384
472,0.13865
473,0.13892
474,0.13922
475,0.13948
476,0.13972
477,0.13995
478,0.14022
479,0.14057
480,0.14094
481,0.14125
482,0.14151
483,0.1419
484,0.14239
485,0.14278
486,0.14311
487,0.14358
488,0.14428
489,0.14485
490,0.14556
491,0.1464
492,0.14725
493,0.14809
494,0.14892
495,0.14982
496,0.15095
497,0.1521
498,0.1533
499,0.15462
500,0.15606
501,0.15755
502,0.1591
503,0.16077
504,0.16259
505,0.16448
506,0.16642
507,0.16852
508,0.17078
509,0.17312
510,0.17546
511,0.17803
512,0.1807
513,0.18339
514,0.18616
515,0.18906
516,0.19204
517,0.19506
518,0.19818
519,0.20131
520,0.20445
521,0.20768
522,0.21097
523,0.21425
524,0.21746
525,0.22067
526,0.224
527,0.22737
528,0.2306
529,0.23377
530,0.23696
531,0.24014
532,0.24319
533,0.24621
534,0.2492
535,0.25213
536,0.25492
537,0.25763
538,0.26027
539,0.26289
540,0.26546
541,0.26796
542,0.27036
543,0.27272
544,0.27506
545,0.27737
546,0.27963
547,0.28189
548,0.28417
549,0.28639
550,0.28846
551,0.29049
552,0.2925
553,0.29447
554,0.29638
555,0.29822
556,0.29996
557,0.30152
558,0.30311
559,0.30466
560,0.30611
561,0.30744
562,0.3087
563,0.30993
564,0.31112
565,0.31208
566,0.31294
567,0.31375
568,0.31445
569,0.31505
570,0.31556
571,0.31598
572,0.31625
573,0.31649
574,0.31678
575,0.31717
576,0.31758
577,0.31796
578,0.3183
579,0.31864
580,0.31893
581,0.31922
582,0.31958
583,0.32002
584,0.32044
585,0.32084
586,0.32128
587,0.3217
588,0.32211
589,0.32255
590,0.32315
591,0.32389
592,0.32468
593,0.32543
594,0.32614
595,0.32692
596,0.32777
597,0.32866
598,0.32961
599,0.33055
600,0.33144
601,0.33239
602,0.33341
603,0.33445
604,0.33549
605,0.33652
606,0.33752
607,0.33846
608,0.3394
609,0.34026
610,0.34104
611,0.34182
612,0.3426
613,0.34336
614,0.34409
615,0.3448
616,0.34552
617,0.34622
618,0.34685
619,0.3475
620,0.34821
621,0.34896
622,0.34969
623,0.35063
624,0.35157
625,0.35241
626,0.35338
627,0.35435
628,0.35532
629,0.35629
630,0.35716
631,0.35789
632,0.35844
633,0.35874
634,0.35875
635,0.35838
636,0.35758
637,0.35642
638,0.35485
639,0.35292
640,0.35074
641,0.34836
642,0.34572
643,0.3429
644,0.34018
645,0.33741
646,0.33461
647,0.33191
648,0.32956
649,0.32748
650,0.32567
651,0.32424
652,0.32314
653,0.3223
654,0.32163
655,0.32105
656,0.32032
657,0.31936
658,0.31819
659,0.31677
660,0.31506
661,0.31303
662,0.31074
663,0.30831
664,0.30581
665,0.30329
666,0.30093
667,0.29858
668,0.2964
669,0.29466
670,0.2931
671,0.29183
672,0.29092
673,0.29031
674,0.28997
675,0.28996
676,0.29031
677,0.29094
678,0.29191
679,0.29332
680,0.29533
681,0.29813
682,0.30193
683,0.30686
684,0.31298
685,0.32055
686,0.32951
687,0.3397
688,0.35101
689,0.36326
690,0.37615
691,0.38929
692,0.40236
693,0.41525
694,0.42783
695,0.43977
696,0.45118
697,0.46191
698,0.47181
699,0.48119
700,0.4899
701,0.49787
702,0.50512
703,0.51176
704,0.51787
705,0.52351
706,0.52875
707,0.53345
708,0.53772
709,0.54175
710,0.54556
711,0.54914
712,0.55249
713,0.55557
714,0.55854
715,0.56136
716,0.56402
717,0.56664
718,0.56906
719,0.57132
720,0.57354
721,0.57556
722,0.5775
723,0.57945
724,0.58138
725,0.58318
726,0.58485
727,0.58643
728,0.58798
729,0.5894
730,0.59074
731,0.59214
732,0.59353
733,0.59473
734,0.59575
735,0.5969
736,0.59806
737,0.59918
738,0.60022
739,0.60116
740,0.60213
741,0.6031
742,0.60394
743,0.60465
744,0.60548
745,0.6064
746,0.60709
747,0.60774
748,0.60843
749,0.60917
750,0.60988
751,0.61047
752,0.61097
753,0.6115
754,0.61207
755,0.6126
756,0.61315
757,0.61379
758,0.61428
759,0.61474
760,0.61527
761,0.61575
762,0.61626
763,0.61678
764,0.61724
765,0.61763
766,0.61809
767,0.6186
768,0.619
769,0.61937
770,0.61974
771,0.6202
772,0.62084
773,0.62124
774,0.62152
775,0.62188
776,0.62237
777,0.62291
778,0.6234
779,0.62377
780,0.62418
781,0.62461
782,0.62503
783,0.62549
784,0.62592
785,0.62632
786,0.62674
787,0.62727
788,0.62768
789,0.628
790,0.62839
791,0.62882
792,0.62928
793,0.6297
794,0.63007
795,0.6306
796,0.63108
797,0.6314
798,0.63166
799,0.63204
800,0.63254
801,0.6331
