wl,value
360,0.05154
361,0.05107
362,0.05045
363,0.0493
364,0.04935
365,0.05125
366,0.05006
367,0.0494
368,0.04986
369,0.04983
370,0.04969
371,0.04996
372,0.05054
373,0.05018
374,0.05018
375,0.05009
376,0.04949
377,0.05112
378,0.05179
379,0.05124
380,0.05173
381,0.05249
382,0.05326
383,0.0538
384,0.05357
385,0.05415
386,0.05503
387,0.05513
388,0.05499
389,0.05522
390,0.05606
391,0.05723
392,0.05785
393,0.05833
394,0.05905
395,0.0594
396,0.06034
397,0.0616
398,0.06246
399,0.06323
400,0.06423
401,0.06529
402,0.06571
403,0.06611
404,0.06667
405,0.06747
406,0.06869
407,0.06994
408,0.07081
409,0.07104
410,0.07181
411,0.07265
412,0.07316
413,0.07351
414,0.07393
415,0.07448
416,0.07518
417,0.07614
418,0.07682
419,0.07719
420,0.07769
421,0.07825
422,0.07893
423,0.07967
424,0.07992
425,0.08024
426,0.08076
427,0.0813
428,0.08167
429,0.08211
430,0.08269
431,0.08307
432,0.08351
433,0.08403
434,0.08453
435,0.08462
436,0.08493
437,0.08549
438,0.0859
439,0.08638
440,0.08677
441,0.08698
442,0.08719
443,0.08753
444,0.08795
445,0.08835
446,0.08873
447,0.08911
448,0.08949
449,0.08983
450,0.09024
451,0.09068
452,0.09108
453,0.09163
454,0.09201
455,0.09223
456,0.09252
457,0.09286
458,0.09325
459,0.09368
460,0.0941
461,0.09453
462,0.09495
463,0.09536
464,0.09589
465,0.09637
466,0.09674
467,0.09706
468,0.09749
469,0.09798
470,0.09843
471,0.09878
472,0.09915
473,0.09957
474,0.10007
475,0.10057
476,0.10108
477,0.10158
478,0.10192
479,0.1023
480,0.10276
481,0.10325
482,0.10365
483,0.10408
484,0.10457
485,0.10505
486,0.10555
487,0.10601
488,0.10643
489,0.10708
490,0.10757
491,0.10793
492,0.10839
493,0.10895
494,0.10952
495,0.11003
496,0.11051
497,0.11096
498,0.11143
499,0.11195
500,0.11241
501,0.11294
502,0.1135
503,0.11396
504,0.11458
505,0.11516
506,0.11559
507,0.1161
508,0.11668
509,0.11729
510,0.11785
511,0.11832
512,0.11878
513,0.11927
514,0.11973
515,0.12026
516,0.12085
517,0.12142
518,0.12195
519,0.1225
520,0.12304
521,0.12353
522,0.12411
523,0.12468
524,0.12516
525,0.12569
526,0.12619
527,0.12669
528,0.12725
529,0.12779
530,0.12828
531,0.12876
532,0.12935
533,0.12991
534,0.13043
535,0.13096
536,0.1315
537,0.13202
538,0.13251
539,0.13299
540,0.13362
541,0.13422
542,0.13469
543,0.13524
544,0.13588
545,0.13652
546,0.13709
547,0.13774
548,0.13837
549,0.13896
550,0.1396
551,0.14023
552,0.14082
553,0.14137
554,0.14197
555,0.14251
556,0.14301
557,0.14354
558,0.14411
559,0.14464
560,0.14511
561,0.14563
562,0.14613
563,0.1466
564,0.14708
565,0.14759
566,0.14813
567,0.14866
568,0.14903
569,0.14948
570,0.15004
571,0.15064
572,0.15111
573,0.15155
574,0.152
575,0.1525
576,0.15311
577,0.15377
578,0.15443
579,0.15502
580,0.15559
581,0.15612
582,0.15661
583,0.15718
584,0.1578
585,0.15842
586,0.15898
587,0.15955
588,0.16012
589,0.16066
590,0.16138
591,0.16223
592,0.16313
593,0.16405
594,0.16483
595,0.16555
596,0.16624
597,0.16694
598,0.16768
599,0.16849
600,0.16937
601,0.17024
602,0.17114
603,0.17205
604,0.17293
605,0.17382
606,0.17476
607,0.17573
608,0.17663
609,0.17756
610,0.17849
611,0.17934
612,0.18026
613,0.18129
614,0.18237
615,0.18329
616,0.18428
617,0.18531
618,0.1863
619,0.18728
620,0.18827
621,0.18925
622,0.19021
623,0.19121
624,0.19225
625,0.19329
626,0.19424
627,0.19526
628,0.19631
629,0.19731
630,0.19824
631,0.1992
632,0.20024
633,0.20132
634,0.20236
635,0.20338
636,0.20443
637,0.20546
638,0.20646
639,0.20743
640,0.20843
641,0.20949
642,0.21054
643,0.21153
644,0.21248
645,0.2136
646,0.21472
647,0.21566
648,0.21672
649,0.21782
650,0.21888
651,0.21987
652,0.22093
653,0.222
654,0.22302
655,0.22407
656,0.22512
657,0.22619
658,0.22727
659,0.22838
660,0.22945
661,0.23048
662,0.23159
663,0.23265
664,0.23369
665,0.23475
666,0.23583
667,0.23689
668,0.23799
669,0.23919
670,0.24026
671,0.24135
672,0.24252
673,0.24368
674,0.24484
675,0.24597
676,0.24707
677,0.24827
678,0.2495
679,0.2507
680,0.25186
681,0.25297
682,0.25413
683,0.25536
684,0.25661
685,0.2578
686,0.259
687,0.26028
688,0.26151
689,0.26271
690,0.26391
691,0.26515
692,0.26631
693,0.26754
694,0.26888
695,0.27005
696,0.27128
697,0.2725
698,0.27359
699,0.27482
700,0.27608
701,0.27734
702,0.27862
703,0.27978
704,0.28101
705,0.28236
706,0.28351
707,0.28468
708,0.28591
709,0.28716
710,0.28844
711,0.28962
712,0.29076
713,0.2921
714,0.29336
715,0.29458
716,0.29581
717,0.29712
718,0.29836
719,0.29954
720,0.30073
721,0.30195
722,0.30317
723,0.3044
724,0.30571
725,0.307
726,0.30822
727,0.30941
728,0.31069
729,0.31193
730,0.31316
731,0.31447
732,0.31574
733,0.31699
734,0.31819
735,0.31934
736,0.32061
737,0.32189
738,0.3231
739,0.32436
740,0.32558
741,0.32678
742,0.32801
743,0.32933
744,0.33063
745,0.33185
746,0.33297
747,0.33424
748,0.3355
749,0.33667
750,0.33801
751,0.33919
752,0.34035
753,0.34168
754,0.34282
755,0.34401
756,0.3453
757,0.34658
758,0.34779
759,0.34901
760,0.35026
761,0.3514
762,0.35254
763,0.3537
764,0.3549
765,0.3561
766,0.35735
767,0.3586
768,0.35975
769,0.36093
770,0.36216
771,0.3634
772,0.36457
773,0.36571
774,0.36681
775,0.3679
776,0.36906
777,0.37031
778,0.37159
779,0.37279
780,0.37383
781,0.37491
782,0.3761
783,0.37727
784,0.37835
785,0.37942
786,0.38053
787,0.38151
788,0.38267
789,0.38392
790,0.38505
791,0.38613
792,0.38722
793,0.38826
794,0.38916
795,0.39028
796,0.39141
797,0.39244
798,0.3935
799,0.39457
800,0.39567
801,0.39679
802,0.39774
803,0.3987
804,0.39969
805,0.40068
806,0.4017
807,0.40271
808,0.40369
809,0.40467
810,0.4057
811,0.40671
812,0.40766
813,0.40862
814,0.40956
815,0.41045
816,0.41131
817,0.41233
818,0.41329
819,0.41418
820,0.41507
821,0.41598
822,0.41689
823,0.41779
824,0.41873
825,0.41963
826,0.4205
827,0.4213
828,0.42198
829,0.42291
830,0.42383
