wl,value
360,0.06604
361,0.06656
362,0.06575
363,0.06505
364,0.06578
365,0.06785
366,0.06626
367,0.06623
368,0.0677
369,0.06713
370,0.0677
371,0.06871
372,0.06933
373,0.06949
374,0.06972
375,0.06965
376,0.06927
377,0.07159
378,0.07282
379,0.07268
380,0.07393
381,0.07488
382,0.0754
383,0.0757
384,0.07617
385,0.07704
386,0.07767
387,0.07749
388,0.07806
389,0.07849
390,0.07883
391,0.08015
392,0.08092
393,0.08136
394,0.08181
395,0.08163
396,0.08226
397,0.0835
398,0.08444
399,0.08477
400,0.08543
401,0.08644
402,0.08655
403,0.08673
404,0.08706
405,0.08749
406,0.08843
407,0.08947
408,0.09024
409,0.09055
410,0.09128
411,0.09193
412,0.09227
413,0.09291
414,0.09332
415,0.09374
416,0.09449
417,0.09533
418,0.09599
419,0.0965
420,0.0972
421,0.09774
422,0.09829
423,0.09898
424,0.09954
425,0.1
426,0.10047
427,0.10108
428,0.10156
429,0.10219
430,0.10297
431,0.10343
432,0.10408
433,0.10485
434,0.1055
435,0.1059
436,0.10639
437,0.10702
438,0.10764
439,0.10828
440,0.10884
441,0.10927
442,0.10955
443,0.11008
444,0.11079
445,0.11142
446,0.11207
447,0.11266
448,0.11318
449,0.11369
450,0.1143
451,0.11496
452,0.11561
453,0.11637
454,0.11698
455,0.11748
456,0.11806
457,0.11867
458,0.1193
459,0.11995
460,0.12059
461,0.1212
462,0.12184
463,0.12257
464,0.12336
465,0.12404
466,0.1246
467,0.12512
468,0.12582
469,0.12659
470,0.12728
471,0.12792
472,0.12856
473,0.12925
474,0.13
475,0.1307
476,0.13145
477,0.13224
478,0.13288
479,0.13353
480,0.13423
481,0.13499
482,0.1357
483,0.13644
484,0.13723
485,0.138
486,0.13877
487,0.13951
488,0.14026
489,0.14116
490,0.14191
491,0.14256
492,0.1433
493,0.14421
494,0.14506
495,0.14578
496,0.14661
497,0.14739
498,0.14811
499,0.14879
500,0.14956
501,0.15033
502,0.1511
503,0.15188
504,0.15274
505,0.15357
506,0.15434
507,0.15509
508,0.15591
509,0.15677
510,0.15756
511,0.15829
512,0.15901
513,0.15973
514,0.1604
515,0.16117
516,0.162
517,0.16279
518,0.16352
519,0.16424
520,0.16498
521,0.16569
522,0.16652
523,0.1673
524,0.16795
525,0.16868
526,0.16939
527,0.17012
528,0.17095
529,0.17163
530,0.17224
531,0.17289
532,0.17369
533,0.17443
534,0.17513
535,0.17588
536,0.17661
537,0.17731
538,0.17797
539,0.17863
540,0.17952
541,0.18034
542,0.18096
543,0.18169
544,0.18255
545,0.18341
546,0.18409
547,0.18483
548,0.18556
549,0.18627
550,0.18704
551,0.18784
552,0.18859
553,0.18923
554,0.18995
555,0.19061
556,0.19122
557,0.19195
558,0.1927
559,0.19336
560,0.19392
561,0.19455
562,0.19511
563,0.19559
564,0.19605
565,0.19665
566,0.19724
567,0.19778
568,0.19829
569,0.19887
570,0.19954
571,0.20027
572,0.20089
573,0.20144
574,0.20193
575,0.20243
576,0.20304
577,0.20372
578,0.20439
579,0.205
580,0.20557
581,0.20609
582,0.20656
583,0.20714
584,0.20778
585,0.20843
586,0.20899
587,0.20957
588,0.21018
589,0.21083
590,0.21163
591,0.2126
592,0.21362
593,0.21459
594,0.21548
595,0.21631
596,0.21709
597,0.21786
598,0.21868
599,0.2196
600,0.22066
601,0.22165
602,0.22264
603,0.22367
604,0.22473
605,0.22579
606,0.22686
607,0.22796
608,0.22908
609,0.23024
610,0.23145
611,0.23261
612,0.23367
613,0.23479
614,0.23598
615,0.23701
616,0.23812
617,0.23923
618,0.24025
619,0.2414
620,0.24251
621,0.24357
622,0.24466
623,0.24578
624,0.24688
625,0.24793
626,0.24897
627,0.25004
628,0.2511
629,0.25209
630,0.25311
631,0.25417
632,0.25522
633,0.25621
634,0.25725
635,0.2583
636,0.25931
637,0.26033
638,0.26133
639,0.26229
640,0.2632
641,0.26423
642,0.26526
643,0.26622
644,0.26716
645,0.26822
646,0.26925
647,0.27013
648,0.27111
649,0.27212
650,0.2731
651,0.27402
652,0.275
653,0.27596
654,0.27687
655,0.27789
656,0.27886
657,0.27977
658,0.28067
659,0.28165
660,0.28267
661,0.28365
662,0.28459
663,0.28541
664,0.28625
665,0.28722
666,0.28814
667,0.28907
668,0.29
669,0.29093
670,0.29182
671,0.29269
672,0.29361
673,0.29463
674,0.29554
675,0.29638
676,0.29723
677,0.29823
678,0.29916
679,0.30002
680,0.30093
681,0.30174
682,0.30259
683,0.30352
684,0.30437
685,0.30524
686,0.30613
687,0.30704
688,0.30795
689,0.30879
690,0.30959
691,0.31052
692,0.31131
693,0.31212
694,0.31306
695,0.31388
696,0.31466
697,0.31544
698,0.31626
699,0.31709
700,0.31778
701,0.31847
702,0.31945
703,0.32024
704,0.32095
705,0.32173
706,0.32247
707,0.32326
708,0.32404
709,0.32475
710,0.32551
711,0.32617
712,0.32681
713,0.32765
714,0.32836
715,0.32906
716,0.32985
717,0.33055
718,0.33126
719,0.33196
720,0.33263
721,0.33325
722,0.33403
723,0.33487
724,0.33541
725,0.33608
726,0.33686
727,0.33764
728,0.33831
729,0.339
730,0.33971
731,0.34043
732,0.34117
733,0.3419
734,0.34259
735,0.3432
736,0.34393
737,0.34465
738,0.34531
739,0.34607
740,0.34679
741,0.34745
742,0.34811
743,0.34888
744,0.34964
745,0.35033
746,0.35104
747,0.35174
748,0.35243
749,0.35312
750,0.35388
751,0.35461
752,0.35531
753,0.35604
754,0.35668
755,0.35737
756,0.35811
757,0.35886
758,0.35966
759,0.36044
760,0.36114
761,0.36167
762,0.36224
763,0.36292
764,0.3637
765,0.36444
766,0.36518
767,0.36589
768,0.36654
769,0.36723
770,0.36799
771,0.36877
772,0.36946
773,0.37011
774,0.37074
775,0.37139
776,0.37204
777,0.37273
778,0.37352
779,0.37439
780,0.37504
781,0.37565
782,0.37629
783,0.37684
784,0.37751
785,0.37825
786,0.37891
787,0.37931
788,0.38005
789,0.3809
790,0.38151
791,0.38213
792,0.38272
793,0.38327
794,0.38381
795,0.38452
796,0.38515
797,0.38564
798,0.38633
799,0.38697
800,0.38759
801,0.38822
802,0.38866
803,0.38924
804,0.38985
805,0.39028
806,0.391
807,0.39159
808,0.39197
809,0.39236
810,0.39293
811,0.39356
812,0.39411
813,0.39447
814,0.39494
815,0.39543
816,0.39583
817,0.39625
818,0.39674
819,0.39725
820,0.39772
821,0.39819
822,0.39862
823,0.39901
824,0.39942
825,0.39993
826,0.40038
827,0.40071
828,0.40101
829,0.40142
830,0.40184
