wl,value
360,0.04655
361,0.04741
362,0.04595
363,0.04425
364,0.04464
365,0.04776
366,0.04839
367,0.04801
368,0.04758
369,0.0475
370,0.04671
371,0.04739
372,0.04952
373,0.04826
374,0.04909
375,0.05011
376,0.04858
377,0.0493
378,0.05076
379,0.05182
380,0.052
381,0.0524
382,0.05236
383,0.05174
384,0.05204
385,0.05266
386,0.05323
387,0.05354
388,0.05338
389,0.05402
390,0.05522
391,0.05524
392,0.05563
393,0.05612
394,0.05631
395,0.05641
396,0.05724
397,0.05819
398,0.05826
399,0.05924
400,0.05989
401,0.05972
402,0.05948
403,0.05977
404,0.06038
405,0.06099
406,0.06177
407,0.06238
408,0.06277
409,0.06309
410,0.06358
411,0.06404
412,0.06444
413,0.06523
414,0.06574
415,0.06596
416,0.06618
417,0.06703
418,0.0677
419,0.06805
420,0.06862
421,0.06918
422,0.06959
423,0.06992
424,0.07078
425,0.0714
426,0.07169
427,0.07191
428,0.07228
429,0.07281
430,0.07346
431,0.07421
432,0.07453
433,0.07486
434,0.07564
435,0.07601
436,0.07621
437,0.0765
438,0.07708
439,0.07754
440,0.07809
441,0.07878
442,0.07906
443,0.07929
444,0.07965
445,0.0802
446,0.08071
447,0.08122
448,0.08168
449,0.0819
450,0.0822
451,0.08274
452,0.08344
453,0.08361
454,0.08381
455,0.08427
456,0.08501
457,0.08544
458,0.08568
459,0.08594
460,0.08645
461,0.08695
462,0.08736
463,0.0877
464,0.0881
465,0.08854
466,0.08899
467,0.08938
468,0.08967
469,0.09005
470,0.09058
471,0.091
472,0.09126
473,0.09158
474,0.09223
475,0.09245
476,0.09273
477,0.09327
478,0.09364
479,0.09383
480,0.09409
481,0.09459
482,0.09497
483,0.09535
484,0.0958
485,0.09631
486,0.09667
487,0.09695
488,0.09727
489,0.09764
490,0.09802
491,0.09838
492,0.0987
493,0.09888
494,0.09921
495,0.09971
496,0.10003
497,0.10033
498,0.1007
499,0.10115
500,0.1015
501,0.10191
502,0.10231
503,0.10251
504,0.10284
505,0.10329
506,0.10377
507,0.1041
508,0.10445
509,0.10484
510,0.10523
511,0.10566
512,0.1061
513,0.10652
514,0.10684
515,0.10723
516,0.10766
517,0.10804
518,0.10843
519,0.10876
520,0.10906
521,0.10942
522,0.10985
523,0.11028
524,0.11066
525,0.11106
526,0.11142
527,0.11178
528,0.1122
529,0.11258
530,0.11295
531,0.11331
532,0.11369
533,0.11403
534,0.11438
535,0.11476
536,0.11509
537,0.11553
538,0.11602
539,0.11636
540,0.1168
541,0.11732
542,0.11786
543,0.11827
544,0.11867
545,0.11907
546,0.11942
547,0.11976
548,0.1201
549,0.12045
550,0.12082
551,0.12123
552,0.12162
553,0.12195
554,0.12237
555,0.1228
556,0.12323
557,0.12369
558,0.1242
559,0.12468
560,0.12514
561,0.1257
562,0.12611
563,0.12646
564,0.12691
565,0.12735
566,0.12775
567,0.12814
568,0.12862
569,0.12912
570,0.12959
571,0.13003
572,0.13043
573,0.13082
574,0.1312
575,0.13149
576,0.13185
577,0.13223
578,0.13258
579,0.13292
580,0.1333
581,0.13365
582,0.13388
583,0.13427
584,0.13471
585,0.13514
586,0.13558
587,0.13597
588,0.13634
589,0.1367
590,0.13704
591,0.13741
592,0.13779
593,0.13815
594,0.13858
595,0.13902
596,0.13943
597,0.13988
598,0.14033
599,0.14073
600,0.14108
601,0.14142
602,0.14181
603,0.14226
604,0.14273
605,0.14319
606,0.14364
607,0.14412
608,0.14463
609,0.14517
610,0.14574
611,0.14636
612,0.14682
613,0.14716
614,0.14749
615,0.14796
616,0.14834
617,0.14875
618,0.14929
619,0.14984
620,0.15029
621,0.15071
622,0.15126
623,0.15171
624,0.15219
625,0.15273
626,0.15321
627,0.15368
628,0.15419
629,0.15473
630,0.1553
631,0.15579
632,0.15622
633,0.15677
634,0.15729
635,0.15779
636,0.15832
637,0.15883
638,0.15934
639,0.15989
640,0.16046
641,0.16087
642,0.16134
643,0.16193
644,0.16241
645,0.16288
646,0.16338
647,0.16393
648,0.16444
649,0.1649
650,0.16538
651,0.16594
652,0.16643
653,0.16693
654,0.16744
655,0.1679
656,0.16836
657,0.16883
658,0.16931
659,0.16976
660,0.17024
661,0.17073
662,0.17115
663,0.17159
664,0.17209
665,0.17264
666,0.17296
667,0.17339
668,0.17392
669,0.17435
670,0.17476
671,0.17519
672,0.17565
673,0.17611
674,0.17659
675,0.17706
676,0.17748
677,0.17797
678,0.17846
679,0.17892
680,0.17936
681,0.17984
682,0.18035
683,0.18083
684,0.1812
685,0.18166
686,0.18221
687,0.18278
688,0.18331
689,0.18383
690,0.18434
691,0.18484
692,0.18537
693,0.18589
694,0.18641
695,0.18698
696,0.18752
697,0.18804
698,0.18859
699,0.18912
700,0.18964
701,0.19018
702,0.19073
703,0.19124
704,0.19177
705,0.19236
706,0.19289
707,0.19342
708,0.19394
709,0.19446
710,0.19504
711,0.19563
712,0.19617
713,0.19662
714,0.19716
715,0.19776
716,0.19833
717,0.1988
718,0.19933
719,0.19992
720,0.20046
721,0.201
722,0.20155
723,0.20212
724,0.20266
725,0.20317
726,0.20368
727,0.20421
728,0.20476
729,0.20528
730,0.20581
731,0.20636
732,0.2069
733,0.20746
734,0.208
735,0.20845
736,0.20902
737,0.20961
738,0.21011
739,0.21055
740,0.21111
741,0.21168
742,0.2121
743,0.21261
744,0.21311
745,0.21358
746,0.21414
747,0.21457
748,0.21501
749,0.21555
750,0.21609
751,0.21656
752,0.21701
753,0.2175
754,0.21791
755,0.2184
756,0.21893
757,0.21933
758,0.21975
759,0.22025
760,0.22077
761,0.22122
762,0.22167
763,0.22207
764,0.22241
765,0.22281
766,0.22327
767,0.22375
768,0.2242
769,0.22456
770,0.22499
771,0.2255
772,0.22588
773,0.22631
774,0.22678
775,0.22722
776,0.22759
777,0.22796
778,0.22837
779,0.22882
780,0.22919
781,0.2296
782,0.23006
783,0.23045
784,0.23091
785,0.23132
786,0.23163
787,0.23204
788,0.23249
789,0.23299
790,0.2335
791,0.23384
792,0.23419
793,0.2346
794,0.23499
795,0.23546
796,0.23588
797,0.23627
798,0.23678
799,0.23723
800,0.23765
801,0.2381
802,0.23858
803,0.23908
804,0.2395
805,0.23976
806,0.24028
807,0.24076
808,0.24115
809,0.24167
810,0.24214
811,0.24258
812,0.24302
813,0.24348
814,0.24395
815,0.24443
816,0.24491
817,0.24539
818,0.2459
819,0.24636
820,0.2467
821,0.2472
822,0.24771
823,0.2482
824,0.2487
825,0.24925
826,0.24971
827,0.25008
828,0.25056
829,0.25094
830,0.25138
