wl,value
360,0.06772
361,0.066
362,0.06424
363,0.06518
364,0.06672
365,0.06659
366,0.06684
367,0.06751
368,0.06841
369,0.06927
370,0.07037
371,0.07162
372,0.07272
373,0.0729
374,0.0732
375,0.07464
376,0.07739
377,0.07792
378,0.07792
379,0.07866
380,0.0807
381,0.0826
382,0.08478
383,0.08713
384,0.08756
385,0.08815
386,0.0896
387,0.09194
388,0.09466
389,0.09626
390,0.09699
391,0.09879
392,0.10034
393,0.10209
394,0.1045
395,0.10736
396,0.10914
397,0.1103
398,0.11201
399,0.11336
400,0.11522
401,0.11756
402,0.11902
403,0.12046
404,0.12219
405,0.12419
406,0.12593
407,0.12752
408,0.12901
409,0.13042
410,0.1318
411,0.13302
412,0.13418
413,0.13589
414,0.13706
415,0.13836
416,0.14047
417,0.14157
418,0.14253
419,0.14378
420,0.1452
421,0.14645
422,0.14778
423,0.14932
424,0.1505
425,0.15154
426,0.15267
427,0.15406
428,0.15559
429,0.15673
430,0.15751
431,0.15881
432,0.16009
433,0.16143
434,0.16293
435,0.16416
436,0.16519
437,0.16615
438,0.16722
439,0.1683
440,0.1694
441,0.17048
442,0.17146
443,0.17244
444,0.17351
445,0.1747
446,0.17583
447,0.17686
448,0.17789
449,0.17913
450,0.18039
451,0.18146
452,0.18231
453,0.18346
454,0.18463
455,0.18565
456,0.18653
457,0.1875
458,0.18855
459,0.18966
460,0.19078
461,0.19186
462,0.19296
463,0.19412
464,0.19501
465,0.19593
466,0.19701
467,0.19816
468,0.19924
469,0.20033
470,0.20148
471,0.20246
472,0.20343
473,0.20446
474,0.20553
475,0.20654
476,0.20749
477,0.20846
478,0.20962
479,0.21052
480,0.2114
481,0.21257
482,0.21359
483,0.21458
484,0.21562
485,0.21677
486,0.21781
487,0.21877
488,0.21973
489,0.22072
490,0.22165
491,0.22258
492,0.22361
493,0.22441
494,0.22525
495,0.22623
496,0.2272
497,0.22819
498,0.22912
499,0.22995
500,0.23092
501,0.23193
502,0.2329
503,0.23378
504,0.23469
505,0.2357
506,0.23678
507,0.2377
508,0.23871
509,0.23973
510,0.24065
511,0.24169
512,0.24273
513,0.24374
514,0.24475
515,0.24578
516,0.24679
517,0.24777
518,0.24876
519,0.24978
520,0.25078
521,0.25169
522,0.25266
523,0.25375
524,0.2549
525,0.25584
526,0.25676
527,0.25773
528,0.25875
529,0.25979
530,0.26081
531,0.26178
532,0.26279
533,0.26385
534,0.26489
535,0.26582
536,0.26685
537,0.26788
538,0.26897
539,0.27024
540,0.27152
541,0.27296
542,0.27452
543,0.27583
544,0.27705
545,0.2781
546,0.2789
547,0.27952
548,0.28023
549,0.28112
550,0.28201
551,0.28299
552,0.28397
553,0.28489
554,0.28585
555,0.28679
556,0.28772
557,0.28869
558,0.28972
559,0.29081
560,0.29193
561,0.2931
562,0.29424
563,0.29534
564,0.29644
565,0.2975
566,0.29862
567,0.29978
568,0.30087
569,0.30183
570,0.30276
571,0.30374
572,0.3048
573,0.30593
574,0.30708
575,0.30818
576,0.30919
577,0.31021
578,0.31132
579,0.31253
580,0.31365
581,0.31467
582,0.31562
583,0.31659
584,0.31751
585,0.31838
586,0.31925
587,0.32027
588,0.3213
589,0.3222
590,0.32294
591,0.3236
592,0.32438
593,0.32546
594,0.32657
595,0.3277
596,0.32883
597,0.32983
598,0.33073
599,0.33164
600,0.33261
601,0.33358
602,0.33449
603,0.3354
604,0.33646
605,0.33755
606,0.33863
607,0.33971
608,0.34085
609,0.34216
610,0.34374
611,0.34552
612,0.34656
613,0.34717
614,0.34776
615,0.34874
616,0.34972
617,0.35067
618,0.35166
619,0.35281
620,0.35397
621,0.35507
622,0.35614
623,0.3572
624,0.35824
625,0.35928
626,0.36041
627,0.36154
