wl,value
360,0.01474
361,0.01376
362,0.01464
363,0.01336
364,0.01293
365,0.01578
366,0.01552
367,0.01449
368,0.01401
369,0.01445
370,0.01513
371,0.01551
372,0.01521
373,0.01386
374,0.01494
375,0.01637
376,0.01545
377,0.01587
378,0.01606
379,0.0156
380,0.01525
381,0.01574
382,0.0159
383,0.01516
384,0.01463
385,0.01563
386,0.01649
387,0.01522
388,0.01512
389,0.01463
390,0.01398
391,0.01538
392,0.016
393,0.01568
394,0.0151
395,0.01565
396,0.01612
397,0.01601
398,0.01536
399,0.01516
400,0.01568
401,0.01639
402,0.01597
403,0.01606
404,0.01634
405,0.01621
406,0.0158
407,0.01542
408,0.01535
409,0.01572
410,0.01599
411,0.01598
412,0.01584
413,0.01626
414,0.01643
415,0.01648
416,0.01665
417,0.01634
418,0.01614
419,0.0164
420,0.01717
421,0.01689
422,0.0164
423,0.01651
424,0.01683
425,0.01706
426,0.01709
427,0.01698
428,0.01704
429,0.01724
430,0.01748
431,0.01773
432,0.01805
433,0.01835
434,0.01852
435,0.01859
436,0.0188
437,0.01919
438,0.01962
439,0.01973
440,0.01999
441,0.02056
442,0.02075
443,0.02115
444,0.02177
445,0.02236
446,0.02289
447,0.02352
448,0.02427
449,0.02503
450,0.02608
451,0.0272
452,0.02818
453,0.02926
454,0.03053
455,0.03192
456,0.03333
457,0.03478
458,0.03642
459,0.03832
460,0.04041
461,0.04239
462,0.04439
463,0.04661
464,0.04883
465,0.05109
466,0.05347
467,0.05607
468,0.05865
469,0.06121
470,0.06378
471,0.06644
472,0.06914
473,0.07177
474,0.07428
475,0.07701
476,0.07985
477,0.08266
478,0.08535
479,0.0879
480,0.09049
481,0.09328
482,0.09591
483,0.0984
484,0.10085
485,0.10341
486,0.10574
487,0.10792
488,0.11006
489,0.11214
490,0.11397
491,0.11562
492,0.11728
493,0.11898
494,0.12048
495,0.12171
496,0.12297
497,0.1242
498,0.12536
499,0.12641
500,0.12748
501,0.1284
502,0.12924
503,0.13021
504,0.13104
505,0.13177
506,0.13253
507,0.13337
508,0.13416
509,0.1349
510,0.13565
511,0.13637
512,0.13711
513,0.13788
514,0.13867
515,0.13935
516,0.14005
517,0.14091
518,0.14176
519,0.14255
520,0.1433
521,0.14407
522,0.14482
523,0.14559
524,0.1464
525,0.14712
526,0.14788
527,0.14861
528,0.1492
529,0.1498
530,0.15041
531,0.15099
532,0.15137
533,0.15178
534,0.15225
535,0.15273
536,0.15303
537,0.15351
538,0.15419
539,0.15482
540,0.15567
541,0.15679
542,0.15806
543,0.15918
544,0.16012
545,0.16087
546,0.16147
547,0.16202
548,0.16255
549,0.16311
550,0.16383
551,0.16462
552,0.16536
553,0.16597
554,0.16651
555,0.16713
556,0.1678
557,0.16836
558,0.169
559,0.16962
560,0.17018
561,0.17081
562,0.17142
563,0.17203
564,0.17266
565,0.17331
566,0.1739
567,0.17443
568,0.17499
569,0.17551
570,0.17598
571,0.17643
572,0.17688
573,0.17735
574,0.17781
575,0.17819
576,0.17853
577,0.17892
578,0.1794
579,0.17987
580,0.18029
581,0.18066
582,0.18103
583,0.18146
584,0.18191
585,0.18234
586,0.18268
587,0.18304
588,0.18323
589,0.18314
590,0.18298
591,0.18285
592,0.18283
593,0.18294
594,0.18311
595,0.18322
596,0.18321
597,0.18323
598,0.18314
599,0.18299
600,0.18286
601,0.18268
602,0.18245
603,0.1822
604,0.18199
605,0.18186
606,0.18174
607,0.18159
608,0.18145
609,0.18152
610,0.18195
611,0.18264
612,0.18269
613,0.18239
614,0.18209
