wl,value
360,0.04372
361,0.04347
362,0.04346
363,0.04199
364,0.04148
365,0.04372
366,0.04446
367,0.04392
368,0.04283
369,0.04219
370,0.04226
371,0.04309
372,0.04382
373,0.04197
374,0.04219
375,0.04318
376,0.04259
377,0.04313
378,0.04312
379,0.04227
380,0.04159
381,0.04235
382,0.0427
383,0.04167
384,0.041
385,0.04173
386,0.04258
387,0.04197
388,0.04233
389,0.04188
390,0.04107
391,0.04275
392,0.0434
393,0.04303
394,0.04263
395,0.04391
396,0.04475
397,0.04474
398,0.04445
399,0.04517
400,0.04624
401,0.04704
402,0.04732
403,0.04812
404,0.04915
405,0.04994
406,0.05034
407,0.05098
408,0.05208
409,0.05351
410,0.05472
411,0.05584
412,0.05708
413,0.05845
414,0.05991
415,0.06144
416,0.06291
417,0.06375
418,0.06476
419,0.06629
420,0.06813
421,0.06918
422,0.07001
423,0.07121
424,0.07273
425,0.07409
426,0.07517
427,0.07611
428,0.07716
429,0.07827
430,0.07939
431,0.08054
432,0.08161
433,0.08256
434,0.08337
435,0.08408
436,0.08494
437,0.08601
438,0.08707
439,0.08781
440,0.08858
441,0.08953
442,0.09003
443,0.09079
444,0.09174
445,0.09255
446,0.09306
447,0.09364
448,0.09436
449,0.09492
450,0.09563
451,0.09639
452,0.09701
453,0.0975
454,0.09795
455,0.09848
456,0.09912
457,0.09963
458,0.10009
459,0.10065
460,0.10137
461,0.10191
462,0.10232
463,0.10278
464,0.10326
465,0.10372
466,0.10419
467,0.10473
468,0.10525
469,0.10572
470,0.10614
471,0.10666
472,0.10716
473,0.10757
474,0.10786
475,0.10827
476,0.10882
477,0.10942
478,0.10977
479,0.11003
480,0.11041
481,0.11106
482,0.1115
483,0.11183
484,0.11219
485,0.11273
486,0.11311
487,0.11343
488,0.11382
489,0.11433
490,0.11472
491,0.11505
492,0.11558
493,0.11615
494,0.11654
495,0.11677
496,0.11723
497,0.11772
498,0.11819
499,0.11865
500,0.11917
501,0.11961
502,0.12003
503,0.12063
504,0.12105
505,0.12141
506,0.12186
507,0.12245
508,0.123
509,0.12351
510,0.12406
511,0.12454
512,0.12503
513,0.12555
514,0.12612
515,0.12656
516,0.12702
517,0.12764
518,0.12829
519,0.12888
520,0.12941
521,0.12996
522,0.13048
523,0.13107
524,0.13175
525,0.13233
526,0.13297
527,0.13362
528,0.13421
529,0.13481
530,0.13547
531,0.13614
532,0.13671
533,0.13732
534,0.13798
535,0.13866
536,0.13919
537,0.13985
538,0.14059
539,0.14112
540,0.14167
541,0.14232
542,0.14304
543,0.14366
544,0.14427
545,0.1449
546,0.1456
547,0.1464
548,0.14713
549,0.14778
550,0.14847
551,0.14918
552,0.14988
553,0.15054
554,0.15116
555,0.15187
556,0.15262
557,0.15327
558,0.15392
559,0.15457
560,0.15521
561,0.15587
562,0.15655
563,0.15722
564,0.15781
565,0.15845
566,0.15905
567,0.15961
568,0.16021
569,0.16084
570,0.16144
571,0.16198
572,0.16254
573,0.16313
574,0.16379
575,0.16458
576,0.16538
577,0.1662
578,0.16698
579,0.16761
580,0.16823
581,0.1689
582,0.16965
583,0.17027
584,0.17079
585,0.17129
586,0.17181
587,0.17243
588,0.1731
589,0.17381
590,0.17469
591,0.17566
592,0.17659
593,0.17742
594,0.17824
595,0.17903
596,0.17982
597,0.18067
598,0.18156
599,0.18244
600,0.18328
601,0.18409
602,0.18501
603,0.186
604,0.18697
605,0.188
606,0.18904
607,0.19004
608,0.19103
609,0.19207
610,0.19316
611,0.19426
612,0.19526
613,0.19632
614,0.1975
615,0.1986
616,0.19975
617,0.20092
618,0.20209
619,0.20327
620,0.20443
621,0.20559
622,0.20683
623,0.20806
624,0.20927
625,0.21046
626,0.21162
627,0.21285
628,0.21409
629,0.21526
630,0.21654
631,0.2178
632,0.21902
633,0.22021
634,0.22143
635,0.22269
636,0.22396
637,0.22522
638,0.22639
639,0.22754
640,0.2288
641,0.23001
642,0.23123
643,0.2325
644,0.23373
645,0.23493
646,0.23611
647,0.2373
648,0.23849
649,0.23968
650,0.24085
651,0.24202
652,0.24319
653,0.24437
654,0.24553
655,0.24672
656,0.24787
657,0.24899
658,0.25012
659,0.25129
660,0.25248
661,0.25368
662,0.25485
663,0.25597
664,0.25712
665,0.25834
666,0.25951
667,0.2607
668,0.26193
669,0.26313
670,0.2644
671,0.26567
672,0.26691
673,0.26817
674,0.26949
675,0.27082
676,0.27212
677,0.27343
678,0.27475
679,0.2761
680,0.27745
681,0.27885
682,0.28025
683,0.28165
684,0.28303
685,0.2844
686,0.28582
687,0.2873
688,0.28868
689,0.29008
690,0.29154
691,0.29294
692,0.2944
693,0.29591
694,0.29746
695,0.2989
696,0.3004
697,0.30192
698,0.30342
699,0.30495
700,0.30653
701,0.30814
702,0.30968
703,0.31121
704,0.31276
705,0.31433
706,0.31597
707,0.31759
708,0.31916
709,0.32071
710,0.32224
711,0.32384
712,0.32545
713,0.32685
714,0.32844
715,0.33
716,0.33141
717,0.33294
718,0.33446
719,0.33595
720,0.33744
721,0.33892
722,0.34036
723,0.34181
724,0.34329
725,0.34474
726,0.34622
727,0.34777
728,0.34917
729,0.35064
730,0.35215
731,0.3536
732,0.355
733,0.35642
734,0.3579
735,0.35941
736,0.36083
737,0.36223
738,0.36369
739,0.36505
740,0.3664
741,0.36781
742,0.36926
743,0.37073
744,0.37216
745,0.37352
746,0.37479
747,0.37611
748,0.37744
749,0.37874
750,0.38001
751,0.38135
752,0.38269
753,0.38398
754,0.38529
755,0.38656
756,0.38778
757,0.38898
758,0.39028
759,0.3916
760,0.39288
761,0.39401
762,0.39524
763,0.39649
764,0.39764
765,0.39878
766,0.39996
767,0.4012
768,0.40245
769,0.40363
770,0.40477
771,0.40589
772,0.40705
773,0.40823
774,0.4094
775,0.41054
776,0.41159
777,0.41272
778,0.41391
779,0.41506
780,0.41614
781,0.41718
782,0.41825
783,0.41942
784,0.4205
785,0.42155
786,0.42265
787,0.42376
788,0.4248
789,0.42579
790,0.42678
791,0.42787
792,0.42891
793,0.42988
794,0.43089
795,0.43196
796,0.43304
797,0.43407
798,0.43502
799,0.43603
800,0.43702
801,0.43794
802,0.43904
803,0.44009
804,0.44104
805,0.44195
806,0.44293
807,0.44389
808,0.44483
809,0.44587
810,0.44686
811,0.44782
812,0.44877
813,0.44965
814,0.45069
815,0.45169
816,0.45248
817,0.45339
818,0.45425
819,0.45516
820,0.45627
821,0.45721
822,0.458
823,0.45877
824,0.4597
825,0.46069
826,0.46161
827,0.46245
828,0.46339
829,0.46431
830,0.46512
