wl,value
360,0.04325
361,0.04462
362,0.04427
363,0.04421
364,0.04377
365,0.04242
366,0.04227
367,0.04343
368,0.04466
369,0.04409
370,0.04368
371,0.04328
372,0.04285
373,0.04315
374,0.04238
375,0.04191
376,0.04327
377,0.04397
378,0.04249
379,0.04076
380,0.04304
381,0.04379
382,0.04308
383,0.04212
384,0.04226
385,0.04296
386,0.04313
387,0.04217
388,0.04311
389,0.04356
390,0.0428
391,0.04212
392,0.04213
393,0.04246
394,0.04265
395,0.04261
396,0.04272
397,0.0427
398,0.04219
399,0.04198
400,0.04251
401,0.04335
402,0.04303
403,0.04339
404,0.04391
405,0.04388
406,0.04393
407,0.04458
408,0.04536
409,0.04534
410,0.04605
411,0.04696
412,0.04758
413,0.04792
414,0.04911
415,0.0504
416,0.05088
417,0.05191
418,0.05357
419,0.05543
420,0.05675
421,0.05797
422,0.05941
423,0.06111
424,0.0626
425,0.06427
426,0.06605
427,0.06773
428,0.0695
429,0.0713
430,0.07306
431,0.07475
432,0.07642
433,0.07803
434,0.07954
435,0.08117
436,0.08265
437,0.08398
438,0.08529
439,0.08656
440,0.08775
441,0.0889
442,0.09023
443,0.09139
444,0.09246
445,0.09361
446,0.09479
447,0.09572
448,0.09639
449,0.09713
450,0.098
451,0.09887
452,0.09964
453,0.10027
454,0.10096
455,0.1017
456,0.10237
457,0.10294
458,0.10342
459,0.10391
460,0.10464
461,0.10527
462,0.10572
463,0.10608
464,0.10646
465,0.10687
466,0.10733
467,0.10788
468,0.10838
469,0.10881
470,0.1092
471,0.10964
472,0.11002
473,0.11039
474,0.11091
475,0.11127
476,0.11156
477,0.11193
478,0.11254
479,0.11291
480,0.11311
481,0.11339
482,0.11403
483,0.11457
484,0.11488
485,0.11522
486,0.11562
487,0.11604
488,0.11642
489,0.11679
490,0.11716
491,0.11757
492,0.11803
493,0.11841
494,0.11875
495,0.11911
496,0.11959
497,0.11999
498,0.12037
499,0.12083
500,0.12116
501,0.12167
502,0.12233
503,0.12284
504,0.12324
505,0.12362
506,0.12407
507,0.12464
508,0.12521
509,0.12575
510,0.12629
511,0.12692
512,0.1275
513,0.12801
514,0.12861
515,0.12925
516,0.1299
517,0.13055
518,0.13121
519,0.13185
520,0.1325
521,0.13321
522,0.13398
523,0.13474
524,0.13545
525,0.13617
526,0.13699
527,0.13783
528,0.13858
529,0.13927
530,0.14003
531,0.14091
532,0.14187
533,0.14264
534,0.14339
535,0.14432
536,0.14524
537,0.14619
538,0.14713
539,0.14803
540,0.14907
541,0.15023
542,0.15144
543,0.15257
544,0.15355
545,0.15438
546,0.15513
547,0.1558
548,0.15653
549,0.15739
550,0.15837
551,0.15928
552,0.16013
553,0.16096
554,0.16187
555,0.16278
556,0.16372
557,0.16473
558,0.16568
559,0.16661
560,0.16752
561,0.16837
562,0.16927
563,0.17018
564,0.17104
565,0.17191
566,0.17275
567,0.17358
568,0.17445
569,0.17543
570,0.17638
571,0.1772
572,0.17788
573,0.17857
574,0.17936
575,0.18027
576,0.1812
577,0.1821
578,0.18293
579,0.18373
580,0.18454
581,0.18532
582,0.18607
583,0.18695
584,0.18795
585,0.18905
586,0.19021
587,0.19127
588,0.19222
589,0.19316
590,0.19414
591,0.1952
592,0.19628
593,0.19723
594,0.19815
595,0.19901
596,0.19989
597,0.20102
598,0.20226
599,0.20344
600,0.20447
601,0.20564
602,0.20683
603,0.20802
604,0.20924
605,0.21051
606,0.21179
607,0.21309
608,0.21437
609,0.21576
610,0.2174
611,0.21926
612,0.22059
613,0.22159
614,0.22255
615,0.22379
616,0.22503
617,0.22627
618,0.22757
619,0.22886
620,0.23022
621,0.23161
622,0.23294
