wl,value
360,0.04558
361,0.04417
362,0.04275
363,0.04266
364,0.04297
365,0.04265
366,0.04284
367,0.04241
368,0.04187
369,0.04267
370,0.04311
371,0.04282
372,0.04205
373,0.04168
374,0.04179
375,0.04219
376,0.04238
377,0.04114
378,0.04013
379,0.04011
380,0.04089
381,0.04138
382,0.04191
383,0.04251
384,0.0418
385,0.04092
386,0.04049
387,0.04086
388,0.04215
389,0.04245
390,0.04152
391,0.04094
392,0.04043
393,0.0405
394,0.0414
395,0.04266
396,0.04258
397,0.04176
398,0.04173
399,0.04153
400,0.04182
401,0.04244
402,0.04208
403,0.04233
404,0.04306
405,0.04379
406,0.04438
407,0.04489
408,0.0455
409,0.04639
410,0.04679
411,0.04733
412,0.04842
413,0.04985
414,0.05086
415,0.05195
416,0.0537
417,0.0548
418,0.05582
419,0.05708
420,0.05854
421,0.05995
422,0.06141
423,0.06296
424,0.06433
425,0.0655
426,0.06674
427,0.06835
428,0.06987
429,0.07095
430,0.07173
431,0.07291
432,0.07403
433,0.07508
434,0.07611
435,0.07705
436,0.07785
437,0.07873
438,0.07999
439,0.08104
440,0.08194
441,0.08277
442,0.08338
443,0.0839
444,0.08455
445,0.08546
446,0.08605
447,0.08648
448,0.08698
449,0.08784
450,0.08846
451,0.08883
452,0.08912
453,0.08973
454,0.09035
455,0.09078
456,0.09093
457,0.09129
458,0.09175
459,0.09219
460,0.09273
461,0.0931
462,0.09344
463,0.09394
464,0.09425
465,0.0945
466,0.09486
467,0.09543
468,0.09587
469,0.09626
470,0.09667
471,0.09681
472,0.09712
473,0.09758
474,0.09798
475,0.0983
476,0.09855
477,0.09883
478,0.0994
479,0.09967
480,0.09987
481,0.10032
482,0.10061
483,0.10088
484,0.10119
485,0.10151
486,0.10177
487,0.10206
488,0.10245
489,0.10283
490,0.10315
491,0.10351
492,0.10401
493,0.10432
494,0.10457
495,0.10489
496,0.10528
497,0.10576
498,0.10619
499,0.10647
500,0.10691
501,0.10742
502,0.10787
503,0.10817
504,0.10857
505,0.10906
506,0.10958
507,0.11005
508,0.11049
509,0.11097
510,0.11153
511,0.11207
512,0.11256
513,0.11305
514,0.11362
515,0.11428
516,0.11495
517,0.11554
518,0.11614
519,0.11677
520,0.11742
521,0.11803
522,0.11874
523,0.11955
524,0.1204
525,0.12111
526,0.12182
527,0.12259
528,0.12349
529,0.12437
530,0.12518
531,0.12599
532,0.12686
533,0.12783
534,0.12876
535,0.12957
536,0.13044
537,0.13131
538,0.1322
539,0.13319
540,0.13408
541,0.13487
542,0.1356
543,0.13636
544,0.13732
545,0.13844
546,0.13955
547,0.14072
548,0.14189
549,0.143
550,0.14402
551,0.14505
552,0.14607
553,0.14705
554,0.14806
555,0.14903
556,0.14998
557,0.15099
558,0.15202
559,0.15302
560,0.154
561,0.15507
562,0.15612
563,0.15714
564,0.15811
565,0.15904
566,0.15998
567,0.16095
568,0.16193
569,0.16283
570,0.16376
571,0.16477
572,0.16568
573,0.1666
574,0.16756
575,0.16852
576,0.16958
