wl,value
360,0.03414
361,0.03367
362,0.0353
363,0.03354
364,0.03225
365,0.03502
366,0.03535
367,0.03453
368,0.0337
369,0.03368
370,0.03435
371,0.03482
372,0.03432
373,0.03203
374,0.03285
375,0.03447
376,0.03356
377,0.03428
378,0.03422
379,0.03309
380,0.03259
381,0.03334
382,0.03369
383,0.03271
384,0.0315
385,0.03237
386,0.03336
387,0.03198
388,0.0324
389,0.03208
390,0.03104
391,0.03217
392,0.03293
393,0.03273
394,0.03203
395,0.03298
396,0.03341
397,0.03306
398,0.03262
399,0.03264
400,0.0333
401,0.03412
402,0.03379
403,0.03388
404,0.03426
405,0.03448
406,0.0345
407,0.03458
408,0.03497
409,0.03582
410,0.03635
411,0.03689
412,0.03772
413,0.03879
414,0.03955
415,0.04039
416,0.04171
417,0.04234
418,0.04308
419,0.04433
420,0.04596
421,0.04673
422,0.04739
423,0.04861
424,0.05005
425,0.05134
426,0.05236
427,0.05318
428,0.05433
429,0.05557
430,0.05675
431,0.05792
432,0.05901
433,0.06001
434,0.06089
435,0.06167
436,0.06258
437,0.06369
438,0.06487
439,0.06563
440,0.06637
441,0.06732
442,0.06803
443,0.06878
444,0.06964
445,0.07055
446,0.07105
447,0.07162
448,0.07238
449,0.07301
450,0.07376
451,0.07452
452,0.07511
453,0.07561
454,0.07609
455,0.07659
456,0.07714
457,0.07767
458,0.07816
459,0.07866
460,0.07936
461,0.07986
462,0.08023
463,0.08066
464,0.08111
465,0.08149
466,0.08187
467,0.08246
468,0.08293
469,0.08333
470,0.08374
471,0.08419
472,0.08462
473,0.08501
474,0.08532
475,0.08563
476,0.08605
477,0.08655
478,0.08695
479,0.08718
480,0.08749
481,0.08806
482,0.08851
483,0.08881
484,0.08908
485,0.08953
486,0.08987
487,0.09017
488,0.09056
489,0.09114
490,0.09149
491,0.09169
492,0.09206
493,0.09262
494,0.09303
495,0.09322
496,0.09358
497,0.09398
498,0.09439
499,0.09481
500,0.09527
501,0.09568
502,0.09608
503,0.09663
504,0.09702
505,0.09737
506,0.09782
507,0.09839
508,0.09888
509,0.09931
510,0.09979
511,0.10025
512,0.10075
513,0.10131
514,0.10185
515,0.10228
516,0.10274
517,0.10335
518,0.10395
519,0.1045
520,0.10505
521,0.10563
522,0.10618
523,0.10681
524,0.10754
525,0.10811
526,0.10878
527,0.10951
528,0.11015
529,0.11078
530,0.11152
531,0.1123
532,0.11292
533,0.11363
534,0.11442
535,0.1152
536,0.11579
537,0.11654
538,0.1174
539,0.11809
540,0.11886
541,0.11972
542,0.12059
543,0.12139
544,0.1222
545,0.12301
546,0.1238
547,0.12465
548,0.12545
549,0.12616
550,0.12689
551,0.12767
552,0.12844
553,0.12915
554,0.12983
555,0.1306
556,0.13144
557,0.13224
558,0.13303
559,0.1338
560,0.13458
561,0.13545
562,0.13635
563,0.13724
564,0.13809
565,0.13903
566,0.1399
567,0.14067
568,0.14151
569,0.14236
570,0.14317
571,0.14393
572,0.14475
573,0.14559
574,0.14641
575,0.14718
576,0.14789
577,0.14862
578,0.14941
579,0.15019
580,0.151
581,0.15184
582,0.15271
583,0.15355
584,0.15445
585,0.15541
586,0.15633
587,0.15731
588,0.15823
589,0.159
590,0.15971
591,0.16042
592,0.16126
593,0.16235
594,0.16357
595,0.16477
596,0.16585
597,0.1669
598,0.16802
599,0.16913
600,0.17018
601,0.17128
602,0.17242
603,0.17359
604,0.17484
605,0.17615
606,0.17745
607,0.17869
608,0.17995
609,0.18128
610,0.18273
611,0.18427
612,0.18558
613,0.1868
614,0.18805
615,0.18932
616,0.19066
617,0.19202
618,0.19337
619,0.19475
620,0.19612
621,0.19751
622,0.19894
623,0.20039
624,0.20181
625,0.2032
626,0.2046
627,0.20603
628,0.20747
629,0.20892
630,0.2104
631,0.21187
632,0.21333
633,0.21477
634,0.21624
635,0.21774
636,0.21926
637,0.2208
638,0.22229
639,0.22376
640,0.22529
641,0.22684
642,0.22841
643,0.22998
644,0.23151
645,0.23308
646,0.23467
647,0.23624
648,0.23778
649,0.23936
650,0.24098
651,0.24258
652,0.24417
653,0.24575
654,0.24733
655,0.24901
656,0.25065
657,0.25223
658,0.25377
659,0.25543
660,0.25713
661,0.25881
662,0.26043
663,0.26203
664,0.26366
665,0.26533
666,0.26696
667,0.26862
668,0.27029
669,0.27191
670,0.2736
671,0.27528
672,0.27694
673,0.27865
674,0.28035
675,0.28205
676,0.28377
677,0.28544
678,0.28713
679,0.28886
680,0.2906
681,0.29232
682,0.29407
683,0.29585
684,0.29756
685,0.29925
686,0.301
687,0.30282
688,0.30454
689,0.3063
690,0.30809
691,0.30979
692,0.31151
693,0.31333
694,0.31521
695,0.31689
696,0.31861
697,0.32037
698,0.3221
699,0.32385
700,0.32562
701,0.32739
702,0.32913
703,0.33085
704,0.33255
705,0.33427
706,0.33604
707,0.33782
708,0.33956
709,0.34124
710,0.34292
711,0.34467
712,0.34641
713,0.34802
714,0.34979
715,0.35152
716,0.3531
717,0.35485
718,0.35657
719,0.35826
720,0.35999
721,0.36165
722,0.36333
723,0.36505
724,0.36674
725,0.3684
726,0.3701
727,0.37187
728,0.37352
729,0.37523
730,0.37695
731,0.37854
732,0.38016
733,0.38183
734,0.38352
735,0.38522
736,0.38685
737,0.38848
738,0.39012
739,0.39165
740,0.39329
741,0.39501
742,0.39668
743,0.39833
744,0.39997
745,0.40158
746,0.40313
747,0.40471
748,0.40631
749,0.40791
750,0.40947
751,0.4111
752,0.41272
753,0.41426
754,0.41592
755,0.41754
756,0.41907
757,0.4206
758,0.42223
759,0.42385
